^SAMPLE = GSM821025
!Sample_title = High-grade osteosarcoma pre-chemotherapy biopsy L3659int
!Sample_geo_accession = GSM821025
!Sample_status = Public on Mar 28 2012
!Sample_submission_date = Oct 21 2011
!Sample_last_update_date = Mar 29 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = High-grade osteosarcoma pre-chemotherapy biopsy
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: unknown
!Sample_characteristics_ch1 = age: unknown
!Sample_characteristics_ch1 = histological subtype: unknown
!Sample_characteristics_ch1 = tumor location: unknown
!Sample_characteristics_ch1 = huvos grade: unknown
!Sample_characteristics_ch1 = matching expression data: no
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA from fresh frozen tissue was isolated using the wizard genomic DNA purification kit (Promega, Madison, WI), according to the manufacturer instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Genomic DNA preparation, labeling and hybridization were performed according to Affymetrix's recommended protocols (Affymetrix, Santa Clara, CA, USA).
!Sample_hyb_protocol = Genomic DNA preparation, labeling and hybridization were performed according to Affymetrix's recommended protocols (Affymetrix, Santa Clara, CA, USA).
!Sample_scan_protocol = Arrays were scanned with GeneChip GSC3000 7G Whole-Genome Association System (Affymetrix).
!Sample_description = High-grade osteosarcoma pre-chemotherapy biopsy
!Sample_description = Affymetrix SNP 6.0 arrays were used.
!Sample_data_processing = Microarray data pre-processing was performed as described in Pansuriya et al. (PMID: 21235737). Hybridization quality was estimated by the genotype call rate using the Birdseed genotype calling algorithm in Genotyping Console (version 4.0, Affymetrix). We performed copy number analysis in Nexus software version 5 using CNCHP log-ratio files generated by genotyping console using 27 controls as a baseline, which is a subset of the reference set of 29 samples which was used in Pansuriya et al (PMID: 21235737, GEO Series accession number GSE22984), because we rejected 2 samples based on results from the quality control analysis in Genotyping Console. We used the following samples for the reference file (GEO accession numbers): GSM566679, GSM566716, GSM566745, GSM566752, GSM566762, GSM566780, GSM566785, GSM566787, GSM566788, GSM566789, GSM566790, GSM566791, GSM566814, GSM566815, GSM567029, GSM567042, GSM567046, GSM567050, GSM567053, GSM567055, GSM567062, GSM567083, GSM567110, GSM567114, GSM567339, GSM567342, GSM567343. Hidden Markov model (HMM) based SNP-FASST segmentation was used to identify aberrant genomic regions. We used an aberration frequency cut-off of 35%.
!Sample_platform_id = GPL6801
!Sample_contact_name = Marieke,Lydia,Kuijjer
!Sample_contact_laboratory = Kuijjer
!Sample_contact_institute = Centre for Molecular Medicine Norway
!Sample_contact_address = Gaustadall̩en 21
!Sample_contact_city = Oslo
!Sample_contact_zip/postal_code = 0349
!Sample_contact_country = Norway
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM821nnn/GSM821025/suppl/GSM821025.CEL.gz
!Sample_series_id = GSE33153
!Sample_series_id = GSE33383
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = copy number
#Log2Ratio = 
#SmoothSignal = 
#LOH = 
#Allele Difference = 
!sample_table_begin
ID_REF	VALUE	Log2Ratio	SmoothSignal	LOH	Allele Difference
CN_473963	2	-0.0543063	1.72918	null	null
CN_473964	2	0.17759	1.72913	null	null
CN_473965	2	0.225684	1.72912	null	null
CN_473981	2	-0.322557	1.72828	null	null
CN_473982	2	-0.235187	1.72827	null	null
CN_497981	2	0.136722	1.72103	null	null
CN_502615	2	0.324731	1.71215	null	null
CN_502613	2	0.192087	1.71211	null	null
CN_502614	2	-0.607724	1.7119	null	null
CN_502616	2	-1.45325	1.71189	null	null
CN_502843	2	0.316714	1.70462	null	null
CN_466171	2	-0.541305	1.20132	null	null
CN_468414	2	-0.37378	1.20131	null	null
CN_468412	2	-0.808615	1.20131	null	null
CN_468413	2	0.0856977	1.20131	null	null
CN_470565	2	-0.341193	1.20129	null	null
CN_468424	2	-0.252573	1.20112	null	null
CN_468425	2	-0.630053	1.20111	null	null
CN_460512	2	-0.0803434	1.34578	null	null
CN_460513	2	-0.555028	1.34578	null	null
!sample_table_end
