^SAMPLE = GSM96795
!Sample_title = CGH_2006011802_del(4q)_cell1
!Sample_geo_accession = GSM96795
!Sample_status = Public on Feb 16 2006
!Sample_submission_date = Feb 15 2006
!Sample_last_update_date = Feb 15 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 1) gDNA (46,XX,del(4)(q13.1q22.3)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = One hundred and fifty nanogram of Phi29 amplified single-cell gDNA was labelled by random priming with Cy5-dUTP
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XY)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = One hundred and fifty nanogram of gDNA was labelled by random priming with Cy3-dUTP
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3455
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE4244
!Sample_data_row_count = 8026
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	867	584	1729	699	283	1030	-1.83869369069566
2	962	596	2010	727	366	1283	-1.7845289282626
3	670	545	804	634			
4	733	562	1015	735	171	280	-0.686353813516027
5	1099	566	4319	683	533	3636	-2.74506807289189
6	1081	596	4118	724	485	3394	-2.78185322392513
7	7047	570	6898	708	6477	6190	0.0904630231850761
8	7745	581	7793	718	7164	7075	0.043111877922396
9	6787	572	5726	690	6215	5036	0.328552796763873
10	6683	603	5808	734	6080	5074	0.28602449281005
11	7116	553	6087	669	6563	5418	0.301671728104198
12	8292	578	7362	686	7714	6676	0.233571879809205
13	3070	567	7383	677	2503	6706	-1.39671750356241
14	3820	583	8553	726	3237	7827	-1.24872539078639
15	3603	552	5734	743	3051	4991	-0.684970035379794
16	4283	578	6357	737	3705	5620	-0.576019899372051
17	2123	542	3117	634	1581	2483	-0.626170205275428
18	2336	569	3224	673	1767	2551	-0.504684170507814
19	2898	518	3669	652	2380	3017	-0.317076434408355
20	2783	543	3330	674	2240	2656	-0.220679725858917
!sample_table_end
