^SAMPLE = GSM96800
!Sample_title = CGH_2006011804_der(X)_cell3
!Sample_geo_accession = GSM96800
!Sample_status = Public on Feb 16 2006
!Sample_submission_date = Feb 15 2006
!Sample_last_update_date = Feb 15 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 3) gDNA (46,XX,der(X)t(X;14)(q21.3;q23.1)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = One hundred and fifty nanogram of Phi29 amplified single-cell gDNA was labelled by random priming with Cy5-dUTP
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XY)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = One hundred and fifty nanogram of gDNA was labelled by random priming with Cy3-dUTP
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3455
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE4244
!Sample_data_row_count = 8026
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	1391	531	1765	560	860	1205	-0.474456650456993
2	1399	570	2044	602	829	1442	-0.786459226674202
3	730	611	833	635	119	198	-0.722370925700796
4	976	645	1053	689	331	364	-0.124939302320608
5	2448	545	4040	559	1903	3481	-0.85905832137879
6	2739	569	4556	638	2170	3918	-0.840254423864875
7	5528	546	7517	563	4982	6954	-0.468950114415921
8	6076	580	8394	660	5496	7734	-0.480664829193836
9	2234	575	4825	584	1659	4241	-1.3419226655697
10	2516	570	5542	615	1946	4927	-1.3280298304602
11	1170	501	1316	562	669	754	-0.160390381556333
12	1746	555	1993	576	1191	1417	-0.238498413983034
13	2358	541	2018	558	1817	1460	0.327757981537607
14	2973	519	2223	608	2454	1615	0.615769015152488
15	21039	588	8463	704	20451	7759	1.41039668871223
16	22683	614	8937	664	22069	8273	1.42770670288749
17	1026	495	1003	542	531	461	0.216113041445686
18	1237	547	1463	593	690	870	-0.322251107999689
19	4014	604	3215	648	3410	2567	0.421856374406987
20	4487	596	3559	683	3891	2876	0.448245235604429
!sample_table_end
