^SAMPLE = GSM96802
!Sample_title = CGH_2006011805_der(X)_cell2
!Sample_geo_accession = GSM96802
!Sample_status = Public on Feb 16 2006
!Sample_submission_date = Feb 15 2006
!Sample_last_update_date = Feb 15 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 2) gDNA (46,XX,der(X)t(X;14)(q21.3;q23.1)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = One hundred and fifty nanogram of Phi29 amplified single-cell gDNA was labelled by random priming with Cy5-dUTP
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = One hundred and fifty nanogram of gDNA was labelled by random priming with Cy3-dUTP
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3455
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE4244
!Sample_data_row_count = 8026
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	1030	605	1843	682	425	1161	-1.44278994883638
2	971	539	1786	693	432	1093	-1.33214690650432
3	1076	640	1393	841	436	552	-0.333296854997123
4	1107	692	1537	854	415	683	-0.711730965051684
5	1279	570	4016	685	709	3331	-2.22505454443071
6	1575	575	4825	717	1000	4108	-2.03139290465199
7	3219	562	6859	676	2657	6183	-1.21146550076579
8	3377	559	6695	729	2818	5966	-1.07504908902146
9	1981	572	4622	687	1409	3935	-1.47464874708109
10	1849	555	4395	696	1294	3699	-1.50825440612737
11	6270	595	3212	650	5675	2562	1.15439319372811
12	6871	585	3458	692	6286	2766	1.19138439265238
13	1846	579	2733	651	1267	2082	-0.709510267154488
14	1675	586	2329	686	1089	1643	-0.586285249229048
15	6949	646	9848	833	6303	9015	-0.509245551921382
16	6303	689	8901	881	5614	8020	-0.507529895825638
17	3400	600	1902	691	2800	1211	1.21627123914212
18	3591	584	2018	707	3007	1311	1.20470045935637
19	1579	696	5291	840	883	4451	-2.32660088079968
20	1907	710	5919	889	1197	5030	-2.06409197074527
!sample_table_end
