^SAMPLE = GSM1509914
!Sample_title = Clonal B-Cells from IgM Smoldering Waldenstr̦m's Macroglobulinemia 52-101511_copy_number
!Sample_geo_accession = GSM1509914
!Sample_status = Public on May 06 2015
!Sample_submission_date = Sep 22 2014
!Sample_last_update_date = May 06 2015
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Bone marrow
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: Bone marrow
!Sample_characteristics_ch1 = cell type: Clonal B-Lymphocytes
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was digested with Nsp I and Sty I restriction enzymes, ligated to adapters with T4 DNA ligase and amplified. PCR products were concentrated and fragmented (DNAsal), and then end-labeled with deoxynucleotidil transferase
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Labelling and hybridizations were performed according to protocols from Affymetrix
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_data_processing = ChAS console from Affymetrix was used to assess genome wide copy number frequencies. Log2 Ratio copy number values with associated chromosome positions are available on the series record.
!Sample_platform_id = GPL18637
!Sample_contact_name = Bruno,,Paiva
!Sample_contact_email = bpaiva@unav.es
!Sample_contact_institute = Clinica Universidad de Navarra
!Sample_contact_address = Av. Pio XII, 55
!Sample_contact_city = Pamplona
!Sample_contact_zip/postal_code = 31008
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1509nnn/GSM1509914/suppl/GSM1509914_SWM_52_101511.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1509nnn/GSM1509914/suppl/GSM1509914_SWM_52_101511.cychp.gz
!Sample_series_id = GSE61650
!Sample_series_id = GSE61651
!Sample_data_row_count = 750605
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	0.017942	0.174943	2.097214
C-4WYLN	0.166335	0.191383	2.097079
C-7ONNE	0.194765	0.122975	2.096957
C-6HYCN	0.248732	0.138474	2.096441
C-7RZQQ	-0.002871	-0.074415	2.095768
C-7SEBI	0.062191	-0.060750	2.094961
C-7RXVK	-0.184803	-0.130948	2.094881
C-4LHKS	-0.260561	-0.119929	2.094928
C-7SEGS	0.100059	0.240112	2.094958
C-4LLXK	0.269607	0.247804	2.095381
C-5YZUW	0.267235	0.178048	2.094481
C-7SBKQ	0.210927	0.181867	2.094765
C-4GLAA	0.083178	-0.022260	2.094812
C-7QEGW	-0.061893	-0.022675	2.094889
C-4EDDJ	-0.183064	-0.084923	2.094237
C-7LAAJ	-0.057820	-0.089742	2.094127
C-6HOEB	0.135486	0.088023	2.093063
C-6SCVY	0.336495	0.078808	2.093357
C-7SFRW	-0.023888	0.033926	2.093875
C-7RYRT	-0.226824	0.020510	2.092904
!sample_table_end
