^SAMPLE = GSM73751
!Sample_title = MDA361 vs NF (svi030)
!Sample_geo_accession = GSM73751
!Sample_status = Public on Sep 10 2005
!Sample_submission_date = Sep 09 2005
!Sample_last_update_date = Sep 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = NF
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = NF
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = MDA361
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = MDA361
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Simple annotation: Breast, aCGH cell line
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2000-03/3406.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL2830
!Sample_contact_name = ,,Stanford Microarray Database
!Sample_contact_email = array@genome.stanford.edu
!Sample_contact_phone = 650-498-6012
!Sample_contact_department = Stanford University, School of Medicine
!Sample_contact_institute = Stanford Microarray Database (SMD)
!Sample_contact_address = 300 Pasteur Drive
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305
!Sample_contact_country = USA
!Sample_contact_web_link = http://genome-www5.stanford.edu/
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3281
!Sample_data_row_count = 9216
#ID_REF = ID_REF
#CH1I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 1).; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 2).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEAN = Mean intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = Mean intensities of background pixels of Cy5.; Type: integer; Scale: linear_scale; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PIX_RAT2_MEDIAN = Contains median of Ch2PI-CH2B/Ch1PI-CH1B where Ch1PI & Ch2PI represent single pixel intensities.; Type: float; Scale: linear_scale
#TOT_SPIX = Count of the number of pixels in the spot.; Type: integer; Scale: linear_scale
#TOT_BPIX = Number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = User defined spot flag (default 0).; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1B_MEAN	CH2B_MEAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PIX_RAT2_MEDIAN	TOT_SPIX	TOT_BPIX	REGR	CORR	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	RAT1N_MEAN	VALUE	UNF_VALUE
1	1065	1554	106	168	959	1386	115	180	84	86	1.434	137	1307	1.335	.919	84	97	116	129	0	1207	131	1077	1.123	.891	.167	.167
2	1225	1680	108	175	1117	1505	129	195	78	78	1.309	137	1117	1.255	.936	86	99	134	147	0	1305	136	1169	1.047	.955	.066	.066
3	715	1004	110	170	605	834	126	185	83	81	1.304	137	1152	1.282	.907	84	97	153	166	0	780	132	648	1.071	.934	.099	.099
4	671	887	113	169	558	718	121	176	79	81	1.298	137	1104	1.174	.918	84	97	170	183	0	689	131	558	1	1	0	0
5	767	813	110	169	657	644	121	181	85	84	.985	137	1115	.884	.896	84	97	188	201	0	632	131	500	.762	1.313	-.393	-.393
6	653	852	108	167	545	685	122	183	77	76	1.229	137	1085	1.153	.91	86	99	205	218	0	662	130	532	.977	1.024	-.034	-.034
7	799	964	105	167	694	797	117	180	79	79	1.159	137	1089	.979	.897	86	99	223	236	0	749	130	619	.892	1.121	-.164	-.164
8	623	943	108	174	515	769	115	181	73	71	1.394	137	1117	1.387	.929	84	97	240	253	0	733	135	597	1.16	.862	.214	.214
9	734	1017	114	183	620	834	120	188	70	72	1.267	137	1116	1.222	.929	84	97	258	271	0	790	142	648	1.045	.957	.064	.064
10	755	977	115	188	640	789	122	195	64	63	1.24	137	1067	1.152	.94	86	99	275	288	0	759	146	613	.958	1.044	-.062	-.062
11	627	984	112	185	515	799	120	195	67	70	1.553	137	1069	1.499	.96	86	99	293	306	0	765	144	621	1.205	.83	.269	.269
12	607	783	113	183	494	600	121	191	71	72	1.199	137	1057	1.105	.936	86	99	310	323	0	608	142	466	.944	1.06	-.084	-.084
13	523	999	116	185	407	814	128	199	60	67	2.036	137	1047	1.794	.935	86	99	328	341	0	776	144	632	1.554	.644	.636	.636
14	447	774	117	197	330	577	128	212	55	59	1.789	137	1094	1.621	.942	86	99	345	358	0	601	153	448	1.358	.736	.442	.442
15	851	1316	117	207	734	1109	131	222	65	62	1.459	137	1140	1.443	.954	84	97	364	377	0	1022	161	862	1.174	.852	.231	.231
16	500	519	116	208	384	311	131	220	65	62	.88	137	1099	.724	.886	84	97	382	395	0	403	162	242	.629	1.589	-.668	-.668
17	487	608	112	198	375	410	120	206	64	63	1.075	137	1107	1.034	.932	84	97	399	412	0	472	154	319	.849	1.177	-.235	-.235
18	592	794	109	189	483	605	115	200	72	70	1.236	137	1116	1.157	.94	84	97	417	430	0	617	147	470	.973	1.028	-.039	-.039
19	458	756	111	189	347	567	117	200	65	66	1.621	137	1132	1.455	.922	84	97	434	447	0	587	147	441	1.27	.788	.344	.344
20	513	766	112	188	401	578	119	201	64	58	1.332	112	1133	1.389	.947	84	96	452	464	0	595	146	449	1.12	.893	.163	.163
!sample_table_end
