^SAMPLE = GSM336410
!Sample_title = MCL Agilent 244K aCGH 03-14255
!Sample_geo_accession = GSM336410
!Sample_status = Public on Dec 01 2009
!Sample_submission_date = Oct 23 2008
!Sample_last_update_date = Sep 30 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 03-14255
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = MCL Lymph node Biopsy
!Sample_characteristics_ch1 = Lymph node tissue, 57yo male, classic MCL
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Standard proteinaseK/RNAse followed by Phenol/Chlorofom extraction
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = 0.5ug of DNA was labelled using standard agilent protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx (
!Sample_label_protocol_ch1 = Agilent Oligonucleotide Array-Based CGH for Genomic DNA Analysis, Version 4.0. Part number is G4410-90010)
!Sample_source_name_ch2 = Promega Human Male DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Normal Male DNA Promega
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA provided by Promega Part Number G1471
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = 0.5ug of DNA was labelled using standard agilent protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx (
!Sample_label_protocol_ch2 = Agilent Oligonucleotide Array-Based CGH for Genomic DNA Analysis, Version 4.0. Part number is G4410-90010
!Sample_hyb_protocol = Standard Agilent Protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx
!Sample_hyb_protocol = Agilent Oligonucleotide Array-Based CGH for Genomic DNA Analysis, Version 4.0. Part number is G4410-90010.
!Sample_scan_protocol = Agilent DNA Microarray Scanner p/n G2565BA.
!Sample_scan_protocol = Scan Region: 61x21.6 mm
!Sample_scan_protocol = Scan Resolution 5 micron
!Sample_scan_protocol = Dye Channel Red & Green
!Sample_scan_protocol = Red and Green PMT 100%
!Sample_description = none
!Sample_data_processing = Value represent LOG10 Ratio (CH1/CH2) generated by Standard Agilent Protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx
!Sample_data_processing = Feature extraction protocol CGH-v4_91 was used.
!Sample_platform_id = GPL4544
!Sample_contact_name = Ronald,J,deLeeuw
!Sample_contact_email = rdeleeuw@bccrc.ca
!Sample_contact_phone = 6046758111
!Sample_contact_fax = 6046758232
!Sample_contact_laboratory = Lam Lab
!Sample_contact_department = Cancer Genetics
!Sample_contact_institute = BC Cancer Research Centre
!Sample_contact_address = 675 W. 10th Ave.
!Sample_contact_city = Vancouver
!Sample_contact_state = British Columbia
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE13331
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = Channel 1 (red) / Channel 2 (green) LOG10 Ratio
#CH2_SIG_MEAN = Channel 2 (green) Foreground Mean Signal
#CH1_SIG_MEAN = Channel 1 (red) Foreground Mean Signal
#CH2_BKD_MEAN = Channel 2 (green) Background Mean Signal
#CH1_BKD_MEAN = Channel 1 (red) Background Mean Signal
#CH2_SATURATION = Channel 2 (green) Saturation
#CH1_SATURATION = Channel 1 (red) Saturation
#CH2_NONUNIFORM = Channel 2 (green) Spot Non-Uniformity
#CH1_NONUNIFORM = Channel 1 (red) Spot Non-Uniformity
!sample_table_begin
ID_REF	VALUE	CH2_SIG_MEAN	CH1_SIG_MEAN	CH2_BKD_MEAN	CH1_BKD_MEAN	CH2_SATURATION	CH1_SATURATION	CH2_NONUNIFORM	CH1_NONUNIFORM
1	3.26E-02	1.62E+03	1.07E+03	3.81E+01	6.23E+01	0	0	0	0
2	0.00E+00	4.78E+01	6.77E+01	3.89E+01	6.28E+01	0	0	0	0
3	0.00E+00	5.00E+01	6.64E+01	3.89E+01	6.34E+01	0	0	0	0
4	1.56E-02	2.13E+02	1.66E+02	3.86E+01	6.23E+01	0	0	0	0
5	1.04E-01	1.45E+02	1.38E+02	3.84E+01	6.22E+01	0	0	0	0
6	-1.67E-02	2.43E+02	1.75E+02	3.94E+01	6.37E+01	0	0	0	0
7	-1.25E-01	2.11E+02	1.37E+02	4.02E+01	6.23E+01	0	0	0	0
8	-4.82E-02	2.83E+02	1.88E+02	3.98E+01	6.27E+01	0	0	0	0
9	-1.07E-01	3.03E+02	1.81E+02	3.95E+01	6.31E+01	0	0	0	0
10	-2.86E-02	1.40E+02	1.16E+02	4.03E+01	6.26E+01	0	0	0	0
11	1.45E-01	3.60E+02	3.18E+02	4.04E+01	6.30E+01	0	0	0	0
12	-2.68E-02	2.56E+02	1.78E+02	4.05E+01	6.24E+01	0	0	0	0
13	9.18E-02	3.04E+02	2.49E+02	4.04E+01	6.28E+01	0	0	0	0
14	-4.53E-03	2.66E+02	1.90E+02	4.04E+01	6.32E+01	0	0	0	0
15	-1.92E-02	3.66E+02	2.41E+02	4.05E+01	6.35E+01	0	0	0	0
16	-1.05E-01	2.25E+02	1.46E+02	4.02E+01	6.31E+01	0	0	0	0
17	-6.13E-02	3.22E+02	2.02E+02	4.04E+01	6.20E+01	0	0	0	0
18	3.75E-01	1.19E+02	1.61E+02	4.06E+01	6.19E+01	0	0	0	0
19	2.03E-01	1.85E+02	1.91E+02	4.12E+01	6.23E+01	0	0	0	0
20	1.44E-02	2.51E+02	1.86E+02	4.05E+01	6.18E+01	0	0	0	0
!sample_table_end
