^SAMPLE = GSM336412
!Sample_title = MCL Agilent 244K aCGH 99-26032
!Sample_geo_accession = GSM336412
!Sample_status = Public on Dec 01 2009
!Sample_submission_date = Oct 23 2008
!Sample_last_update_date = Sep 30 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 99-26032
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = MCL Lymph node Biopsy
!Sample_characteristics_ch1 = lymph node tissue, 63yo male, classic MCL
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Standard proteinaseK/RNAse followed by Phenol/Chlorofom extraction
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = 0.5ug of DNA was labelled using standard agilent protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx (
!Sample_label_protocol_ch1 = Agilent Oligonucleotide Array-Based CGH for Genomic DNA Analysis, Version 4.0. Part number is G4410-90010)
!Sample_source_name_ch2 = Promega Human Male DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Normal Male DNA Promega
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA provided by Promega Part Number G1471
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = 0.5ug of DNA was labelled using standard agilent protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx (
!Sample_label_protocol_ch2 = Agilent Oligonucleotide Array-Based CGH for Genomic DNA Analysis, Version 4.0. Part number is G4410-90010
!Sample_hyb_protocol = Standard Agilent Protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx
!Sample_hyb_protocol = Agilent Oligonucleotide Array-Based CGH for Genomic DNA Analysis, Version 4.0. Part number is G4410-90010.
!Sample_scan_protocol = Agilent DNA Microarray Scanner p/n G2565BA.
!Sample_scan_protocol = Scan Region: 61x21.6 mm
!Sample_scan_protocol = Scan Resolution 5 micron
!Sample_scan_protocol = Dye Channel Red & Green
!Sample_scan_protocol = Red and Green PMT 100%
!Sample_description = none
!Sample_data_processing = Value represent LOG10 Ratio (CH1/CH2) generated by Standard Agilent Protocols from http://www.opengenomics.com/oligoaCGHLiterature.aspx  Feature extraction protocol CGH-v4_91 was used.
!Sample_platform_id = GPL4544
!Sample_contact_name = Ronald,J,deLeeuw
!Sample_contact_email = rdeleeuw@bccrc.ca
!Sample_contact_phone = 6046758111
!Sample_contact_fax = 6046758232
!Sample_contact_laboratory = Lam Lab
!Sample_contact_department = Cancer Genetics
!Sample_contact_institute = BC Cancer Research Centre
!Sample_contact_address = 675 W. 10th Ave.
!Sample_contact_city = Vancouver
!Sample_contact_state = British Columbia
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE13331
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = Channel 1 (red) / Channel 2 (green) LOG10 Ratio
#CH2_SIG_MEAN = Channel 2 (green) Foreground Mean Signal
#CH1_SIG_MEAN = Channel 1 (red) Foreground Mean Signal
#CH2_BKD_MEAN = Channel 2 (green) Background Mean Signal
#CH1_BKD_MEAN = Channel 1 (red) Background Mean Signal
#CH2_SATURATION = Channel 2 (green) Saturation
#CH1_SATURATION = Channel 1 (red) Saturation
#CH2_NONUNIFORM = Channel 2 (green) Spot Non-Uniformity
#CH1_NONUNIFORM = Channel 1 (red) Spot Non-Uniformity
!sample_table_begin
ID_REF	VALUE	CH2_SIG_MEAN	CH1_SIG_MEAN	CH2_BKD_MEAN	CH1_BKD_MEAN	CH2_SATURATION	CH1_SATURATION	CH2_NONUNIFORM	CH1_NONUNIFORM
1	3.03E-02	1.63E+03	1.03E+03	3.67E+01	6.11E+01	0	0	0	0
2	0.00E+00	4.52E+01	6.65E+01	3.67E+01	6.10E+01	0	0	0	0
3	0.00E+00	4.72E+01	6.49E+01	3.70E+01	6.14E+01	0	0	0	0
4	6.91E-02	2.31E+02	1.90E+02	3.74E+01	6.20E+01	0	0	0	0
5	3.77E-02	1.68E+02	1.42E+02	3.70E+01	6.23E+01	0	0	0	0
6	8.92E-02	2.79E+02	2.28E+02	3.68E+01	6.15E+01	0	0	0	0
7	-1.26E-01	2.20E+02	1.40E+02	3.70E+01	6.22E+01	0	0	0	0
8	4.11E-02	3.18E+02	2.35E+02	3.70E+01	6.20E+01	0	0	0	0
9	-5.07E-03	3.13E+02	2.15E+02	3.74E+01	6.14E+01	0	0	0	0
10	-2.97E-02	1.38E+02	1.15E+02	3.68E+01	6.10E+01	0	0	0	0
11	1.46E-01	3.91E+02	3.37E+02	3.73E+01	6.20E+01	0	0	0	0
12	1.61E-01	2.75E+02	2.53E+02	3.72E+01	6.25E+01	0	0	0	0
13	1.53E-01	3.45E+02	3.04E+02	3.74E+01	6.22E+01	0	0	0	0
14	8.97E-02	2.85E+02	2.31E+02	3.70E+01	6.19E+01	0	0	0	0
15	1.66E-03	4.17E+02	2.74E+02	3.68E+01	6.13E+01	0	0	0	0
16	-2.11E-01	2.64E+02	1.41E+02	3.70E+01	6.10E+01	0	0	0	0
17	-1.29E-03	3.47E+02	2.33E+02	3.73E+01	6.21E+01	0	0	0	0
18	2.52E-01	1.35E+02	1.55E+02	3.74E+01	6.08E+01	0	0	0	0
19	1.40E-01	2.20E+02	2.00E+02	3.71E+01	6.08E+01	0	0	0	0
20	9.11E-02	2.45E+02	2.02E+02	3.69E+01	6.07E+01	0	0	0	0
!sample_table_end
