^SAMPLE = GSM751083
!Sample_title = Ovarian cancer tissue from Taiwan LD100
!Sample_geo_accession = GSM751083
!Sample_status = Public on Oct 25 2012
!Sample_submission_date = Jun 29 2011
!Sample_last_update_date = Oct 25 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ovarian Cancer tissue
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histotype: Serous
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor genomic DNAs were extracted by using phenol-chloroform extraction method. Tumor RNAs were extracted by using Qiazol followed by column clean-up using miRNeasy kit (Qiagen).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = Affymetrix standard procedure
!Sample_description = Epithelial ovarian cancers
!Sample_description = primary_data_description:  Log relative ratio calclulated by Affymetric Genotyping Console
!Sample_data_processing = CEL files and CHP files are processed and normalized with Hapmap CHB using the Affymetric Genotyping Console.
!Sample_platform_id = GPL6801
!Sample_contact_name = Liang,,Goh
!Sample_contact_email = liang.goh@duke-nus.edu.sg
!Sample_contact_institute = Duke-NUS graduate medical school
!Sample_contact_address = College Road
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169857
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM751nnn/GSM751083/suppl/GSM751083.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM751nnn/GSM751083/suppl/GSM751083.CNCHP.gz
!Sample_series_id = GSE30300
!Sample_series_id = GSE30311
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	0.677323	3.491975	nan	nan
CN_473964	3.000000	0.242507	3.491934	nan	nan
CN_473965	3.000000	0.332977	3.491925	nan	nan
CN_473981	3.000000	0.580488	3.491313	nan	nan
CN_473982	3.000000	0.595534	3.491304	nan	nan
CN_497981	3.000000	0.477498	3.485996	nan	nan
CN_502615	3.000000	0.154835	3.479498	nan	nan
CN_502613	3.000000	0.400918	3.479469	nan	nan
CN_502614	3.000000	0.327198	3.479318	nan	nan
CN_502616	3.000000	0.520296	3.479310	nan	nan
CN_502843	3.000000	0.601263	3.474019	nan	nan
CN_466171	3.000000	0.978389	2.657489	nan	nan
CN_468414	3.000000	-0.044171	2.657602	nan	nan
CN_468412	3.000000	-0.161310	2.657627	nan	nan
CN_468413	3.000000	0.369144	2.657631	nan	nan
CN_470565	3.000000	-0.335099	2.657768	nan	nan
CN_468424	3.000000	0.276064	2.659632	nan	nan
CN_468425	3.000000	0.515611	2.659650	nan	nan
CN_460512	3.000000	0.529013	4.211159	nan	nan
CN_460513	3.000000	0.665131	4.211160	nan	nan
!sample_table_end
