^SAMPLE = GSM751056
!Sample_title = Ovarian cancer tissue from Taiwan LB364
!Sample_geo_accession = GSM751056
!Sample_status = Public on Oct 25 2012
!Sample_submission_date = Jun 29 2011
!Sample_last_update_date = Oct 25 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ovarian Cancer tissue
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histotype: Serous
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor genomic DNAs were extracted by using phenol-chloroform extraction method. Tumor RNAs were extracted by using Qiazol followed by column clean-up using miRNeasy kit (Qiagen).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = Affymetrix standard procedure
!Sample_description = Epithelial ovarian cancers
!Sample_description = primary_data_description:  Log relative ratio calclulated by Affymetric Genotyping Console
!Sample_data_processing = CEL files and CHP files are processed and normalized with Hapmap CHB using the Affymetric Genotyping Console.
!Sample_platform_id = GPL6801
!Sample_contact_name = Liang,,Goh
!Sample_contact_email = liang.goh@duke-nus.edu.sg
!Sample_contact_institute = Duke-NUS graduate medical school
!Sample_contact_address = College Road
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169857
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM751nnn/GSM751056/suppl/GSM751056.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM751nnn/GSM751056/suppl/GSM751056.CNCHP.gz
!Sample_series_id = GSE30300
!Sample_series_id = GSE30311
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	0.395283	3.295302	nan	nan
CN_473964	3.000000	0.300349	3.295125	nan	nan
CN_473965	3.000000	0.381026	3.295089	nan	nan
CN_473981	3.000000	1.044746	3.292437	nan	nan
CN_473982	3.000000	0.566541	3.292396	nan	nan
CN_497981	3.000000	0.439630	3.268812	nan	nan
CN_502615	3.000000	0.126673	3.238038	nan	nan
CN_502613	3.000000	0.097568	3.237896	nan	nan
CN_502614	3.000000	0.054752	3.237147	nan	nan
CN_502616	3.000000	0.407022	3.237108	nan	nan
CN_502843	3.000000	0.517556	3.209555	nan	nan
CN_466171	3.000000	0.996504	2.926898	nan	nan
CN_468414	3.000000	0.252529	2.927192	nan	nan
CN_468412	3.000000	0.004212	2.927258	nan	nan
CN_468413	3.000000	0.100739	2.927270	nan	nan
CN_470565	3.000000	-0.512500	2.927625	nan	nan
CN_468424	3.000000	0.465322	2.932475	nan	nan
CN_468425	3.000000	0.837263	2.932522	nan	nan
CN_460512	4.000000	2.141637	23.772854	nan	nan
CN_460513	4.000000	1.828300	23.772848	nan	nan
!sample_table_end
