^SAMPLE = GSM393040
!Sample_title = KP-PN-TTBm2
!Sample_geo_accession = GSM393040
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma derived cell line, KP-PN-TTBm2
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: KP-PN-TTBm2
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = KP-PN-TTBm2
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393040/suppl/GSM393040.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393040/suppl/GSM393040.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	-0.374139	0.000000	0.000000	1	3	0	3
SNP_A-1902458	-0.204067	0.000000	0.000000	2	3	0	0
SNP_A-2131660	-0.149442	0.000000	0.000000	1	3	0	1
SNP_A-4221087	-0.082157	0.187582	-0.461519	2	3	0	1
SNP_A-1884606	-0.174662	0.000000	0.000000	1	0	0	1
SNP_A-2235839	-0.224388	0.186136	-1.165684	2	3	0	1
SNP_A-2218153	-0.316970	-0.074885	-0.608033	1	1	0	0
SNP_A-1919019	-0.428207	0.164041	-0.945160	1	3	0	3
SNP_A-1815933	-0.386764	0.178114	-1.728896	1	3	0	3
SNP_A-2115098	-0.370704	-0.042338	-0.796535	1	1	0	1
SNP_A-2264565	-0.311245	0.128071	-1.019438	1	1	0	3
SNP_A-1788728	-0.660140	0.000000	0.000000	1	3	0	3
SNP_A-4218776	-0.353222	0.000000	0.000000	1	0	0	1
SNP_A-2082194	-0.513579	0.072543	-1.517064	1	1	0	1
SNP_A-2135694	-0.460781	-0.441890	-0.479924	1	1	0	0
SNP_A-4220764	-0.246829	0.099784	-0.703970	1	1	0	1
SNP_A-1796345	0.122191	0.000000	0.000000	2	0	0	0
SNP_A-1789472	-0.534805	0.000000	0.000000	1	0	0	3
SNP_A-1934233	-0.434867	-0.033950	-0.991996	1	1	0	3
SNP_A-4207031	-0.215575	0.170120	-0.583993	2	3	0	0
!sample_table_end
