^SAMPLE = GSM393042
!Sample_title = RD-ES
!Sample_geo_accession = GSM393042
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma derived cell line, RD-ES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: RD-ES
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = RD-ES
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL2004
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393042/suppl/GSM393042.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393042/suppl/GSM393042.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 56859
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1718890	0.399380	0.937832	-1.351812	4	0	0	3
SNP_A-1668776	0.619158	0.000000	0.000000	4	1	1	3
SNP_A-1723597	0.641649	1.373931	-0.936416	4	0	0	1
SNP_A-1728870	0.827684	0.000000	0.000000	2	0	0	2
SNP_A-1669946	0.627236	0.654336	0.599618	4	3	3	2
SNP_A-1708099	0.807086	0.000000	0.000000	4	0	0	1
SNP_A-1716798	0.294197	0.000000	0.000000	4	0	0	3
SNP_A-1701872	0.911991	1.018943	0.796470	4	3	3	2
SNP_A-1697748	0.699947	0.801977	0.590148	4	3	3	2
SNP_A-1699138	0.843197	1.561808	-0.371879	4	1	1	3
SNP_A-1750020	1.079040	0.000000	0.000000	4	0	0	3
SNP_A-1646481	0.677425	0.000000	0.000000	4	0	0	3
SNP_A-1701882	0.901276	0.904676	0.897868	4	3	3	2
SNP_A-1701982	0.688492	0.719941	0.656341	4	3	3	2
SNP_A-1749896	0.438563	1.362280	-0.368250	4	0	0	1
SNP_A-1750090	0.584013	0.000000	0.000000	2	0	0	2
SNP_A-1714480	0.610616	0.645038	0.575353	4	3	3	2
SNP_A-1649717	0.583950	1.543993	-0.553104	4	0	0	1
SNP_A-1703834	0.839542	1.414527	-1.186362	4	0	0	3
SNP_A-1695724	0.893862	0.934244	0.852317	4	3	3	2
!sample_table_end
