^SAMPLE = GSM393025
!Sample_title = case 34
!Sample_geo_accession = GSM393025
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma primary sample, case 34
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample id: case 34
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = case 34
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393025/suppl/GSM393025.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393025/suppl/GSM393025.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	-0.189039	0.080559	-0.520868	1	1	0	0
SNP_A-1902458	-0.527309	0.049680	-1.503649	1	1	0	1
SNP_A-2131660	-0.323418	0.387192	-0.718847	1	1	1	1
SNP_A-4221087	-0.112560	0.294350	-0.784020	1	1	1	1
SNP_A-1884606	-0.090131	0.000000	0.000000	1	0	0	1
SNP_A-2235839	-0.376295	-0.064451	-0.774679	1	1	0	2
SNP_A-2218153	-0.259872	-0.206901	-0.314863	1	1	0	2
SNP_A-1919019	-0.328533	0.326322	-0.944067	1	0	0	3
SNP_A-1815933	-0.270119	0.212093	-2.100801	1	1	0	3
SNP_A-2115098	-0.248366	0.406230	-0.937894	1	0	0	1
SNP_A-2264565	-0.529877	-0.149343	-1.048213	1	1	0	1
SNP_A-1788728	-0.941322	-0.447323	-1.698488	1	1	0	3
SNP_A-4218776	-0.083257	0.000000	0.000000	1	0	0	1
SNP_A-2082194	-0.410328	-0.005950	-0.974206	1	1	0	0
SNP_A-2135694	-0.382179	0.032849	-0.967123	1	1	0	3
SNP_A-4220764	-0.301007	-0.011036	-0.664306	1	1	0	0
SNP_A-1796345	-0.348900	0.000000	0.000000	3	0	0	0
SNP_A-1789472	-0.478944	0.000000	0.000000	1	0	0	3
SNP_A-1934233	-0.637845	0.000000	0.000000	1	0	0	3
SNP_A-4207031	-0.274680	-0.026269	-0.574946	1	1	0	0
!sample_table_end
