^SAMPLE = GSM393027
!Sample_title = SK-ES
!Sample_geo_accession = GSM393027
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma derived cell line, SK-ES
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SK-ES
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = SK-ES
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393027/suppl/GSM393027.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393027/suppl/GSM393027.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	0.313543	0.775607	-0.370338	3	3	0	3
SNP_A-1902458	0.326836	0.880411	-0.582900	3	3	0	3
SNP_A-2131660	0.426999	0.972301	-0.460170	3	3	0	1
SNP_A-4221087	0.100303	0.566648	-0.593096	3	3	0	1
SNP_A-1884606	0.432181	0.000000	0.000000	3	0	0	1
SNP_A-2235839	0.285987	0.896204	-0.792543	3	3	0	1
SNP_A-2218153	-0.031509	0.348004	-0.547943	3	3	0	1
SNP_A-1919019	0.463969	1.049788	-0.538602	3	3	0	3
SNP_A-1815933	0.325265	1.105611	-1.498633	3	3	0	3
SNP_A-2115098	0.325455	0.900095	-0.644013	3	3	0	1
SNP_A-2264565	0.249161	0.865091	-0.847942	3	3	0	1
SNP_A-1788728	0.240535	0.000000	0.000000	3	1	1	3
SNP_A-4218776	0.115575	0.000000	0.000000	3	0	0	1
SNP_A-2082194	0.167691	0.853739	-1.186590	3	3	0	1
SNP_A-2135694	0.032424	0.584742	-0.873855	3	3	0	3
SNP_A-4220764	0.189329	0.710017	-0.633430	3	3	0	3
SNP_A-1796345	0.392150	0.000000	0.000000	3	0	0	3
SNP_A-1789472	0.185374	0.000000	0.000000	3	0	0	3
SNP_A-1934233	0.665693	1.279036	-0.422963	3	3	0	3
SNP_A-4207031	0.276068	0.781333	-0.508277	3	3	0	3
!sample_table_end
