^SAMPLE = GSM393026
!Sample_title = SCMS-ES-1
!Sample_geo_accession = GSM393026
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma derived cell line, SCMS-ES-1
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SCMS-ES-1
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = SCMS-ES-1
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393026/suppl/GSM393026.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393026/suppl/GSM393026.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	0.141402	0.146527	0.136258	2	1	1	2
SNP_A-1902458	0.218442	0.000000	0.000000	2	1	0	2
SNP_A-2131660	-0.030330	0.000000	0.000000	1	1	1	2
SNP_A-4221087	-0.015031	0.262489	-0.555136	2	1	1	1
SNP_A-1884606	0.044010	0.000000	0.000000	2	0	0	1
SNP_A-2235839	0.123081	0.348790	-0.144610	2	1	1	2
SNP_A-2218153	0.062881	0.166760	-0.617154	2	1	1	1
SNP_A-1919019	0.170080	0.879844	-0.664023	2	1	1	3
SNP_A-1815933	0.007643	0.049043	-0.034979	2	1	1	2
SNP_A-2115098	0.020946	0.668756	-0.578297	2	1	1	1
SNP_A-2264565	-0.159822	0.414526	-0.869194	2	1	1	3
SNP_A-1788728	-0.461275	-0.013871	-1.113234	2	1	1	3
SNP_A-4218776	-0.123087	0.000000	0.000000	2	0	0	1
SNP_A-2082194	0.097856	0.714340	-1.273026	2	1	0	1
SNP_A-2135694	-0.099225	-0.096049	-0.102409	2	1	1	2
SNP_A-4220764	-0.074215	-0.028776	-0.121131	2	1	1	2
SNP_A-1796345	-0.039218	0.000000	0.000000	3	0	0	0
SNP_A-1789472	0.008175	0.000000	0.000000	2	0	0	3
SNP_A-1934233	0.151654	1.097047	-0.670020	2	0	0	3
SNP_A-4207031	0.249805	0.477436	-1.411709	2	1	1	1
!sample_table_end
