^SAMPLE = GSM393030
!Sample_title = SJES-2
!Sample_geo_accession = GSM393030
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma derived cell line, SJES-2
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SJES-2
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = SJES-2
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393030/suppl/GSM393030.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393030/suppl/GSM393030.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	0.223941	0.453602	-0.049331	3	2	1	0
SNP_A-1902458	0.348957	0.799235	-1.083495	3	1	1	1
SNP_A-2131660	0.378219	0.516323	0.225481	3	2	1	2
SNP_A-4221087	0.118740	0.413652	-0.437521	3	1	1	1
SNP_A-1884606	0.383863	0.000000	0.000000	3	0	0	1
SNP_A-2235839	0.346400	0.000000	0.000000	3	1	1	3
SNP_A-2218153	0.107512	0.491873	-0.487963	2	1	1	1
SNP_A-1919019	0.466634	0.565170	0.360871	3	2	1	2
SNP_A-1815933	0.250043	0.570841	-0.163114	3	2	1	2
SNP_A-2115098	0.341898	0.697036	-0.130246	3	2	1	2
SNP_A-2264565	0.156095	0.000000	0.000000	3	2	1	3
SNP_A-1788728	0.302142	0.000000	0.000000	3	2	1	3
SNP_A-4218776	0.292707	0.000000	0.000000	3	0	0	1
SNP_A-2082194	0.326555	0.988557	-1.108607	3	1	1	1
SNP_A-2135694	0.164863	0.655641	-0.751878	3	1	1	3
SNP_A-4220764	0.078937	0.690195	-0.749348	3	1	1	3
SNP_A-1796345	0.629973	0.000000	0.000000	3	0	0	1
SNP_A-1789472	0.101981	0.000000	0.000000	3	0	0	3
SNP_A-1934233	0.482525	1.445685	-0.435328	3	1	1	3
SNP_A-4207031	0.376526	0.547523	0.182502	3	2	1	2
!sample_table_end
