^SAMPLE = GSM393032
!Sample_title = SJES-5
!Sample_geo_accession = GSM393032
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma derived cell line, SJES-5
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SJES-5
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = SJES-5
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393032/suppl/GSM393032.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393032/suppl/GSM393032.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	0.536893	0.983718	-0.169921	4	1	1	3
SNP_A-1902458	0.564750	1.053951	-0.561854	4	1	1	1
SNP_A-2131660	0.438687	1.063977	-0.154462	3	2	1	3
SNP_A-4221087	0.380895	0.659589	-0.180005	4	1	1	1
SNP_A-1884606	0.693314	0.000000	0.000000	4	0	0	1
SNP_A-2235839	0.505460	0.803855	0.128811	4	3	1	0
SNP_A-2218153	0.392024	0.508428	0.265398	4	3	1	0
SNP_A-1919019	0.655399	1.339529	-0.243184	4	2	1	3
SNP_A-1815933	0.644683	0.944870	0.265168	4	3	1	2
SNP_A-2115098	0.679391	1.155803	-0.036757	4	3	1	1
SNP_A-2264565	0.459038	0.978586	-0.507299	4	2	1	3
SNP_A-1788728	0.327032	0.000000	0.000000	4	2	1	3
SNP_A-4218776	0.404196	0.000000	0.000000	4	0	0	1
SNP_A-2082194	0.530811	1.066227	-0.928392	4	1	1	1
SNP_A-2135694	0.545154	1.081334	-0.214220	3	1	1	0
SNP_A-4220764	0.489522	0.976349	-0.206673	4	2	1	1
SNP_A-1796345	0.505828	0.000000	0.000000	4	0	0	3
SNP_A-1789472	0.488621	0.000000	0.000000	4	0	0	3
SNP_A-1934233	0.447041	1.330299	-0.254439	4	1	1	3
SNP_A-4207031	0.583332	0.923968	0.136565	4	3	1	2
!sample_table_end
