^SAMPLE = GSM393020
!Sample_title = case 27
!Sample_geo_accession = GSM393020
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma primary sample, case 27
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample id: case 27
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = case 27
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393020/suppl/GSM393020.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393020/suppl/GSM393020.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	-0.016748	0.095977	-0.139032	2	1	1	2
SNP_A-1902458	-0.103677	0.350150	-1.362036	2	0	0	1
SNP_A-2131660	0.155008	0.783921	-0.642635	2	0	0	1
SNP_A-4221087	0.120146	0.000000	0.000000	2	1	1	2
SNP_A-1884606	0.084767	0.000000	0.000000	2	0	0	1
SNP_A-2235839	0.179991	0.202065	0.157574	2	1	1	2
SNP_A-2218153	0.145637	0.371570	-0.122370	2	1	1	2
SNP_A-1919019	-0.082730	0.473958	-0.677426	2	0	0	3
SNP_A-1815933	-0.023290	0.412752	-1.837451	2	1	1	3
SNP_A-2115098	-0.151642	0.568747	-0.653394	2	0	0	1
SNP_A-2264565	-0.061875	0.055155	-0.189244	2	1	1	2
SNP_A-1788728	-0.189453	0.000000	0.000000	2	1	1	3
SNP_A-4218776	-0.080115	0.000000	0.000000	2	0	0	1
SNP_A-2082194	0.083868	0.566086	-1.434112	2	1	1	1
SNP_A-2135694	-0.075386	0.290984	-0.567678	2	1	1	2
SNP_A-4220764	0.036043	0.558220	-0.584878	2	0	0	1
SNP_A-1796345	-0.085972	0.000000	0.000000	2	0	0	3
SNP_A-1789472	-0.019073	0.000000	0.000000	2	0	0	3
SNP_A-1934233	-0.278379	0.000000	0.000000	2	0	0	3
SNP_A-4207031	-0.031940	0.087407	-0.162057	2	1	1	2
!sample_table_end
