^SAMPLE = GSM393036
!Sample_title = SK-N-PI
!Sample_geo_accession = GSM393036
!Sample_status = Public on Apr 01 2010
!Sample_submission_date = Apr 16 2009
!Sample_last_update_date = Sep 21 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ewing Sarcoma derived cell line, SK-N-PI
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: SK-N-PI
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = As per PUREGENE DNA extracting kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = We have used anonymous normal references (own-lab-generated) for SNP array analysis.
!Sample_description = SK-N-PI
!Sample_data_processing = CNAG/AsCNAR 3.0
!Sample_platform_id = GPL3718
!Sample_contact_name = Motohiro,,Kato
!Sample_contact_institute = University of Tokyo
!Sample_contact_address = 7-3-1, Hongo, Bunkyo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 113-8655
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393036/suppl/GSM393036.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM393nnn/GSM393036/suppl/GSM393036.CHP.gz
!Sample_series_id = GSE15696
!Sample_data_row_count = 262264
#ID_REF = 
#VALUE = log2ratio_AB
#log2ratio_A = 
#log2ratio_B = 
#N_AB = 
#N_A = 
#N_B = 
#Call_test = 
!sample_table_begin
ID_REF	VALUE	log2ratio_A	log2ratio_B	N_AB	N_A	N_B	Call_test
SNP_A-1886933	-0.107992	0.007806	-0.233902	2	1	1	2
SNP_A-1902458	0.062982	0.494776	-1.331030	2	1	1	1
SNP_A-2131660	-0.221032	0.406294	-0.763060	2	1	1	3
SNP_A-4221087	-0.023620	0.270678	-0.822656	2	1	1	1
SNP_A-1884606	0.238842	0.000000	0.000000	2	0	0	1
SNP_A-2235839	0.034416	0.046971	0.021751	2	1	1	2
SNP_A-2218153	-0.347806	-0.039074	-0.741116	2	1	1	1
SNP_A-1919019	0.085764	0.123130	0.047404	2	1	1	2
SNP_A-1815933	0.218760	0.652667	-1.914193	2	1	1	3
SNP_A-2115098	0.171116	0.250182	0.087465	2	1	1	2
SNP_A-2264565	-0.164118	0.227375	-1.153092	2	1	1	3
SNP_A-1788728	-0.145373	0.000000	0.000000	2	2	1	3
SNP_A-4218776	-0.046378	0.000000	0.000000	2	0	0	1
SNP_A-2082194	0.087599	0.642067	-1.471388	2	1	1	1
SNP_A-2135694	-0.088513	0.393239	-1.038662	2	1	1	3
SNP_A-4220764	-0.227102	0.361852	-0.910463	2	1	1	3
SNP_A-1796345	0.108176	0.000000	0.000000	2	0	0	3
SNP_A-1789472	-0.257843	0.000000	0.000000	2	0	0	3
SNP_A-1934233	-0.186066	0.702181	-1.092892	2	1	1	3
SNP_A-4207031	0.093803	0.256722	-1.698065	2	1	1	1
!sample_table_end
