^SAMPLE = GSM400836
!Sample_title = ccRCC tumor and normal blood DNA pair  4
!Sample_geo_accession = GSM400836
!Sample_status = Public on May 09 2009
!Sample_submission_date = May 07 2009
!Sample_last_update_date = May 08 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = ccRCC tumor and blood
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: female
!Sample_characteristics_ch1 = tissue: ccRCC tumor and blood
!Sample_characteristics_ch1 = disease state: carcinoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Extraction of genomic DNA from fresh frozen tissue was performed using QIAamp DNeasy Blood and Tissue kit (QIAGEN, Valencia, CA).
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = 750ng of genomic DNA was whole-genome amplified in an overnight reaction at 37Â¡C using amplification master mix (WG-AMM) and primer/neutralization mix (WG-MP1). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FRG), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).
!Sample_hyb_protocol = RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48Â¡C, single-base extension and allele-specific staining was performed on a Teflow chamber.
!Sample_scan_protocol = After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).
!Sample_description = Genomic DNA from ccRCC tumor and reference DNA from blood sample of the corresponding ccRCC patient were genotyped using Infinium HumanHap300 Genotyping BeadChips (Illumina).
!Sample_data_processing = Genomic DNA extracted from ccRCC tumor and normal blood DNA pairs was genotyped using Infinium HumanHap300 Genotyping BeadChips (Illumina).
!Sample_platform_id = GPL6979
!Sample_contact_name = Xifeng,,Wu
!Sample_contact_email = xwu@mdanderson.org
!Sample_contact_phone = 7137452485
!Sample_contact_fax = 7137924657
!Sample_contact_department = Epidemiology
!Sample_contact_institute = UT M.D Anderson Cancer Center
!Sample_contact_address = 1155 pressler blvd.
!Sample_contact_city = Houston
!Sample_contact_state = TX
!Sample_contact_zip/postal_code = 77030
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16019
!Sample_data_row_count = 317497
#ID_REF = 
#VALUE = Log_R_Ratio
#AlleleFreq Ref. = 
#AlleleFreq Sub. = 
#|dAlleleFreq sub-ref| = 
!sample_table_begin
ID_REF	VALUE	AlleleFreq Ref.	AlleleFreq Sub.	|dAlleleFreq sub-ref|
rs3934834-124_T_R_1135975865	0.2381037	0.9589017	0.9847861	
rs3737728-124_T_R_1135790679	0.1853771	0.9892719	0.9736119	
rs6687776-124_T_R_1135347468	0.01876239	0.986914	0.9955371	
rs9651273-124_T_F_1136827223	0.2176289	0.5332609	0.5390573	0.005796373
rs4970405-124_T_F_1136522326	0.4285883	0.00056116	0.005188196	
rs12726255-124_B_R_1135572792	0.1339812	0.005569777	0.01357937	
rs2298217-124_T_R_1135807872	0.07566771	0.9814388	0.969183	
rs4970357-124_T_F_1135327694	1.327746	0.04538106	0.01029258	
rs4970362-124_T_F_1135713090	0.3231722	0.4791198	0.4635637	0.01555607
rs9660710-124_B_R_1135732876	0.231948	0.9986298	0.9946769	
rs4970420-124_B_R_1136441302	0.3898125	0.9672313	1	
rs1320565-124_B_F_1137428853	0.2027121	0.987038	0.9975771	
rs11260549-124_B_R_1135739417	-0.1590928	0.5144933	0.5422261	0.02773285
rs9729550-124_B_R_1135710069	0.3547386	0.5580025	0.4953516	0.06265092
rs11721-124_T_R_1136433517	0.4058447	1	0.967685	
rs2887286-124_B_R_1135111632	0.106	1	0.9493473	
rs3813199-124_T_R_1136807858	0.2058736	0.9962511	0.9821908	
rs3766186-124_T_R_1136764966	0.3015177	0.9901909	0.9732325	
rs7515488-124_B_F_1136819717	0.437678	1	1	
rs715643-124_T_R_1137448467	0.1386268	1	0.9607986	
!sample_table_end
