^SAMPLE = GSM400870
!Sample_title = ccRCC tumor and normal blood DNA pair 38
!Sample_geo_accession = GSM400870
!Sample_status = Public on May 09 2009
!Sample_submission_date = May 07 2009
!Sample_last_update_date = May 08 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = ccRCC tumor and blood
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = tissue: ccRCC tumor and blood
!Sample_characteristics_ch1 = disease state: carcinoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Extraction of genomic DNA from fresh frozen tissue was performed using QIAamp DNeasy Blood and Tissue kit (QIAGEN, Valencia, CA).
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = 750ng of genomic DNA was whole-genome amplified in an overnight reaction at 37Â¡C using amplification master mix (WG-AMM) and primer/neutralization mix (WG-MP1). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FRG), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).
!Sample_hyb_protocol = RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48Â¡C, single-base extension and allele-specific staining was performed on a Teflow chamber.
!Sample_scan_protocol = After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).
!Sample_description = Genomic DNA from ccRCC tumor and reference DNA from blood sample of the corresponding ccRCC patient were genotyped using Infinium HumanHap300 Genotyping BeadChips (Illumina).
!Sample_data_processing = Genomic DNA extracted from ccRCC tumor and normal blood DNA pairs was genotyped using Infinium HumanHap300 Genotyping BeadChips (Illumina).
!Sample_platform_id = GPL6979
!Sample_contact_name = Xifeng,,Wu
!Sample_contact_email = xwu@mdanderson.org
!Sample_contact_phone = 7137452485
!Sample_contact_fax = 7137924657
!Sample_contact_department = Epidemiology
!Sample_contact_institute = UT M.D Anderson Cancer Center
!Sample_contact_address = 1155 pressler blvd.
!Sample_contact_city = Houston
!Sample_contact_state = TX
!Sample_contact_zip/postal_code = 77030
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16019
!Sample_data_row_count = 317497
#ID_REF = 
#VALUE = Log_R_Ratio
#AlleleFreq Ref. = 
#AlleleFreq Sub. = 
#|dAlleleFreq sub-ref| = 
!sample_table_begin
ID_REF	VALUE	AlleleFreq Ref.	AlleleFreq Sub.	|dAlleleFreq sub-ref|
rs3934834-124_T_R_1135975865	0.01688065	1	1	
rs3737728-124_T_R_1135790679	0.08756094	1	1	
rs6687776-124_T_R_1135347468	0.004035677	0.9971153	1	
rs9651273-124_T_F_1136827223	0.01372645	1	1	
rs4970405-124_T_F_1136522326	0.5008476	0.003360504	0	
rs12726255-124_B_R_1135572792	0.1291973	0.008216811	0	
rs2298217-124_T_R_1135807872	0.02318311	1	0.9997884	
rs4970357-124_T_F_1135327694	-0.1832148	0	0	
rs4970362-124_T_F_1135713090	0.01951359	0.9936343	0.9827743	
rs9660710-124_B_R_1135732876	0.09566777	0.9991578	0.9999409	
rs4970420-124_B_R_1136441302	-0.01857153	1	1	
rs1320565-124_B_F_1137428853	0.07887738	1	0.9941999	
rs11260549-124_B_R_1135739417	-0.06649935	0.4937958	0.4931141	0.000681669
rs9729550-124_B_R_1135710069	0.0181916	0.5371277	0.494091	0.04303667
rs11721-124_T_R_1136433517	0.2113608	1	1	
rs2887286-124_B_R_1135111632	0.2895782	0.4949824	0.5122415	0.01725909
rs3813199-124_T_R_1136807858	-0.07278842	1	0.9989216	
rs3766186-124_T_R_1136764966	-0.05291146	1	0.9991419	
rs7515488-124_B_F_1136819717	0.3207301	0.5831091	0.5611784	0.02193075
rs715643-124_T_R_1137448467	-0.09665958	0.9902938	0.9674247	
!sample_table_end
