^SAMPLE = GSM271356
!Sample_title = MCFDCIS+HME T2 Exp2 35 days
!Sample_geo_accession = GSM271356
!Sample_status = Public on Mar 07 2008
!Sample_submission_date = Mar 06 2008
!Sample_last_update_date = Mar 06 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCFDCIS+HME T2 xenograft
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = none
!Sample_growth_protocol_ch1 = Cells were grown in the media recommended by the providers. MCFDCIS cells were injected subcutaneously into 6-9 week old female nude mice alone or together with 2-3 fold excess of HME, RASF, PBS, or PBTS cells in 50% Matrigel. Tumors were allowed to grow for 3-8 weeks.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = We use the guanidinium thiocyanate/cesium chloride centrifugation method to isolate RNA/DNA from large amounts of tissue/cells and the mMACS mRNA isolation kit for small amounts (less than 1 million cells). The DNA fraction was extracted with PC8, treated with proteinase K and isopropanol precipitated.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocol
!Sample_hyb_protocol = SNP array hybridizations were performed by the Dana-Farber Microarray Core using Affymetrix 11K XbaI or 250K StyI SNP arrays and protocols recommended by Affymetrix
!Sample_scan_protocol = Arrays were scanned using a confocal laser scanner, and Affymetrix genotyping software (Affymetrix GeneChip 5.0) was used to make allele calls for all loci.
!Sample_description = MCFDCIS+HME T2 Exp2 35 days
!Sample_data_processing = Data were then analyzed using dChip or genepattern software.
!Sample_platform_id = GPL1266
!Sample_contact_name = Kornelia,,Polyak
!Sample_contact_email = kornelia_polyak@dfci.harvard.edu
!Sample_contact_phone = 617-632-2106
!Sample_contact_laboratory = Polyak
!Sample_contact_department = Medical Oncology
!Sample_contact_institute = Dana-Farber Cancer Institute
!Sample_contact_address = 450 Brookline Ave
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02215
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271356/suppl/GSM271356.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271356/suppl/GSM271356.TXT.gz
!Sample_series_id = GSE10747
!Sample_data_row_count = 11205
#ID_REF = 
#VALUE = copy number (dChip)
#LOH = L - loss, R - retention, N - no call (dChip)
#RAS 1 = relative allele signal 1 (GCOS)
#RAS 2 = relative allele signal 2 (GCOS)
#Call = genotype (GCOS)
#Call Zone = call zone score (GCOS)
!sample_table_begin
ID_REF	VALUE	LOH	RAS 1	RAS 2	Call	Call Zone
SNP_A-1507322	1.47193	R	0.9905	0.9752	AA	0.035553
SNP_A-1507323	1.62619	R	0.8	0.5759	NoCall	0.969939
SNP_A-1507325	2.1457	R	0.4837	0.4995	AB	0.594855
SNP_A-1507326	2.36049	R	0.6459	0.8054	AB	0.524945
SNP_A-1507327	1.95024	R	0.2609	0.6501	AB	0.331978
SNP_A-1507328	1.22456	R	0.5386	0.4453	NoCall	0.867498
SNP_A-1507329	2.33846	R	0.3721	0.534	AB	0.416519
SNP_A-1507330	4.09858	R	0.7183	0.7216	AB	0.629969
SNP_A-1507331	3.1156	R	0.1126	0.0255	BB	0.28991
SNP_A-1507332	2.84679	R	0.5276	0.4881	AB	0.719871
SNP_A-1507335	2.50682	R	0.17	0.219	BB	0.316031
SNP_A-1507336	2.34492	R	0.673	0.8278	AA	0.784337
SNP_A-1507337	1.93571	R	0.8237	0.8905	AA	0.153653
SNP_A-1507338	2.53456	R	0.8829	0.9668	AA	0.233416
SNP_A-1507339	1.68502	R	0.4629	0.4787	AB	0.314645
SNP_A-1507340	2.23118	R	0.2112	0.1828	NoCall	0.955532
SNP_A-1507341	2.69053	R	0.9914	0.9772	AA	0.06443
SNP_A-1507342	1.12383	R	1	1	AA	0.077995
SNP_A-1507343	1.73192	R	0.4788	0.3896	AB	0.128307
SNP_A-1507344	2.02196	R	0.0017	0.0284	BB	0.076421
!sample_table_end
