^SAMPLE = GSM271381
!Sample_title = MCFDCIS+PBTS m5T1 Exp4 28 days
!Sample_geo_accession = GSM271381
!Sample_status = Public on Mar 07 2008
!Sample_submission_date = Mar 06 2008
!Sample_last_update_date = Mar 06 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCFDCIS+PBTS m5T1 xenograft
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = none
!Sample_growth_protocol_ch1 = Cells were grown in the media recommended by the providers. MCFDCIS cells were injected subcutaneously into 6-9 week old female nude mice alone or together with 2-3 fold excess of HME, RASF, PBS, or PBTS cells in 50% Matrigel. Tumors were allowed to grow for 3-8 weeks.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = We use the guanidinium thiocyanate/cesium chloride centrifugation method to isolate RNA/DNA from large amounts of tissue/cells and the mMACS mRNA isolation kit for small amounts (less than 1 million cells). The DNA fraction was extracted with PC8, treated with proteinase K and isopropanol precipitated.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocol
!Sample_hyb_protocol = SNP array hybridizations were performed by the Dana-Farber Microarray Core using Affymetrix 11K XbaI or 250K StyI SNP arrays and protocols recommended by Affymetrix
!Sample_scan_protocol = Arrays were scanned using a confocal laser scanner, and Affymetrix genotyping software (Affymetrix GeneChip 5.0) was used to make allele calls for all loci.
!Sample_description = MCFDCIS+PBTS m5T1 Exp4 28 days
!Sample_data_processing = Data were then analyzed using dChip or genepattern software.
!Sample_platform_id = GPL1266
!Sample_contact_name = Kornelia,,Polyak
!Sample_contact_email = kornelia_polyak@dfci.harvard.edu
!Sample_contact_phone = 617-632-2106
!Sample_contact_laboratory = Polyak
!Sample_contact_department = Medical Oncology
!Sample_contact_institute = Dana-Farber Cancer Institute
!Sample_contact_address = 450 Brookline Ave
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02215
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271381/suppl/GSM271381.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271381/suppl/GSM271381.TXT.gz
!Sample_series_id = GSE10747
!Sample_data_row_count = 11205
#ID_REF = 
#VALUE = copy number (dChip)
#LOH = L - loss, R - retention, N - no call (dChip)
#RAS 1 = relative allele signal 1 (GCOS)
#RAS 2 = relative allele signal 2 (GCOS)
#Call = genotype (GCOS)
#Call Zone = call zone score (GCOS)
!sample_table_begin
ID_REF	VALUE	LOH	RAS 1	RAS 2	Call	Call Zone
SNP_A-1507322	0.599301	R	0.9963	1	AA	0.099972
SNP_A-1507323	1.76925	R	0.6361	0.54	AB	0.356243
SNP_A-1507325	1.16143	R	0.6778	0.569	NoCall	1.210593
SNP_A-1507326	3.81728	R	0.7608	0.8615	NoCall	0.989729
SNP_A-1507327	2.5815	R	0.3378	0.5681	AB	0.09967
SNP_A-1507328	1.63107	R	0.5431	0.4471	NoCall	0.849259
SNP_A-1507329	3.1007	R	0.4595	0.4189	AB	0.17534
SNP_A-1507330	5.54547	R	0.6516	0.6971	AB	0.28592
SNP_A-1507331	3.48343	R	0	0	BB	0.376356
SNP_A-1507332	1.73705	R	0.3474	0.4126	AB	0.128757
SNP_A-1507335	2.54343	R	0.2174	0.1664	BB	0.122532
SNP_A-1507336	1.77641	R	0.8115	0.9243	AA	0.225263
SNP_A-1507337	3.32948	R	0.8313	0.8623	AA	0.067798
SNP_A-1507338	0.625752	R	0.8627	1	AA	0.298965
SNP_A-1507339	1.52717	R	0.3862	0.4083	AB	0.343512
SNP_A-1507340	2.6164	R	0.179	0.2059	NoCall	0.981698
SNP_A-1507341	2.18728	R	1	0.9756	AA	0.045515
SNP_A-1507342	0.400765	R	1	1	AA	0.077995
SNP_A-1507343	0.953815	R	0.5511	0.421	AB	0.267313
SNP_A-1507344	1.78532	R	0	0.0129	BB	0.033271
!sample_table_end
