^SAMPLE = GSM271349
!Sample_title = MCFDCIS 4wk m3T2
!Sample_geo_accession = GSM271349
!Sample_status = Public on Mar 07 2008
!Sample_submission_date = Mar 06 2008
!Sample_last_update_date = Mar 06 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCFDCIS 4wk m3T2 xenograft
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = none
!Sample_growth_protocol_ch1 = Cells were grown in the media recommended by the providers. MCFDCIS cells were injected subcutaneously into 6-9 week old female nude mice alone or together with 2-3 fold excess of HME, RASF, PBS, or PBTS cells in 50% Matrigel. Tumors were allowed to grow for 3-8 weeks.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = We use the guanidinium thiocyanate/cesium chloride centrifugation method to isolate RNA/DNA from large amounts of tissue/cells and the mMACS mRNA isolation kit for small amounts (less than 1 million cells). The DNA fraction was extracted with PC8, treated with proteinase K and isopropanol precipitated.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocol
!Sample_hyb_protocol = SNP array hybridizations were performed by the Dana-Farber Microarray Core using Affymetrix 11K XbaI or 250K StyI SNP arrays and protocols recommended by Affymetrix
!Sample_scan_protocol = Arrays were scanned using a confocal laser scanner, and Affymetrix genotyping software (Affymetrix GeneChip 5.0) was used to make allele calls for all loci.
!Sample_description = Affymetrix 11K XbaI SNP array
!Sample_data_processing = Data were then analyzed using dChip or genepattern software.
!Sample_platform_id = GPL1266
!Sample_contact_name = Kornelia,,Polyak
!Sample_contact_email = kornelia_polyak@dfci.harvard.edu
!Sample_contact_phone = 617-632-2106
!Sample_contact_laboratory = Polyak
!Sample_contact_department = Medical Oncology
!Sample_contact_institute = Dana-Farber Cancer Institute
!Sample_contact_address = 450 Brookline Ave
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02215
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271349/suppl/GSM271349.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271349/suppl/GSM271349.TXT.gz
!Sample_series_id = GSE10747
!Sample_data_row_count = 11205
#ID_REF = 
#VALUE = copy number (dChip)
#LOH = L - loss, R - retention, N - no call (dChip)
#RAS 1 = relative allele signal 1 (GCOS)
#RAS 2 = relative allele signal 2 (GCOS)
#Call = genotype (GCOS)
#Call Zone = call zone score (GCOS)
!sample_table_begin
ID_REF	VALUE	LOH	RAS 1	RAS 2	Call	Call Zone
SNP_A-1507322	1.43077	R	0.995	1	AA	0.100626
SNP_A-1507323	1.57493	R	0.4401	0.5009	AB	0.37978
SNP_A-1507325	1.02715	R	0.2816	0.098	NoCall	1.043918
SNP_A-1507326	2.13242	R	0.623	0.8006	AB	0.447295
SNP_A-1507327	0.983592	R	0.3308	0.6174	AB	0.07872
SNP_A-1507328	1.89484	R	0.7977	0.5257	AB	0.539054
SNP_A-1507329	1.93109	R	0.3452	0.4151	AB	0.466274
SNP_A-1507330	2.86994	R	0.7144	0.8186	NoCall	0.86898
SNP_A-1507331	2.43047	R	0.0436	0.0143	BB	0.114756
SNP_A-1507332	0.829396	R	0.2806	0.3471	AB	0.398792
SNP_A-1507335	2.35355	R	0.3455	0.241	BB	0.513323
SNP_A-1507336	2.81122	R	0.792	0.8948	AA	0.304601
SNP_A-1507337	1.26	R	0.6024	0.8571	AA	0.7239
SNP_A-1507338	1.22764	R	-2	-2	NoCall	10
SNP_A-1507339	0.895053	R	0.3063	0.3641	AB	0.527588
SNP_A-1507340	1.94405	R	0.2057	0.2147	NoCall	0.876944
SNP_A-1507341	1.24782	R	0.9889	0.981	AA	0.083995
SNP_A-1507342	1.34771	R	0.9854	1	AA	0.00708
SNP_A-1507343	0.815533	R	-2	-2	NoCall	10
SNP_A-1507344	0.952964	R	0	0	BB	0.007583
!sample_table_end
