^SAMPLE = GSM271370
!Sample_title = MCFDCIS+CD10 T3 Exp3 25 days
!Sample_geo_accession = GSM271370
!Sample_status = Public on Mar 07 2008
!Sample_submission_date = Mar 06 2008
!Sample_last_update_date = Mar 06 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCFDCIS+CD10 T3 xenograft
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = none
!Sample_growth_protocol_ch1 = Cells were grown in the media recommended by the providers. MCFDCIS cells were injected subcutaneously into 6-9 week old female nude mice alone or together with 2-3 fold excess of HME, RASF, PBS, or PBTS cells in 50% Matrigel. Tumors were allowed to grow for 3-8 weeks.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = We use the guanidinium thiocyanate/cesium chloride centrifugation method to isolate RNA/DNA from large amounts of tissue/cells and the mMACS mRNA isolation kit for small amounts (less than 1 million cells). The DNA fraction was extracted with PC8, treated with proteinase K and isopropanol precipitated.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocol
!Sample_hyb_protocol = SNP array hybridizations were performed by the Dana-Farber Microarray Core using Affymetrix 11K XbaI or 250K StyI SNP arrays and protocols recommended by Affymetrix
!Sample_scan_protocol = Arrays were scanned using a confocal laser scanner, and Affymetrix genotyping software (Affymetrix GeneChip 5.0) was used to make allele calls for all loci.
!Sample_description = MCFDCIS+CD10 T3 Exp3 25 days
!Sample_data_processing = Data were then analyzed using dChip or genepattern software.
!Sample_platform_id = GPL1266
!Sample_contact_name = Kornelia,,Polyak
!Sample_contact_email = kornelia_polyak@dfci.harvard.edu
!Sample_contact_phone = 617-632-2106
!Sample_contact_laboratory = Polyak
!Sample_contact_department = Medical Oncology
!Sample_contact_institute = Dana-Farber Cancer Institute
!Sample_contact_address = 450 Brookline Ave
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02215
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271370/suppl/GSM271370.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271370/suppl/GSM271370.TXT.gz
!Sample_series_id = GSE10747
!Sample_data_row_count = 11205
#ID_REF = 
#VALUE = copy number (dChip)
#LOH = L - loss, R - retention, N - no call (dChip)
#RAS 1 = relative allele signal 1 (GCOS)
#RAS 2 = relative allele signal 2 (GCOS)
#Call = genotype (GCOS)
#Call Zone = call zone score (GCOS)
!sample_table_begin
ID_REF	VALUE	LOH	RAS 1	RAS 2	Call	Call Zone
SNP_A-1507322	1.57353	R	1	1	AA	0.099123
SNP_A-1507323	1.8347	R	0.5379	0.5202	AB	0.038304
SNP_A-1507325	1.6188	R	0.4019	0.375	AB	0.154158
SNP_A-1507326	3.15416	R	0.6686	0.8589	AB	0.71329
SNP_A-1507327	1.61321	R	0.294	0.6466	AB	0.235974
SNP_A-1507328	2.4361	R	0.6115	0.525	AB	0.420314
SNP_A-1507329	2.28731	R	0.4375	0.4978	AB	0.145492
SNP_A-1507330	4.87462	R	0.6725	0.7414	AB	0.465246
SNP_A-1507331	4.0384	R	0.01	0	BB	0.320544
SNP_A-1507332	1.44874	R	0.4299	0.4966	AB	0.397243
SNP_A-1507335	2.62471	R	0.2711	0.2164	BB	0.313997
SNP_A-1507336	2.37845	R	0.8989	0.8995	AA	0.635193
SNP_A-1507337	1.83871	R	0.8015	0.8684	AA	0.105837
SNP_A-1507338	1.41806	R	1	0.9475	AA	0.299233
SNP_A-1507339	1.62213	R	0.4038	0.4818	AB	0.145689
SNP_A-1507340	2.45078	R	0.2232	0.1918	NoCall	0.895901
SNP_A-1507341	2.12599	R	1	0.9902	AA	0.10896
SNP_A-1507342	0.998945	R	0.988	1	AA	0.019638
SNP_A-1507343	1.16708	R	0.4677	0.3647	AB	0.201637
SNP_A-1507344	1.39526	R	0	0.0194	BB	0.051332
!sample_table_end
