^SAMPLE = GSM271360
!Sample_title = MCFDCIS+RASF T5  Exp 2 35 days
!Sample_geo_accession = GSM271360
!Sample_status = Public on Mar 07 2008
!Sample_submission_date = Mar 06 2008
!Sample_last_update_date = Mar 06 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCFDCIS+RASF T5 Exp1 xenograft
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = none
!Sample_growth_protocol_ch1 = Cells were grown in the media recommended by the providers. MCFDCIS cells were injected subcutaneously into 6-9 week old female nude mice alone or together with 2-3 fold excess of HME, RASF, PBS, or PBTS cells in 50% Matrigel. Tumors were allowed to grow for 3-8 weeks.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = We use the guanidinium thiocyanate/cesium chloride centrifugation method to isolate RNA/DNA from large amounts of tissue/cells and the mMACS mRNA isolation kit for small amounts (less than 1 million cells). The DNA fraction was extracted with PC8, treated with proteinase K and isopropanol precipitated.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocol
!Sample_hyb_protocol = SNP array hybridizations were performed by the Dana-Farber Microarray Core using Affymetrix 11K XbaI or 250K StyI SNP arrays and protocols recommended by Affymetrix
!Sample_scan_protocol = Arrays were scanned using a confocal laser scanner, and Affymetrix genotyping software (Affymetrix GeneChip 5.0) was used to make allele calls for all loci.
!Sample_description = MCFDCIS+RASF T5  Exp 2 35 days
!Sample_data_processing = Data were then analyzed using dChip or genepattern software.
!Sample_platform_id = GPL1266
!Sample_contact_name = Kornelia,,Polyak
!Sample_contact_email = kornelia_polyak@dfci.harvard.edu
!Sample_contact_phone = 617-632-2106
!Sample_contact_laboratory = Polyak
!Sample_contact_department = Medical Oncology
!Sample_contact_institute = Dana-Farber Cancer Institute
!Sample_contact_address = 450 Brookline Ave
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02215
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271360/suppl/GSM271360.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271360/suppl/GSM271360.TXT.gz
!Sample_series_id = GSE10747
!Sample_data_row_count = 11205
#ID_REF = 
#VALUE = copy number (dChip)
#LOH = L - loss, R - retention, N - no call (dChip)
#RAS 1 = relative allele signal 1 (GCOS)
#RAS 2 = relative allele signal 2 (GCOS)
#Call = genotype (GCOS)
#Call Zone = call zone score (GCOS)
!sample_table_begin
ID_REF	VALUE	LOH	RAS 1	RAS 2	Call	Call Zone
SNP_A-1507322	1.48241	R	0.9621	0.9483	AA	0.155671
SNP_A-1507323	1.62739	R	0.8043	0.5917	NoCall	0.996991
SNP_A-1507325	1.76003	R	0.3016	0.2819	AB	0.520787
SNP_A-1507326	1.73198	R	0.7311	0.8566	NoCall	0.887949
SNP_A-1507327	1.29984	R	0.2754	0.7281	AB	0.51686
SNP_A-1507328	1.13908	R	0.5733	0.428	NoCall	0.830555
SNP_A-1507329	2.53362	R	0.3528	0.4599	AB	0.397514
SNP_A-1507330	3.20657	R	0.7032	0.7339	AB	0.579972
SNP_A-1507331	2.84925	R	0	0	BB	0.376356
SNP_A-1507332	1.63201	R	0.5179	0.4569	AB	0.669473
SNP_A-1507335	2.43737	R	0.2281	0.2212	BB	0.287965
SNP_A-1507336	2.84873	R	0.6823	0.9451	AA	0.45124
SNP_A-1507337	2.07037	R	0.7994	0.8744	AA	0.125605
SNP_A-1507338	2.61328	R	0.8935	1	AA	0.178889
SNP_A-1507339	1.41485	R	0.3235	0.6647	AB	0.511653
SNP_A-1507340	2.55325	R	0.1843	0.1649	NoCall	0.918418
SNP_A-1507341	2.56331	R	1	1	AA	0.151355
SNP_A-1507342	1.46804	R	1	0.9068	AA	0.458578
SNP_A-1507343	1.93572	R	0.5424	0.5528	AB	0.460435
SNP_A-1507344	1.67563	R	0	0.0404	BB	0.110275
!sample_table_end
