^SAMPLE = GSM271348
!Sample_title = MCFDCIS 3wk T1
!Sample_geo_accession = GSM271348
!Sample_status = Public on Mar 07 2008
!Sample_submission_date = Mar 06 2008
!Sample_last_update_date = Mar 06 2008
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = MCFDCIS 3wk T1 xenograft
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = none
!Sample_growth_protocol_ch1 = Cells were grown in the media recommended by the providers. MCFDCIS cells were injected subcutaneously into 6-9 week old female nude mice alone or together with 2-3 fold excess of HME, RASF, PBS, or PBTS cells in 50% Matrigel. Tumors were allowed to grow for 3-8 weeks.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = We use the guanidinium thiocyanate/cesium chloride centrifugation method to isolate RNA/DNA from large amounts of tissue/cells and the mMACS mRNA isolation kit for small amounts (less than 1 million cells). The DNA fraction was extracted with PC8, treated with proteinase K and isopropanol precipitated.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocol
!Sample_hyb_protocol = SNP array hybridizations were performed by the Dana-Farber Microarray Core using Affymetrix 11K XbaI or 250K StyI SNP arrays and protocols recommended by Affymetrix
!Sample_scan_protocol = Arrays were scanned using a confocal laser scanner, and Affymetrix genotyping software (Affymetrix GeneChip 5.0) was used to make allele calls for all loci.
!Sample_description = Affymetrix 11K XbaI SNP array
!Sample_data_processing = Data were then analyzed using dChip or genepattern software.
!Sample_platform_id = GPL1266
!Sample_contact_name = Kornelia,,Polyak
!Sample_contact_email = kornelia_polyak@dfci.harvard.edu
!Sample_contact_phone = 617-632-2106
!Sample_contact_laboratory = Polyak
!Sample_contact_department = Medical Oncology
!Sample_contact_institute = Dana-Farber Cancer Institute
!Sample_contact_address = 450 Brookline Ave
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02215
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271348/suppl/GSM271348.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM271nnn/GSM271348/suppl/GSM271348.TXT.gz
!Sample_series_id = GSE10747
!Sample_data_row_count = 11205
#ID_REF = 
#VALUE = copy number (dChip)
#LOH = L - loss, R - retention, N - no call (dChip)
#RAS 1 = relative allele signal 1 (GCOS)
#RAS 2 = relative allele signal 2 (GCOS)
#Call = genotype (GCOS)
#Call Zone = call zone score (GCOS)
!sample_table_begin
ID_REF	VALUE	LOH	RAS 1	RAS 2	Call	Call Zone
SNP_A-1507322	1.39348	R	1	1	AA	0.099123
SNP_A-1507323	1.75674	R	0.4921	0.5005	AB	0.205359
SNP_A-1507325	1.97051	R	0.4971	0.3793	AB	0.27146
SNP_A-1507326	3.85362	R	0.6685	0.7776	AB	0.551576
SNP_A-1507327	1.36897	R	0.3154	0.6149	AB	0.102365
SNP_A-1507328	1.95948	R	0.7199	0.5385	AB	0.26488
SNP_A-1507329	2.37981	R	0.4306	0.498	AB	0.161285
SNP_A-1507330	5.47315	R	0.6502	0.7326	AB	0.352129
SNP_A-1507331	3.36583	R	0	0.0052	BB	0.370469
SNP_A-1507332	1.70469	R	0.3885	0.4908	AB	0.260751
SNP_A-1507335	2.43648	R	0.2817	0.2226	BB	0.34627
SNP_A-1507336	2.25477	R	0.8367	0.9494	AA	0.28263
SNP_A-1507337	2.15671	R	0.8061	0.8441	AA	0.053061
SNP_A-1507338	0.949399	R	0.9252	1	AA	0.064291
SNP_A-1507339	1.42616	R	0.3559	0.5311	AB	0.07619
SNP_A-1507340	2.33291	R	0.2562	0.1959	NoCall	0.803489
SNP_A-1507341	2.20468	R	0.998	0.9606	AA	0.021439
SNP_A-1507342	0.614196	R	1	1	AA	0.077995
SNP_A-1507343	0.913243	R	0.501	0.3536	AB	0.260133
SNP_A-1507344	1.69012	R	0.0461	0	BB	0.123353
!sample_table_end
