^SAMPLE = GSM552524
!Sample_title = Malignant mesothelioma, Y-MESO-8D
!Sample_geo_accession = GSM552524
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Malignant mesothelioma cell line
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-8D
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean signal
#CH1_BKD_MEAN = Cy3 background Mean signal
#CH2_SIG_MEAN = Cy5 Mean signal
#CH2_BKD_MEAN = Cy5 background Mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	7.81E-02	3.77E+02	4.88E+01	4.27E+02	6.05E+01
A_14_P100001	-3.13E-02	4.33E+02	5.28E+01	3.99E+02	6.17E+01
A_14_P100002	1.18E-01	5.11E+02	5.07E+01	6.23E+02	6.17E+01
A_14_P100003	1.58E-01	2.53E+02	4.80E+01	3.28E+02	6.19E+01
A_14_P100005	-4.76E-01	6.03E+02	4.86E+01	2.41E+02	6.53E+01
A_14_P100006	8.19E-02	3.27E+02	4.85E+01	3.72E+02	6.68E+01
A_14_P100007	-1.91E-01	2.72E+02	4.77E+01	1.96E+02	6.35E+01
A_14_P100008	-1.82E-01	3.40E+02	5.20E+01	2.40E+02	6.25E+01
A_14_P100009	-2.93E-01	5.03E+02	5.19E+01	2.80E+02	6.10E+01
A_14_P100010	2.83E-02	4.80E+02	4.76E+01	4.84E+02	6.04E+01
A_14_P100011	1.11E-01	4.27E+02	4.82E+01	5.12E+02	6.01E+01
A_14_P100012	2.02E-02	3.42E+02	4.94E+01	3.45E+02	6.09E+01
A_14_P100013	-2.44E-01	7.02E+02	5.15E+01	4.16E+02	6.18E+01
A_14_P100014	3.63E-02	1.69E+02	4.78E+01	1.77E+02	6.22E+01
A_14_P100015	1.96E-01	3.79E+02	4.34E+01	5.34E+02	6.21E+01
A_14_P100016	-2.17E-02	3.47E+02	4.66E+01	3.27E+02	6.39E+01
A_14_P100017	4.07E-03	4.34E+02	5.03E+01	4.26E+02	5.81E+01
A_14_P100018	9.67E-02	4.86E+02	5.15E+01	5.73E+02	6.20E+01
A_14_P100019	4.39E-02	6.55E+02	5.15E+01	6.90E+02	6.29E+01
A_14_P100020	6.58E-02	3.10E+02	5.21E+01	3.40E+02	5.80E+01
!sample_table_end
