^SAMPLE = GSM552534
!Sample_title = Malignant mesothelioma, Y-MESO-28
!Sample_geo_accession = GSM552534
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-28 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-28
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 mean signal
#CH1_BKD_MEAN = Cy3 background mean signal
#CH2_SIG_MEAN = Cy5 mean signal
#CH2_BKD_MEAN = Cy5 background mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	5.90E-02	3.58E+02	4.97E+01	4.24E+02	6.91E+01
A_14_P100001	2.61E-02	3.63E+02	4.88E+01	3.99E+02	6.31E+01
A_14_P100002	-1.31E-02	4.20E+02	4.14E+01	4.32E+02	5.97E+01
A_14_P100003	-5.48E-02	1.89E+02	4.59E+01	2.02E+02	6.36E+01
A_14_P100005	8.80E-02	5.04E+02	4.77E+01	6.20E+02	6.42E+01
A_14_P100006	-1.30E-01	3.38E+02	4.64E+01	2.86E+02	6.45E+01
A_14_P100007	-1.20E-01	2.03E+02	4.88E+01	1.94E+02	5.78E+01
A_14_P100008	-1.95E-01	2.20E+02	4.74E+01	1.89E+02	6.24E+01
A_14_P100009	-2.48E-01	4.56E+02	4.50E+01	3.12E+02	5.94E+01
A_14_P100010	-6.61E-02	3.17E+02	4.72E+01	3.13E+02	5.96E+01
A_14_P100011	1.26E-01	3.17E+02	4.75E+01	4.22E+02	6.39E+01
A_14_P100012	-1.58E-01	2.39E+02	4.66E+01	2.09E+02	6.77E+01
A_14_P100013	-1.75E-01	5.76E+02	4.85E+01	4.30E+02	6.59E+01
A_14_P100014	6.01E-02	1.52E+02	4.37E+01	1.87E+02	6.19E+01
A_14_P100015	2.48E-01	2.72E+02	4.41E+01	4.63E+02	6.54E+01
A_14_P100016	-2.27E-01	3.50E+02	4.43E+01	2.59E+02	6.28E+01
A_14_P100017	-2.05E-01	4.47E+02	4.94E+01	3.26E+02	6.63E+01
A_14_P100018	1.18E-01	4.47E+02	5.26E+01	5.82E+02	5.95E+01
A_14_P100019	-6.80E-02	6.44E+02	4.44E+01	5.87E+02	6.46E+01
A_14_P100020	-2.74E-01	3.78E+02	4.90E+01	2.52E+02	6.71E+01
!sample_table_end
