^SAMPLE = GSM552525
!Sample_title = Malignant mesothelioma, Y-MESO-9
!Sample_geo_accession = GSM552525
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Malignant mesothelioma, Y-MESO-9
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-9
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean signal
#CH1_BKD_MEAN = Cy3 background Mean signal
#CH2_SIG_MEAN = Cy5 Mean signal
#CH2_BKD_MEAN = Cy5 background Mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	-8.54E-02	4.25E+02	4.93E+01	3.20E+02	6.06E+01
A_14_P100001	5.91E-02	4.77E+02	4.41E+01	4.67E+02	6.54E+01
A_14_P100002	-2.30E-02	6.09E+02	4.89E+01	5.08E+02	6.23E+01
A_14_P100003	-1.39E-01	3.14E+02	4.18E+01	2.36E+02	6.51E+01
A_14_P100005	2.94E-02	6.59E+02	5.13E+01	6.00E+02	6.33E+01
A_14_P100006	1.74E-01	3.94E+02	4.51E+01	4.86E+02	6.33E+01
A_14_P100007	7.52E-03	2.51E+02	4.41E+01	2.38E+02	6.51E+01
A_14_P100008	-1.75E-01	3.39E+02	5.02E+01	2.35E+02	6.09E+01
A_14_P100009	-4.02E-02	5.78E+02	4.74E+01	4.71E+02	6.27E+01
A_14_P100010	1.11E-01	4.75E+02	4.80E+01	5.25E+02	6.81E+01
A_14_P100011	6.57E-02	4.48E+02	5.33E+01	4.46E+02	6.53E+01
A_14_P100012	-7.19E-02	3.27E+02	4.58E+01	2.61E+02	6.50E+01
A_14_P100013	1.39E-02	7.67E+02	4.59E+01	6.83E+02	6.74E+01
A_14_P100014	-1.38E-01	1.99E+02	4.44E+01	1.68E+02	6.93E+01
A_14_P100015	2.07E-01	4.09E+02	4.44E+01	5.43E+02	6.59E+01
A_14_P100016	-6.28E-02	3.78E+02	4.69E+01	3.11E+02	6.33E+01
A_14_P100017	2.59E-01	4.16E+02	4.45E+01	6.02E+02	6.53E+01
A_14_P100018	8.21E-03	5.63E+02	4.86E+01	4.92E+02	5.97E+01
A_14_P100019	-7.84E-02	7.75E+02	4.86E+01	5.75E+02	6.54E+01
A_14_P100020	-2.13E-01	3.81E+02	4.81E+01	2.44E+02	6.31E+01
!sample_table_end
