^SAMPLE = GSM552530
!Sample_title = Malignant mesothelioma, Y-MESO-25
!Sample_geo_accession = GSM552530
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-25 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-25
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean signal
#CH1_BKD_MEAN = Cy3 background Mean signal
#CH2_SIG_MEAN = Cy5 Mean signal
#CH2_BKD_MEAN = Cy5 background Mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	-2.93E-01	3.79E+02	5.53E+01	2.11E+02	6.64E+01
A_14_P100001	1.61E-01	4.14E+02	5.80E+01	4.66E+02	6.26E+01
A_14_P100002	-2.14E-01	5.86E+02	5.61E+01	3.27E+02	5.88E+01
A_14_P100003	-1.91E-02	2.06E+02	4.68E+01	1.66E+02	6.49E+01
A_14_P100005	8.07E-02	6.29E+02	5.33E+01	6.02E+02	6.49E+01
A_14_P100006	-9.09E-02	3.80E+02	5.13E+01	2.77E+02	6.23E+01
A_14_P100007	-1.67E-01	2.71E+02	5.72E+01	1.84E+02	6.64E+01
A_14_P100008	-2.24E-01	2.90E+02	5.19E+01	1.75E+02	6.86E+01
A_14_P100009	-2.85E-01	5.80E+02	5.42E+01	2.91E+02	7.09E+01
A_14_P100010	1.19E-01	3.68E+02	5.48E+01	3.81E+02	6.78E+01
A_14_P100011	9.46E-02	3.58E+02	5.25E+01	3.63E+02	6.77E+01
A_14_P100012	-2.40E-01	3.05E+02	5.55E+01	1.87E+02	6.84E+01
A_14_P100013	-2.62E-01	5.98E+02	5.40E+01	3.08E+02	6.97E+01
A_14_P100014	0.00E+00	1.59E+02	5.09E+01	1.36E+02	7.06E+01
A_14_P100015	6.43E-02	3.24E+02	6.04E+01	3.09E+02	6.21E+01
A_14_P100016	-6.11E-03	3.64E+02	5.30E+01	3.10E+02	6.50E+01
A_14_P100017	-5.66E-02	5.15E+02	5.30E+01	3.85E+02	6.68E+01
A_14_P100018	1.56E-01	4.96E+02	6.09E+01	5.48E+02	6.24E+01
A_14_P100019	-3.10E-01	7.48E+02	5.25E+01	3.39E+02	6.92E+01
A_14_P100020	-4.31E-01	4.35E+02	5.34E+01	1.62E+02	6.62E+01
!sample_table_end
