^SAMPLE = GSM552536
!Sample_title = Malignant mesothelioma, Y-MESO-30
!Sample_geo_accession = GSM552536
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-30 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-30
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 mean signal
#CH1_BKD_MEAN = Cy3 background mean signal
#CH2_SIG_MEAN = Cy5 mean signal
#CH2_BKD_MEAN = Cy5 background mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	6.39E-02	2.48E+02	3.89E+01	3.24E+02	5.81E+01
A_14_P100001	-1.72E-03	2.43E+02	4.04E+01	2.81E+02	6.18E+01
A_14_P100002	-3.00E-03	5.00E+02	4.57E+01	5.73E+02	6.04E+01
A_14_P100003	3.75E-02	1.69E+02	4.45E+01	2.17E+02	6.31E+01
A_14_P100005	-2.49E-03	3.08E+02	4.07E+01	3.55E+02	6.20E+01
A_14_P100006	2.10E-04	3.03E+02	4.43E+01	3.50E+02	5.80E+01
A_14_P100007	-2.31E-01	2.02E+02	4.20E+01	1.69E+02	6.00E+01
A_14_P100008	8.83E-02	2.07E+02	4.34E+01	2.92E+02	6.76E+01
A_14_P100009	5.44E-04	3.71E+02	4.48E+01	4.37E+02	6.30E+01
A_14_P100010	1.74E-02	2.42E+02	4.18E+01	3.02E+02	6.11E+01
A_14_P100011	6.54E-02	3.19E+02	4.16E+01	4.21E+02	5.56E+01
A_14_P100012	2.15E-02	1.71E+02	4.31E+01	2.10E+02	7.04E+01
A_14_P100013	3.41E-02	4.55E+02	4.36E+01	5.65E+02	6.15E+01
A_14_P100014	1.18E-01	1.31E+02	4.14E+01	1.85E+02	6.61E+01
A_14_P100015	1.24E-01	2.18E+02	4.60E+01	3.26E+02	7.00E+01
A_14_P100016	1.70E-01	2.49E+02	4.40E+01	4.06E+02	6.70E+01
A_14_P100017	9.40E-02	2.39E+02	4.35E+01	3.28E+02	6.06E+01
A_14_P100018	5.11E-02	3.50E+02	4.13E+01	4.46E+02	6.13E+01
A_14_P100019	-2.75E-01	4.73E+02	4.21E+01	3.19E+02	6.17E+01
A_14_P100020	8.10E-02	2.94E+02	4.29E+01	3.95E+02	6.01E+01
!sample_table_end
