^SAMPLE = GSM552527
!Sample_title = Malignant mesothelioma, Y-MESO-14
!Sample_geo_accession = GSM552527
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-14 genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-14
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean signal
#CH1_BKD_MEAN = Cy3 background Mean signal
#CH2_SIG_MEAN = Cy5 Mean signal
#CH2_BKD_MEAN = Cy5 background Mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	-2.09E-01	3.99E+02	4.30E+01	2.95E+02	5.81E+01
A_14_P100001	9.21E-02	4.25E+02	4.83E+01	5.29E+02	5.92E+01
A_14_P100002	-2.75E-02	5.97E+02	5.07E+01	5.78E+02	5.86E+01
A_14_P100003	-8.87E-02	2.72E+02	4.52E+01	2.55E+02	6.54E+01
A_14_P100005	-1.67E-01	6.25E+02	4.75E+01	4.64E+02	6.09E+01
A_14_P100006	-2.32E-01	4.08E+02	4.73E+01	2.85E+02	6.07E+01
A_14_P100007	-1.40E-01	2.90E+02	5.02E+01	2.45E+02	6.69E+01
A_14_P100008	-1.86E-01	3.50E+02	4.55E+01	2.71E+02	6.33E+01
A_14_P100009	-2.07E-01	5.54E+02	4.94E+01	3.86E+02	6.26E+01
A_14_P100010	1.72E-01	3.82E+02	5.03E+01	5.34E+02	6.42E+01
A_14_P100011	-4.12E-02	4.36E+02	4.74E+01	4.24E+02	6.22E+01
A_14_P100012	-1.66E-01	3.69E+02	4.78E+01	2.89E+02	6.54E+01
A_14_P100013	-1.16E-01	7.29E+02	4.85E+01	5.82E+02	6.26E+01
A_14_P100014	1.26E-02	1.70E+02	4.87E+01	1.95E+02	6.49E+01
A_14_P100015	2.97E-01	4.13E+02	4.62E+01	7.50E+02	6.64E+01
A_14_P100016	2.19E-01	3.36E+02	4.99E+01	5.38E+02	6.28E+01
A_14_P100017	-2.24E-01	4.52E+02	4.97E+01	3.15E+02	6.68E+01
A_14_P100018	3.13E-01	5.38E+02	4.67E+01	1.06E+03	6.34E+01
A_14_P100019	-9.86E-02	6.83E+02	4.95E+01	5.72E+02	6.31E+01
A_14_P100020	5.07E-03	3.66E+02	4.55E+01	3.89E+02	6.06E+01
!sample_table_end
