^SAMPLE = GSM226738
!Sample_title = CSCC7
!Sample_geo_accession = GSM226738
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = CSCC7
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV16)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226738/suppl/GSM226738.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	-0.0891802412445922	1.87385293747513	4614	92	7646	149	0
2	-0.105849219014692	1.87385293747513	4938	92	8206	152	0
3	-0.0939922672273734	1.87385293747513	5098	94	8363	154	0
4	-0.146297958426478	1.81135476273943	3998	95	6969	156	0
5	-0.115384656693151	1.81135476273943	3867	96	6589	152	0
6	-0.142930867118374	1.81135476273943	4096	96	7098	153	0
7	-0.172490459781543	1.75788648367608	4256	97	7472	156	0
8	-0.186158089203099	1.75788648367608	4463	96	7900	156	0
9	-0.199756195315659	1.75788648367608	4568	95	8140	155	0
10	0.181331507779882	2.26865318779543	2131	93	3187	155	0
11	0.198095991376519	2.26865318779543	2191	94	3231	156	0
12	0.181836079045569	2.26865318779543	2229	97	3308	157	0
13	-0.0160495251418709	1.94989889705298	4744	96	7481	157	0
14	-0.0418152550085319	1.94989889705298	4647	96	7462	157	0
15	-0.0366006783336732	1.94989889705298	4872	95	7764	157	0
16	-0.134789475346186	1.85313275282018	4822	95	8192	158	0
17	-0.107971144345362	1.85313275282018	4900	95	8164	156	0
18	-0.110033764627726	1.85313275282018	5130	95	8492	156	0
19	-0.108879443639729	1.91941304405983	3835	96	6516	156	0
20	-0.0593347973276619	1.91941304405983	3872	97	6368	156	0
!sample_table_end
