^SAMPLE = GSM226732
!Sample_title = CasKi ArrayCGH
!Sample_geo_accession = GSM226732
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = CasKi
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV16)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226732/suppl/GSM226732.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	-0.210437521041242	1.72569525363218	3623	139	4319	145	0
2	-0.212822283392449	1.72569525363218	3846	137	4428	143	0
3	-0.215431422095883	1.72569525363218	3854	133	4438	142	0
4	-0.242810240555293	1.71603729205347	2776	135	3557	143	0
5	-0.220919094903789	1.71603729205347	2614	137	3290	145	0
6	-0.219206387244436	1.71603729205347	2843	137	3601	147	0
7	-0.297945784488642	1.60594869465575	3003	135	4022	146	0
8	-0.316574196278046	1.60594869465575	3047	133	4111	145	0
9	-0.337067058137006	1.60594869465575	3165	132	4283	146	0
10	0.109428062781742	2.15760095130302	1635	134	1802	146	0
11	0.130259627790595	2.15760095130302	1665	137	1802	147	0
12	0.0459595090618228	2.15760095130302	1688	138	1891	147	0
13	-0.121287135117078	1.84087750989494	3601	135	4123	148	0
14	-0.101844773902860	1.84087750989494	3631	132	4101	147	0
15	-0.119606365569781	1.84087750989494	3696	129	4175	145	0
16	-0.178197420277270	1.75385609029248	3304	127	4038	145	0
17	-0.189469625272658	1.75385609029248	3299	126	4061	146	0
18	-0.231548670212788	1.75385609029248	3435	128	4258	147	0
19	-0.104003100368710	1.89379606614154	2898	131	3395	147	0
20	-0.0787190177718248	1.89379606614154	2835	129	3267	148	0
!sample_table_end
