^SAMPLE = GSM226735
!Sample_title = CC11-
!Sample_geo_accession = GSM226735
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = CC11-
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV67)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226735/suppl/GSM226735.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	0.00703330844450989	2.00977404128042	3906	104	4765	166	0
2	-0.0286139378786244	2.00977404128042	3820	104	4774	164	0
3	0.0111067978552510	2.00977404128042	4016	103	4881	162	0
4	-0.0558810046642983	1.88267226597247	2933	103	3758	162	0
5	-0.0895317870182011	1.88267226597247	3028	105	3976	164	0
6	-0.0872181213478796	1.88267226597247	3164	107	4145	165	0
7	-0.0829919821949664	1.88494120372949	3268	108	4258	165	0
8	-0.126159509795664	1.88494120372949	3247	108	4351	164	0
9	-0.0854804772545155	1.88494120372949	3624	109	4713	166	0
10	0.0948652569658306	2.12613708837057	1802	109	2126	167	0
11	0.0858251493708674	2.12613708837057	1791	109	2124	165	0
12	0.0882346214862135	2.12613708837057	1824	109	2157	165	0
13	0.0310655602497368	1.99098053977333	4080	111	4886	165	0
14	-0.00652088005144047	1.99098053977333	4124	113	5061	166	0
15	-0.0172630771740349	1.99098053977333	4248	114	5238	167	0
16	-0.0970254697473944	1.86991738315972	3838	115	5008	169	0
17	-0.132129187170849	1.86991738315972	3945	117	5266	169	0
18	-0.0936000370398475	1.86991738315972	3904	114	5082	167	0
19	-0.028280773201359	1.98070921633128	3193	111	4020	166	0
20	-0.013982903189646	1.98070921633128	3243	111	4043	167	0
!sample_table_end
