^SAMPLE = GSM226733
!Sample_title = CC10A
!Sample_geo_accession = GSM226733
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = CC10A
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV45)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226733/suppl/GSM226733.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	-0.542428467101401	1.43238924439251	4012	160	6049	194	0
2	-0.481576409180507	1.43238924439251	3576	154	5548	190	0
3	-0.34758810932173	1.43238924439251	3721	152	5297	190	0
4	-0.288224358478107	1.67833179059444	2626	144	3754	189	0
5	-0.252972048627793	1.67833179059444	2697	133	3799	184	0
6	-0.223305813898277	1.67833179059444	2807	125	3915	180	0
7	-0.213352868744184	1.72506070492594	3085	122	4377	179	0
8	-0.202544868917598	1.72506070492594	3157	120	4455	178	0
9	-0.246648189400866	1.72506070492594	3014	121	4364	177	0
10	0.0244379184910499	1.89208736232796	1602	125	1963	178	0
11	-0.0880932371382147	1.89208736232796	1573	127	2060	178	0
12	-0.0800212970058117	1.89208736232796	1586	131	2060	178	0
13	-0.170819263632328	1.77143856262935	3458	140	4727	179	0
14	-0.186904736157338	1.77143856262935	3641	154	4892	180	0
15	-0.175078569501145	1.77143856262935	3712	154	4898	180	0
16	-0.218300534798035	1.76310294833205	3390	138	4788	178	0
17	-0.181883283304541	1.76310294833205	3435	131	4741	177	0
18	-0.127491105728354	1.76310294833205	3498	130	4656	176	0
19	-0.0575862070933782	-	2926	126	3640	174	0
20	-0.107025324484483	-	2915	123	3758	171	-100
!sample_table_end
