^SAMPLE = GSM816622
!Sample_title = AK_P-41
!Sample_geo_accession = GSM816622
!Sample_status = Public on Feb 06 2013
!Sample_submission_date = Oct 13 2011
!Sample_last_update_date = Feb 06 2013
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = actinic keratosis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: actinic keratosis (AK)
!Sample_characteristics_ch1 = cell_type: keratinocyte
!Sample_characteristics_ch1 = location: forearm
!Sample_characteristics_ch1 = patient: P-41
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = age: 61
!Sample_characteristics_ch1 = transplanted organ: kidney
!Sample_characteristics_ch1 = immunosuppressive drugs: azathioprine + prednison
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated from SCC and AK samples that contained at least 70% tumor cells, as determined by haematoxylin and eosin stained frozen sections. DNA from the tumor samples was isolated using the Genomic-tips 20/G kit (Qiagen). A salting-out procedure was used to isolate genomic DNA from the peripheral blood samples. DNA was quantified using a Nanodrop (NanoDrop technologies) and evaluated for degradation on agarose gel.
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = 400 ng of genomic DNA was labelled according to Illumina's standard protocol
!Sample_hyb_protocol = Hybridizations were performed at the Leiden Genome Technology Center according to the manufacturer's instructions
!Sample_scan_protocol = The beadChips were scanned using the Illumina BeadArray Reader, using the standard Illumina scanning protocol
!Sample_data_processing = Image analysis and quality control (call rate > 98%) was performed in Illumina's BeadStudio Version 3.2 software using the genotyping module. Each BeadChip was self-normalized using information contained within the array. Further analysis and visualization was performed with the Illumina Genome Viewer in Beadstudio. First, tumor data was paired with data from their corresponding normal control. Subsequently, examination of the log R ratio (signal intensity tumor/signal intensity normal control) and B allele frequency (BAF) was analyzed for the presence of copy number variations (CNVs) and/or loss of heterozygosity (LOH) in the tumor samples. By plotting the log R ratio across a chromosome, CNVs could be visualized by an increase or decrease in baseline signal. Secondly, the BAF was plotted across each chromosome to detect regions of LOH in tumor cells. A region with LOH was defined as a stretch of heterozygous SNPs in normal DNA but homozygous in the matched tumor DNA.
!Sample_data_processing = Matrix signal (ie, The signal intensities of all SNPs for each sample) is linked as a supplementary file on the Series record.
!Sample_platform_id = GPL6982
!Sample_contact_name = Harry,,Vrieling
!Sample_contact_email = h.vrieling@lumc.nl
!Sample_contact_laboratory = room T4-34
!Sample_contact_department = Toxicogenetics, S4-P
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Einthovenweg 20
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333 ZC
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE32969
!Sample_series_id = GSE32979
!Sample_data_row_count = 561466
#ID_REF = 
#VALUE = Gtype (Genotype)
#AK_P.41.Score = 
#AK_P.41.Theta = 
#AK_P.41.R = 
#AK_P.41.B.Allele.Freq = 
#AK_P.41.Log.R.Ratio = 
!sample_table_begin
ID_REF	VALUE	AK_P.41.Score	AK_P.41.Theta	AK_P.41.R	AK_P.41.B.Allele.Freq	AK_P.41.Log.R.Ratio
MitoA10045G-13273284_B_R_IFB1141652022:0	AA	0.3034468	0.005582246	2.837609	0	-0.6861762
MitoA10551G-13273286_T_F_IFB1141639111:0	AA	0.2909387	0.02481685	3.221213	0.001244095	-0.7977679
MitoA11252G-13273288_B_R_IFB1141661584:0	AA	0.329167	0.02132297	3.766877	0.003196108	-0.6154673
MitoA11468G-13273289_B_R_IFB1141719645:0	AA	0.318675	0.01840756	3.827031	0.001801088	-0.7144156
MitoA11813G-13273292_T_F_IFB1141667833:0	AA	0.2508856	0.06759	3.202749	0.02738591	-0.6989071
MitoA12309G-13273294_T_F_IFB1141664161:0	AA	0.2617797	0.02846227	2.712946	0.007435872	-0.8676022
MitoA13106G-13273298_B_R_IFB1141641623:0	AA	0.3484128	0.02457864	1.146493	0.00236568	-0.4514331
MitoA13264G-13273299_T_F_IFB1141660858:0	AA	0.2409578	0.03459685	3.799682	0.007274527	-0.8251882
MitoA13781G-13273301_T_F_IFB1141687043:0	AA	0.3457177	0.05603667	0.6623503	0.008608334	-0.9438605
MitoA14234G-13273304_T_F_IFB1141674277:0	AA	0.3183387	0.01956521	1.910039	0.001953545	-0.7930275
MitoA14583G-13273306_T_F_IFB1141688843:0	AA	0.329661	0.01247459	1.465373	2.367523e-05	-0.6297297
MitoA15219G-13273311_T_F_IFB1141717824:0	AA	0.290874	0.07477716	3.297808	0.02109019	-0.6463386
MitoA15245G-13273312_B_R_IFB1141677374:0	AA	0.3078164	0.0505342	1.590478	0.01147484	-0.7631948
MitoA15302G-13273313_T_F_IFB1141686491:0	BB	0.2735513	0.9185757	2.623374	1	-0.02384804
MitoA15759G-13273316_B_R_IFB1141715135:0	AA	0.3342324	0.01655835	3.765578	0.005597252	-0.753606
MitoA15925G-13273318_T_F_IFB1141694300:0	AA	0.2904017	0.03271565	2.866748	0.001512017	-0.4587896
MitoA16163G-13273319_T_F_IFB1141711520:0	AA	0.2527641	0.08202259	4.06369	0.04188116	-0.6575297
MitoA16164G-13273320_T_F_IFB1141715312:0	AA	0.3183387	0.02411135	3.141088	0.008181958	-0.516568
MitoA1738G-13273322_T_F_IFB1141639534:0	AA	0.3011942	0.02516649	3.866302	0.005796025	-0.6633472
MitoA3349G-13273328_T_F_IFB1141711832:0	AA	0.2903634	0.05297717	4.028276	0.02523397	-0.806225
!sample_table_end
