^SAMPLE = GSM610698
!Sample_title = HS_039
!Sample_geo_accession = GSM610698
!Sample_status = Public on Mar 23 2012
!Sample_submission_date = Oct 19 2010
!Sample_last_update_date = Mar 23 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = HS_039
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = geographical origin: Brazil
!Sample_characteristics_ch1 = genger: Female
!Sample_characteristics_ch1 = histological type: Paired blood sample corresponding to tumor HS_01
!Sample_characteristics_ch1 = tnm: --
!Sample_characteristics_ch1 = tp53 mutation: --
!Sample_characteristics_ch1 = virilization: --
!Sample_characteristics_ch1 = cushing  syndrome: --
!Sample_characteristics_ch1 = treatment: --
!Sample_characteristics_ch1 = follow-up (months): --
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Proteinase K method. The detailed protocol can be found in PMID:18786438.
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = standard Illumina protocol
!Sample_hyb_protocol = standard Illumina protocol
!Sample_scan_protocol = standard Illumina protocol
!Sample_description = blood sample
!Sample_data_processing = standard Illumina protocol
!Sample_platform_id = GPL6985
!Sample_contact_name = Eric,,Letouz̩
!Sample_contact_email = Eric.letouze@inserm.fr
!Sample_contact_laboratory = Centre de Recherche des Cordeliers
!Sample_contact_institute = Ligue Contre Le Cancer
!Sample_contact_address = 15 rue de l'̩cole de m̩decine
!Sample_contact_city = Paris
!Sample_contact_zip/postal_code = 75006
!Sample_contact_country = France
!Sample_supplementary_file = NONE
!Sample_series_id = GSE24804
!Sample_series_id = GSE32206
!Sample_series_id = GSE35066
!Sample_data_row_count = 373397
#ID_REF = This column corresponds to the ID column of the reference platform
#VALUE = Log R Ratios exported from the Beadstudio software
#B.Allele.Freq = 
#X.Raw = 
#Y.Raw = 
#X = 
#Y = 
#R = 
#Theta = 
!sample_table_begin
ID_REF	VALUE	B.Allele.Freq	X.Raw	Y.Raw	X	Y	R	Theta
cnvi0000001-126_T_R_1514230395	-0.4293	0	1751	0	0.29	0	0.29	0
cnvi0000002-126_T_R_1514230396	-0.103	0.9957	401	7519	0.045	0.848	0.893	0.967
cnvi0000003-126_T_F_1514230397	0.1066	0.0013	7786	227	1.311	0.022	1.334	0.011
cnvi0000004-126_T_F_1514265395	-0.0042	1	187	10043	0.003	1.133	1.136	0.999
cnvi0000005-126_T_R_1514265396	-0.3113	0.0219	3367	437	0.563	0.048	0.611	0.054
cnvi0000006-126_B_R_1514265397	-0.8037	0	1056	0	0.173	0	0.173	0
cnvi0000008-126_T_F_1514230398	0.1138	0.994	202	4172	0.018	0.471	0.489	0.975
cnvi0000009-126_B_R_1514230399	0.029	0.9916	328	7146	0.033	0.806	0.839	0.974
cnvi0000010-126_T_F_1514230400	-0.0438	0.0129	10518	1834	1.77	0.203	1.973	0.073
cnvi0000011-126_T_F_1514230401	-0.0462	0.0015	6637	892	1.115	0.098	1.213	0.056
cnvi0000012-126_B_F_1514265399	0.0747	0	4585	191	0.77	0.02	0.789	0.016
cnvi0000013-126_T_R_1514265400	0.2017	0.2476	6427	7638	1.064	0.859	1.924	0.432
cnvi0000014-126_T_F_1514265401	-0.005	0	4813	113	0.808	0.011	0.819	0.009
cnvi0000015-126_T_F_1514265402	0.1226	0.9864	2301	18106	0.312	1.967	2.279	0.9
cnvi0000016-126_B_F_1514230402	0.2648	0	7759	1163	1.305	0.128	1.433	0.062
cnvi0000017-126_B_F_1514265403	0.0878	0.0035	9922	1558	1.67	0.172	1.842	0.065
cnvi0000018-126_T_F_1514265404	0.0437	0.9981	959	14766	0.123	1.665	1.788	0.953
cnvi0000019-126_B_F_1514230403	0.0837	1	856	15689	0.085	1.705	1.79	0.968
cnvi0000020-126_T_F_1514230404	0.128	1	895	16677	0.107	1.881	1.988	0.964
cnvi0000021-126_T_R_1514230405	0.0306	1	308	8732	0.026	0.985	1.011	0.983
!sample_table_end
