^SAMPLE = GSM750422
!Sample_title = Ovarian cancer tissue from Japan JPKO-27
!Sample_geo_accession = GSM750422
!Sample_status = Public on Oct 25 2012
!Sample_submission_date = Jun 28 2011
!Sample_last_update_date = Oct 25 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ovarian Cancer tissue
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histotype: endometroid
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor genomic DNAs were extracted by using phenol-chloroform extraction method.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = Affymetrix standard procedure
!Sample_description = Epithelial ovarian cancers
!Sample_description = primary_data_description:Log relative ratio calclulated by Affymetric Genotyping Console
!Sample_data_processing = CEL files and CHP files are processed and normalized with Hapmap JPT using the Affymetric Genotyping Console.
!Sample_platform_id = GPL6801
!Sample_contact_name = Liang,,Goh
!Sample_contact_email = liang.goh@duke-nus.edu.sg
!Sample_contact_institute = Duke-NUS graduate medical school
!Sample_contact_address = College Road
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169857
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM750nnn/GSM750422/suppl/GSM750422.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM750nnn/GSM750422/suppl/GSM750422.CNCHP.gz
!Sample_series_id = GSE30283
!Sample_series_id = GSE30311
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	0.629581	3.507270	nan	nan
CN_473964	3.000000	0.374120	3.506947	nan	nan
CN_473965	3.000000	0.738080	3.506881	nan	nan
CN_473981	3.000000	0.772112	3.502028	nan	nan
CN_473982	3.000000	0.776392	3.501953	nan	nan
CN_497981	3.000000	0.657854	3.458816	nan	nan
CN_502615	3.000000	-0.038214	3.402519	nan	nan
CN_502613	3.000000	-0.457201	3.402258	nan	nan
CN_502614	3.000000	0.559619	3.400888	nan	nan
CN_502616	3.000000	0.249187	3.400817	nan	nan
CN_502843	3.000000	0.558547	3.350339	nan	nan
CN_466171	3.000000	0.452506	2.753216	nan	nan
CN_468414	3.000000	-0.248377	2.753290	nan	nan
CN_468412	3.000000	0.372630	2.753307	nan	nan
CN_468413	3.000000	0.486948	2.753310	nan	nan
CN_470565	3.000000	0.039496	2.753400	nan	nan
CN_468424	3.000000	0.317595	2.754627	nan	nan
CN_468425	3.000000	0.375012	2.754639	nan	nan
CN_460512	3.000000	0.023035	2.471468	nan	nan
CN_460513	3.000000	0.316425	2.471468	nan	nan
!sample_table_end
