^SAMPLE = GSM750327
!Sample_title = Ovarian cancer tissue from Japan JPKO-59
!Sample_geo_accession = GSM750327
!Sample_status = Public on Oct 25 2012
!Sample_submission_date = Jun 28 2011
!Sample_last_update_date = Oct 25 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ovarian Cancer tissue
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histotype: serous
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor genomic DNAs were extracted by using phenol-chloroform extraction method.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = Affymetrix standard procedure
!Sample_description = Epithelial ovarian cancers
!Sample_description = primary_data_description:Log relative ratio calclulated by Affymetric Genotyping Console
!Sample_data_processing = CEL files and CHP files are processed and normalized with Hapmap JPT using the Affymetric Genotyping Console.
!Sample_platform_id = GPL6801
!Sample_contact_name = Liang,,Goh
!Sample_contact_email = liang.goh@duke-nus.edu.sg
!Sample_contact_institute = Duke-NUS graduate medical school
!Sample_contact_address = College Road
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169857
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM750nnn/GSM750327/suppl/GSM750327.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM750nnn/GSM750327/suppl/GSM750327.CNCHP.gz
!Sample_series_id = GSE30283
!Sample_series_id = GSE30311
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	2.000000	0.198713	1.936595	nan	nan
CN_473964	2.000000	0.283089	1.936376	nan	nan
CN_473965	2.000000	0.139969	1.936331	nan	nan
CN_473981	2.000000	0.187441	1.933038	nan	nan
CN_473982	2.000000	0.287439	1.932987	nan	nan
CN_497981	2.000000	0.209042	1.903693	nan	nan
CN_502615	2.000000	-0.882499	1.865385	nan	nan
CN_502613	2.000000	-0.416481	1.865208	nan	nan
CN_502614	2.000000	-0.252535	1.864274	nan	nan
CN_502616	2.000000	-0.205536	1.864226	nan	nan
CN_502843	2.000000	-0.006886	1.829764	nan	nan
CN_466171	2.000000	0.367199	2.439728	nan	nan
CN_468414	2.000000	-0.057855	2.439862	nan	nan
CN_468412	2.000000	-0.253186	2.439893	nan	nan
CN_468413	2.000000	-0.250531	2.439898	nan	nan
CN_470565	2.000000	0.699052	2.440060	nan	nan
CN_468424	2.000000	0.226218	2.442267	nan	nan
CN_468425	2.000000	0.387592	2.442288	nan	nan
CN_460512	2.000000	0.222706	3.107446	nan	nan
CN_460513	2.000000	0.483996	3.107447	nan	nan
!sample_table_end
