^SAMPLE = GSM750345
!Sample_title = Ovarian cancer tissue from Japan JPKO-35
!Sample_geo_accession = GSM750345
!Sample_status = Public on Oct 25 2012
!Sample_submission_date = Jun 28 2011
!Sample_last_update_date = Oct 25 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Ovarian Cancer tissue
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histotype: clear cell
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor genomic DNAs were extracted by using phenol-chloroform extraction method.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = Affymetrix standard procedure
!Sample_description = Epithelial ovarian cancers
!Sample_description = primary_data_description:Log relative ratio calclulated by Affymetric Genotyping Console
!Sample_data_processing = CEL files and CHP files are processed and normalized with Hapmap JPT using the Affymetric Genotyping Console.
!Sample_platform_id = GPL6801
!Sample_contact_name = Liang,,Goh
!Sample_contact_email = liang.goh@duke-nus.edu.sg
!Sample_contact_institute = Duke-NUS graduate medical school
!Sample_contact_address = College Road
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169857
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM750nnn/GSM750345/suppl/GSM750345.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM750nnn/GSM750345/suppl/GSM750345.CNCHP.gz
!Sample_series_id = GSE30283
!Sample_series_id = GSE30311
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	0.075149	2.382755	nan	nan
CN_473964	3.000000	0.301057	2.382571	nan	nan
CN_473965	3.000000	0.281434	2.382533	nan	nan
CN_473981	3.000000	0.647443	2.379769	nan	nan
CN_473982	3.000000	0.294296	2.379726	nan	nan
CN_497981	3.000000	0.184692	2.355053	nan	nan
CN_502615	3.000000	-0.320183	2.322562	nan	nan
CN_502613	3.000000	-0.130408	2.322411	nan	nan
CN_502614	3.000000	-0.086630	2.321616	nan	nan
CN_502616	3.000000	0.060852	2.321574	nan	nan
CN_502843	3.000000	0.116525	2.292103	nan	nan
CN_466171	3.000000	1.006570	3.096110	nan	nan
CN_468414	3.000000	-0.757136	3.096277	nan	nan
CN_468412	3.000000	0.312861	3.096314	nan	nan
CN_468413	3.000000	0.213287	3.096321	nan	nan
CN_470565	3.000000	0.655069	3.096522	nan	nan
CN_468424	3.000000	0.436690	3.099270	nan	nan
CN_468425	3.000000	0.588787	3.099296	nan	nan
CN_460512	3.000000	0.401437	2.972594	nan	nan
CN_460513	3.000000	0.234113	2.972594	nan	nan
!sample_table_end
