^SAMPLE = GSM529879
!Sample_title = NSCLC tumor 110T
!Sample_geo_accession = GSM529879
!Sample_status = Public on Apr 11 2010
!Sample_submission_date = Apr 01 2010
!Sample_last_update_date = Apr 10 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = non-small cell lung carcinoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = tissue: lung tumor
!Sample_characteristics_ch1 = histological type: squamous cell carcinoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = For total genomic DNA extraction, sections of approximate thickness of 10-20 Î¼m were collected from tumor samples and placed in 1% SDS/proteinase K (10 mg/ml) at 58ÂºC overnight. The samples were then subjected to phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = 200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37ÂºC using amplification master mix (WG-MSM) and primer/neutralization mix (WG-MA2). After incubation, the amplified DNA was fragmented with fragmentation mix (WG-FMS) and precipitated with 2-propanol and precipitation mix (PM1). The precipitated DNA was resuspended using RA1.
!Sample_hyb_protocol = RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48ÂºC, single-base extension and allele-specific staining was performed (XC1, XC2, TEM, STM, ATM, XC3, PB1) on a Teflow chamber rack system.
!Sample_scan_protocol = After allele-specific staining, BeadChip arrays were coated with PB1/XC4/ethanol, dried for 1 hour and scanned on a BeadArray Reader (Illumina).
!Sample_description = Genomic DNA extracted from lung tumors was genotyped using Infinium HumanOmni1-Quad Genotyping BeadChips (Illumina).
!Sample_description = 110T
!Sample_data_processing = Image data was analyzed using Beadstudio 3.1.3 with GT module 3.2.33 (Illumina).
!Sample_platform_id = GPL8882
!Sample_contact_name = Sandra,,Castillo
!Sample_contact_institute = IDIBELL-PEBC
!Sample_contact_address = Avda. Gran Via 199-203
!Sample_contact_city = LÂ´Hospitalet de Llobregat
!Sample_contact_zip/postal_code = 08908
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM529nnn/GSM529879/suppl/GSM529879_Grn.idat.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM529nnn/GSM529879/suppl/GSM529879_Red.idat.gz
!Sample_series_id = GSE21168
!Sample_data_row_count = 1140419
#ID_REF = 
#VALUE = SNP calls
#Score = 
#Log_R_Ratio = 
#B_Allele_Freq = 
!sample_table_begin
ID_REF	VALUE	Score	Log_R_Ratio	B_Allele_Freq
200006	AB	0.8273118	0.02278085	0.4740106
200052	BB	0.9487	0.064274	1
200053	AA	0.6644778	0.04885019	0.003952704
200070	AA	0.9347444	-0.1253419	0.007988379
200078	AB	0.6884917	0.02979522	0.4764681
200087	AA	0.8084779	-0.2439955	0.006964656
200096	BB	0.9041256	-0.08107038	1
200124	BB	0.877098	0.08091214	0.9967216
200199	AA	0.9437442	0.03452494	0.00
400630	AA	0.8781115	-0.3843408	0.00
401327	BB	0.3573675	-0.01549998	0.8828148
401753	NC	0.03093485	0.06820621	0.7586147
500301	BB	0.9310601	0.1407633	1
500556	NC	0.1205366	0.08313901	0.3609454
500660	AA	0.5118521	-0.06278249	0.00
500694	BB	0.715772	0.001910082	1
500710	AA	0.7286785	-0.1924248	0.00
ABO_SNP1	BB	0.3991952	0.0729503	0.99786
cnvi0000018	NC	0.00	-0.1104407	1
cnvi0000026	NC	0.00	-0.3380549	0.938017
!sample_table_end
