^SAMPLE = GSM529882
!Sample_title = NSCLC tumor 276T
!Sample_geo_accession = GSM529882
!Sample_status = Public on Apr 11 2010
!Sample_submission_date = Apr 01 2010
!Sample_last_update_date = Apr 10 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = non-small cell lung carcinoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = tissue: lung tumor
!Sample_characteristics_ch1 = histological type: squamous cell carcinoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = For total genomic DNA extraction, sections of approximate thickness of 10-20 Î¼m were collected from tumor samples and placed in 1% SDS/proteinase K (10 mg/ml) at 58ÂºC overnight. The samples were then subjected to phenol-chloroform extraction and ethanol precipitation.
!Sample_label_ch1 = C-Bio and A-DNP
!Sample_label_protocol_ch1 = 200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37ÂºC using amplification master mix (WG-MSM) and primer/neutralization mix (WG-MA2). After incubation, the amplified DNA was fragmented with fragmentation mix (WG-FMS) and precipitated with 2-propanol and precipitation mix (PM1). The precipitated DNA was resuspended using RA1.
!Sample_hyb_protocol = RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48ÂºC, single-base extension and allele-specific staining was performed (XC1, XC2, TEM, STM, ATM, XC3, PB1) on a Teflow chamber rack system.
!Sample_scan_protocol = After allele-specific staining, BeadChip arrays were coated with PB1/XC4/ethanol, dried for 1 hour and scanned on a BeadArray Reader (Illumina).
!Sample_description = Genomic DNA extracted from lung tumors was genotyped using Infinium HumanOmni1-Quad Genotyping BeadChips (Illumina).
!Sample_description = 276T
!Sample_data_processing = Image data was analyzed using Beadstudio 3.1.3 with GT module 3.2.33 (Illumina).
!Sample_platform_id = GPL8882
!Sample_contact_name = Sandra,,Castillo
!Sample_contact_institute = IDIBELL-PEBC
!Sample_contact_address = Avda. Gran Via 199-203
!Sample_contact_city = LÂ´Hospitalet de Llobregat
!Sample_contact_zip/postal_code = 08908
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM529nnn/GSM529882/suppl/GSM529882_Grn.idat.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM529nnn/GSM529882/suppl/GSM529882_Red.idat.gz
!Sample_series_id = GSE21168
!Sample_data_row_count = 1140419
#ID_REF = 
#VALUE = SNP calls
#Score = 
#Log_R_Ratio = 
#B_Allele_Freq = 
!sample_table_begin
ID_REF	VALUE	Score	Log_R_Ratio	B_Allele_Freq
200006	AB	0.8237365	0.04479906	0.5794123
200052	BB	0.9487	-0.1357986	1
200053	AA	0.6644778	-0.05383971	0.00
200070	BB	0.9347444	-0.1404232	1
200078	BB	0.6884917	-0.06473819	0.9984426
200087	AA	0.8084779	-0.04470775	0.00
200096	BB	0.9041256	0.05923402	1
200124	AA	0.877098	-0.1932703	0.00
200199	AA	0.9437442	0.06042928	0.00
400630	AA	0.8781115	-0.4437208	0.00
401327	AA	0.8785409	-0.1291996	0.00
401753	BB	0.630483	0.03141923	1
500301	BB	0.9310601	-0.1204705	1
500556	AA	0.8736695	-0.4070717	0.00
500660	AA	0.5118521	-0.2122549	0.0002206807
500694	BB	0.715772	-0.2266253	1
500710	NC	0.02134031	-0.3368071	0.7484192
ABO_SNP1	BB	0.3991952	-0.04736139	0.9993523
cnvi0000018	NC	0.00	-0.1748224	0.9991194
cnvi0000026	NC	0.00	0.06555698	1
!sample_table_end
