^SAMPLE = GSM608980
!Sample_title = Alveolar Rhabdomyosarcoma tumor PAIZUT 50K_Xba
!Sample_geo_accession = GSM608980
!Sample_status = Public on Oct 16 2010
!Sample_submission_date = Oct 15 2010
!Sample_last_update_date = Oct 15 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Alveolar Rhabdomyosarcoma tumor PAIZUT
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: Alveolar rhabdomyosarcoma tumor
!Sample_characteristics_ch1 = case: PAIZUT
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from fresh frozen tumors using the Qiagen QIAamp DNA Mini Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer and agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was digested with the appropriate restriction enzyme, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The hybridized arrays were washed using Affymetrix fluidics stations, and scanned using the GeneChip Scanner 3000.
!Sample_description = Hybridized to 50K_Xba
!Sample_data_processing = CEL files and TXT files were generated by Affymetrix GeneChip DNA Analysis Software version 3.0, Affymetrix Copy Number Analysis Tool (CNAT) versions 2.2 and 3.0, Affymetrix GeneChip Genotyping Operating Analysis software version 4.1 and Partek Genomics Suite version 6.3.  The 50K data were calculated in CNAT using an algorithm developed to identify genome wide gains and losses on high density oligonucleotide arrays based on SNP genotyping metods and whole genome sampling analysis.  The raw data were analyzed with CNAT to calculate a copy number at each locus, which was then normalized relative to a reference set of normal individuals.  The copy number estimates were displayed with a genome smoothed analysis, which incorporates Gaussian kernel smoothing over the default genomic filter length of 0.5 Mb.  Data from the 250K array were analyzed with the Hidden Markov Model default settings in the Copy Number work flow in Partek Genomics Suite.  The respective Hap Map samples were used as normals for both the 50K and 250K chips.
!Sample_data_processing = The 50K CNAT data contains probe set id, physical chromosome position, genotype call (SNP call) AA, AB, BB, NC no call, GSA_CN genomic smoothed analysis of the copy number, GSA_pVal genomic smoothed analysis of the significance value and Log2 Ratio.  The 250K data .txt files analyzed on Partek contain the probe set ID and the copy number generated using the Copy Number workflow in Partek Genomic Suite.
!Sample_platform_id = GPL2005
!Sample_contact_name = Frederic ,,Barr
!Sample_contact_email = barrfg@mail.med.upenn.edu
!Sample_contact_institute = University of Pennsylvania
!Sample_contact_address = 422 Curie Blvd
!Sample_contact_city = Philadelphia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19104
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM608nnn/GSM608980/suppl/GSM608980_Barr_Amp_SNP0090B_PAIZUT_Mapping50K_Xba240.CEL.gz
!Sample_series_id = GSE24715
!Sample_data_row_count = 58960
#ID_REF = 
#VALUE = genotype call
#GSA_CN = 
#GSA_pVal = 
#Log2Ratio = 
!sample_table_begin
ID_REF	VALUE	GSA_CN	GSA_pVal	Log2Ratio
SNP_A-1677174	AA	2.137353	0.42632	0.099911
SNP_A-1678466	BB	2.573507	0.420024	0.872671
SNP_A-1676440	AA	2.571081	0.414021	1.78868
SNP_A-1662392	AA	2.442744	0.271997	0.48798
SNP_A-1685736	AA	2.442599	0.2717	0.347945
SNP_A-1681384	BB	2.437239	0.260744	-0.069297
SNP_A-1642581	BB	2.39933	0.183491	-0.543306
SNP_A-1669029	AA	2.396724	0.178196	-0.422534
SNP_A-1718237	AA	2.004525	0.501044	0.145391
SNP_A-1748467	AA	2.004492	0.501135	-0.350532
SNP_A-1705537	BB	2.148379	0.392832	0.456045
SNP_A-1683756	AA	2.148378	0.392826	-0.091203
SNP_A-1696782	BB	2.313363	0.724129	-0.224384
SNP_A-1673422	BB	2.31741	0.731779	0.238334
SNP_A-1670878	BB	2.289493	0.48711	0.946997
SNP_A-1743511	BB	2.289491	0.487094	0.151612
SNP_A-1736635	BB	2.361423	0.629936	0.418465
SNP_A-1666738	AB	2.410885	0.688738	-0.379265
SNP_A-1721407	AA	2.229733	0.091292	0.353551
SNP_A-1686722	BB	2.22953	0.085805	0.189097
!sample_table_end
