^SAMPLE = GSM608974
!Sample_title = Alveolar Rhabdomyosarcoma tumor PAIZKG 50K_Xba
!Sample_geo_accession = GSM608974
!Sample_status = Public on Oct 16 2010
!Sample_submission_date = Oct 15 2010
!Sample_last_update_date = Oct 15 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Alveolar Rhabdomyosarcoma tumor PAIZKG
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: Alveolar rhabdomyosarcoma tumor
!Sample_characteristics_ch1 = case: PAIZKG
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from fresh frozen tumors using the Qiagen QIAamp DNA Mini Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer and agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was digested with the appropriate restriction enzyme, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The hybridized arrays were washed using Affymetrix fluidics stations, and scanned using the GeneChip Scanner 3000.
!Sample_description = Hybridized to 50K_Xba
!Sample_data_processing = CEL files and TXT files were generated by Affymetrix GeneChip DNA Analysis Software version 3.0, Affymetrix Copy Number Analysis Tool (CNAT) versions 2.2 and 3.0, Affymetrix GeneChip Genotyping Operating Analysis software version 4.1 and Partek Genomics Suite version 6.3.  The 50K data were calculated in CNAT using an algorithm developed to identify genome wide gains and losses on high density oligonucleotide arrays based on SNP genotyping metods and whole genome sampling analysis.  The raw data were analyzed with CNAT to calculate a copy number at each locus, which was then normalized relative to a reference set of normal individuals.  The copy number estimates were displayed with a genome smoothed analysis, which incorporates Gaussian kernel smoothing over the default genomic filter length of 0.5 Mb.  Data from the 250K array were analyzed with the Hidden Markov Model default settings in the Copy Number work flow in Partek Genomics Suite.  The respective Hap Map samples were used as normals for both the 50K and 250K chips.
!Sample_data_processing = The 50K CNAT data contains probe set id, physical chromosome position, genotype call (SNP call) AA, AB, BB, NC no call, GSA_CN genomic smoothed analysis of the copy number, GSA_pVal genomic smoothed analysis of the significance value and Log2 Ratio.  The 250K data .txt files analyzed on Partek contain the probe set ID and the copy number generated using the Copy Number workflow in Partek Genomic Suite.
!Sample_platform_id = GPL2005
!Sample_contact_name = Frederic ,,Barr
!Sample_contact_email = barrfg@mail.med.upenn.edu
!Sample_contact_institute = University of Pennsylvania
!Sample_contact_address = 422 Curie Blvd
!Sample_contact_city = Philadelphia
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19104
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM608nnn/GSM608974/suppl/GSM608974_Barr_Amp_SNP00103B_PAIZKG_Mapping50K_Xba240.CEL.gz
!Sample_series_id = GSE24715
!Sample_data_row_count = 58960
#ID_REF = 
#VALUE = genotype call
#GSA_CN = 
#GSA_pVal = 
#Log2Ratio = 
!sample_table_begin
ID_REF	VALUE	GSA_CN	GSA_pVal	Log2Ratio
SNP_A-1677174	AA	2.398017	0.885865	0.352215
SNP_A-1678466	BB	3.4214	1.815722	1.479574
SNP_A-1676440	AA	3.41736	1.805745	2.483679
SNP_A-1662392	AA	3.200967	1.562376	1.160093
SNP_A-1685736	AA	3.200724	1.561879	1.195739
SNP_A-1681384	BB	3.19176	1.543565	0.644364
SNP_A-1642581	AB	3.128279	1.414252	-0.697616
SNP_A-1669029	NoCall	3.123909	1.405378	0.081999
SNP_A-1718237	AB	2.558374	0.453206	0.683542
SNP_A-1748467	AB	2.5583	0.453015	-0.058238
SNP_A-1705537	BB	2.878115	6.463837	1.221402
SNP_A-1683756	AA	2.878108	6.463694	0.671512
SNP_A-1696782	BB	3.095523	5.570895	0.203324
SNP_A-1673422	BB	3.099935	5.522035	0.788623
SNP_A-1670878	BB	2.924611	2.298893	1.648214
SNP_A-1743511	BB	2.924604	2.298866	0.69511
SNP_A-1736635	BB	2.886898	2.06816	1.069665
SNP_A-1666738	AB	2.936108	2.043329	-0.345385
SNP_A-1721407	AA	2.573227	1.013119	0.472965
SNP_A-1686722	AA	2.571636	1.001709	0.460631
!sample_table_end
