^SAMPLE = GSM495921
!Sample_title = P1_Month 26_50kHindIII
!Sample_geo_accession = GSM495921
!Sample_status = Public on Jan 13 2010
!Sample_submission_date = Jan 12 2010
!Sample_last_update_date = Jan 13 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Genomic Instability and Myelodysplasia with Monosomy 7 sample P1_Month 26
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = disease state: Genomic Instability and Myelodysplasia with Monosomy 7
!Sample_characteristics_ch1 = patient: patient 1
!Sample_characteristics_ch1 = cell type: peripheral blood mononuclear cells
!Sample_characteristics_ch1 = time: Month 26
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from from peripheral blood mononuclear samples of P1 at different time points
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_description = Hybridized to 50K_HindIII
!Sample_description = Genotype Call (SNP call): AA, AB, BB, and NoCall; log2 ratio_AB (total log2 copy number); and Copy Number
!Sample_data_processing = CNAG 2.0 was applied to all datasets to calculate the raw total log2 copy number (Log2Ratio_AB), selecting the averaging mode performed over 10 SNPs, with the exclusion of min and max values. The total copy number N_AB (i.e., the SNP copy number state) was determined through an HMM estimation.
!Sample_platform_id = GPL2004
!Sample_contact_name = Sandrine,,Tchatchou
!Sample_contact_email = s.tchatchou@dkfz.de
!Sample_contact_phone = 00496221568403
!Sample_contact_fax = 00496221568242
!Sample_contact_laboratory = Molecular Biology Labor
!Sample_contact_department = Molecular Biology Labor
!Sample_contact_institute = UniversitÃ¤t Frauenklinik Heidelberg
!Sample_contact_address = VoÃstrasse 9
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69115
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM495nnn/GSM495921/suppl/GSM495921.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM495nnn/GSM495921/suppl/GSM495921.CHP.gz
!Sample_series_id = GSE19523
!Sample_data_row_count = 56859
#ID_REF = 
#GENOTYPE_CALL = SNP call: AA, AB, BB, or NoCall
#VALUE = log2ratio_AB (total log2 copy number)
#COPY NUMBER = N_AB (SNP copy number state)
!sample_table_begin
ID_REF	GENOTYPE_CALL	VALUE	COPY NUMBER
SNP_A-1718890	BB	-0.177684	2
SNP_A-1668776	BB	-0.598800	2
SNP_A-1723597	AA	0.581189	2
SNP_A-1728870	AA	-0.111522	2
SNP_A-1669946	AA	-0.881099	2
SNP_A-1708099	AA	-0.425575	2
SNP_A-1716798	BB	0.347001	2
SNP_A-1701872	AB	-0.275399	2
SNP_A-1697748	AB	-0.235892	2
SNP_A-1699138	BB	-0.159530	2
SNP_A-1750020	AB	0.216749	2
SNP_A-1646481	BB	0.536279	2
SNP_A-1701882	AA	0.485756	2
SNP_A-1701982	AA	0.141173	2
SNP_A-1749896	AA	0.460600	2
SNP_A-1750090	AB	-0.245717	2
SNP_A-1714480	BB	0.513667	2
SNP_A-1649717	NoCall	-0.821495	2
SNP_A-1703834	AB	0.142304	2
SNP_A-1695724	BB	-0.952546	2
!sample_table_end
