^SAMPLE = GSM495925
!Sample_title = P1_Month 14_50kXBaI
!Sample_geo_accession = GSM495925
!Sample_status = Public on Jan 13 2010
!Sample_submission_date = Jan 12 2010
!Sample_last_update_date = Jan 13 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Genomic Instability and Myelodysplasia with Monosomy 7 sample P1_Month 14
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = disease state: Genomic Instability and Myelodysplasia with Monosomy 7
!Sample_characteristics_ch1 = patient: patient 1
!Sample_characteristics_ch1 = cell type: peripheral blood mononuclear cells
!Sample_characteristics_ch1 = time: Month 14
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from from peripheral blood mononuclear samples of P1 at different time points
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_description = Hybridized to 50K_XbaI
!Sample_description = Genotype Call (SNP call): AA, AB, BB, and NoCall; log2 ratio_AB (total log2 copy number); and Copy Number
!Sample_data_processing = CNAG 2.0 was applied to all datasets to calculate the raw total log2 copy number (Log2Ratio_AB), selecting the averaging mode performed over 10 SNPs, with the exclusion of min and max values. The total copy number N_AB (i.e., the SNP copy number state) was determined through an HMM estimation.
!Sample_platform_id = GPL2005
!Sample_contact_name = Sandrine,,Tchatchou
!Sample_contact_email = s.tchatchou@dkfz.de
!Sample_contact_phone = 00496221568403
!Sample_contact_fax = 00496221568242
!Sample_contact_laboratory = Molecular Biology Labor
!Sample_contact_department = Molecular Biology Labor
!Sample_contact_institute = UniversitÃ¤t Frauenklinik Heidelberg
!Sample_contact_address = VoÃstrasse 9
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69115
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM495nnn/GSM495925/suppl/GSM495925.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM495nnn/GSM495925/suppl/GSM495925.CHP.gz
!Sample_series_id = GSE19523
!Sample_data_row_count = 58494
#ID_REF = 
#GENOTYPE_CALL = SNP call: AA, AB, BB, or NoCall
#VALUE = log2ratio_AB (total log2 copy number)
#COPY NUMBER = N_AB (SNP copy number state)
!sample_table_begin
ID_REF	GENOTYPE_CALL	VALUE	COPY NUMBER
SNP_A-1677174	AA	0.073998	2
SNP_A-1678466	BB	0.200252	2
SNP_A-1676440	AA	0.535669	2
SNP_A-1662392	AA	-0.038318	2
SNP_A-1685736	AA	0.221849	2
SNP_A-1681384	BB	0.112669	2
SNP_A-1642581	BB	0.184954	2
SNP_A-1669029	AA	-0.356558	2
SNP_A-1718237	AA	-0.262700	2
SNP_A-1748467	AA	-0.552917	2
SNP_A-1705537	AB	0.052144	2
SNP_A-1683756	AB	0.150114	2
SNP_A-1696782	BB	-0.026237	2
SNP_A-1673422	BB	0.312783	2
SNP_A-1670878	BB	0.192130	2
SNP_A-1743511	BB	-0.171777	2
SNP_A-1736635	BB	0.010570	2
SNP_A-1666738	AB	-0.193173	2
SNP_A-1721407	AB	-0.098154	2
SNP_A-1686722	AB	0.135495	2
!sample_table_end
