^SAMPLE = GSM901100
!Sample_title = UT-SCC-46
!Sample_geo_accession = GSM901100
!Sample_status = Public on Dec 01 2012
!Sample_submission_date = Mar 26 2012
!Sample_last_update_date = Dec 01 2012
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = HNSCC
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HNSCC
!Sample_characteristics_ch1 = cetuximab response: cetuximab sensitive
!Sample_treatment_protocol_ch1 = Cells were seeded and allowed to attach for 24h, then treated with 30 nM cetuximab for 48h, supplemented with fresh medium and grown for another 7 days
!Sample_growth_protocol_ch1 = Cells were grown in DMEM supplemented with 10% FBS, 2 mM glutamine, 1% NE amino acids, and penicillin and streptomycin
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was extracted with Maxwell 16 Cell purification kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = DNA fragments were biotin labelled using terminal deoxynucleotidyl transferase
!Sample_hyb_protocol = Hybridized in GeneChip Hybrydization oven 16-18h, stained with R-phycoerythrin streptavidin and biotinylated goat-anti-streptavidin antibodies
!Sample_scan_protocol = GeneChip scanner 3000 7G
!Sample_data_processing = Genotyping console, CN5 algorithm
!Sample_platform_id = GPL6801
!Sample_contact_name = Fredrik,,Jerhammar
!Sample_contact_email = fredrik.jerhammar@liu.se
!Sample_contact_phone = +4613221500
!Sample_contact_institute = Linkoping University
!Sample_contact_address = -
!Sample_contact_city = Linkoping
!Sample_contact_zip/postal_code = 58183
!Sample_contact_country = Sweden
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM901nnn/GSM901100/suppl/GSM901100_UTSCC-46_GenomeWideSNP_6_.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM901nnn/GSM901100/suppl/GSM901100_UTSCC-46_GenomeWideSNP_6_.CN5.CNCHP.gz
!Sample_series_id = GSE36790
!Sample_data_row_count = 1813441
#ID_REF = 
#VALUE = CN STATE
#LOG2 RATIO = 
#SMOOTH SIGNAL = 
#LOH = 
#ALLELE DIFFERENCE = 
!sample_table_begin
ID_REF	VALUE	LOG2 RATIO	SMOOTH SIGNAL	LOH	ALLELE DIFFERENCE
CN_473963	3.000000	0.651534	2.810487	nan	nan
CN_473964	3.000000	-0.018478	2.810434	nan	nan
CN_473965	3.000000	0.193634	2.810423	nan	nan
CN_473981	3.000000	0.447714	2.809627	nan	nan
CN_473982	3.000000	0.489346	2.809615	nan	nan
CN_497981	3.000000	-0.182696	2.802436	nan	nan
CN_502615	3.000000	0.242920	2.792722	nan	nan
CN_502613	3.000000	-0.342133	2.792676	nan	nan
CN_502614	3.000000	0.706837	2.792434	nan	nan
CN_502616	3.000000	0.734354	2.792421	nan	nan
CN_502843	3.000000	0.042687	2.783246	nan	nan
CN_466171	3.000000	0.199174	2.195759	nan	nan
CN_468414	3.000000	-0.350364	2.195343	nan	nan
CN_468412	3.000000	1.016206	2.195250	nan	nan
CN_468413	3.000000	0.712815	2.195233	nan	nan
CN_470565	2.000000	-0.124129	2.194731	nan	nan
CN_468424	2.000000	-0.339216	2.187907	nan	nan
CN_468425	2.000000	-0.600936	2.187842	nan	nan
CN_460512	2.000000	-0.245109	1.755865	nan	nan
CN_460513	2.000000	0.036323	1.755865	nan	nan
!sample_table_end
