^SAMPLE = GSM510018
!Sample_title = SKES1_Sty1
!Sample_geo_accession = GSM510018
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Feb 16 2010
!Sample_last_update_date = Aug 01 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = SKES1 Ewing's Sarcoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: cell line
!Sample_characteristics_ch1 = cell type: Ewing's Sarcoma
!Sample_characteristics_ch1 = cell line: SKES1
!Sample_treatment_protocol_ch1 = no treatment was applied, the cell line was used in normal growing conditions.
!Sample_growth_protocol_ch1 = The SKES1 cell lines was cultured in McCoy's medium supplemented with 15% FBS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was extracted using QIAamp DNA Mini Kit (Qiagen) following manufacturer's instructions for extracting DNA from cell lines
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the the Gene Array reader (Affymetrix)
!Sample_description = Hybridized to 500K_Sty
!Sample_data_processing = CEL files were processed to study copy number alterations using GTYPE 4.1 and CNAT 4.0 software (Affymetrix), smoothing = 0.1, using the Mapping 500K Sample Data Set (http://www.affymetrix.com/support/technical/sample_data/500k_data.affx) which includes CEL files from 48 samples (96 hybridizations, considering both Nsp and Sty arrays) belonging to the International Hap Map project, as healthy references.
!Sample_data_processing = Sample tables are the CNAT output, which includes the log2ratio and the results of the HMM segmentation algorithm.
!Sample_platform_id = GPL3720
!Sample_contact_name = Carlos,,Mackintosh
!Sample_contact_email = cmackintosh@usal.es
!Sample_contact_laboratory = Laboratorio 20
!Sample_contact_institute = Centro de InvestigaciÃ³n del CÃ¡ncer
!Sample_contact_address = Campus Miguel de Unamuno S/N
!Sample_contact_city = Salamanca
!Sample_contact_zip/postal_code = 37007
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM510nnn/GSM510018/suppl/GSM510018.CEL.gz
!Sample_series_id = GSE20356
!Sample_series_id = GSE20368
!Sample_data_row_count = 238229
#ID_REF = 
#VALUE = SKES1.cn_Log2Ratio
#SKES1.cn_HmmMedianLog2Ratio = 
#SKES1.cn_CNState = 
#SKES1.cn_NegLog10PValue = 
!sample_table_begin
ID_REF	VALUE	SKES1.cn_HmmMedianLog2Ratio	SKES1.cn_CNState	SKES1.cn_NegLog10PValue
SNP_A-1780358	-0.1292	-0.01	2	0.13
SNP_A-1780551	0.0190	-0.06	2	0.88
SNP_A-1780357	1.00e-003	-0.05	2	0.81
SNP_A-1780550	0.1870	0.22	3	5.87
SNP_A-1780352	-0.1176	-0.03	2	0.14
SNP_A-1780351	-0.0129	0.02	2	0.05
SNP_A-1780350	0.1687	0.26	3	1.55
SNP_A-1780748	-0.1432	-0.04	2	0.30
SNP_A-1780747	-0.1848	-0.21	1	1.58
SNP_A-1780746	0.0112	-0.05	2	0.43
SNP_A-1780745	0.2452	0.24	3	6.72
SNP_A-1780743	-0.0880	-0.06	2	0.07
SNP_A-1780549	-0.0269	-0.06	2	0.12
SNP_A-1780547	0.0734	0.01	2	1.67
SNP_A-1780541	-0.0139	-0.03	2	0.14
SNP_A-1780346	0.0268	-0.02	2	1.08
SNP_A-1780345	-0.1030	-0.09	2	1.10
SNP_A-1780342	-0.1199	-0.11	2	0.26
SNP_A-1780341	0.0574	-0.04	2	1.28
SNP_A-1780340	0.3004	0.31	3	5.37
!sample_table_end
