^SAMPLE = GSM510017
!Sample_title = SKES1_Nsp1
!Sample_geo_accession = GSM510017
!Sample_status = Public on Aug 01 2011
!Sample_submission_date = Feb 16 2010
!Sample_last_update_date = Aug 01 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = SKES1 Ewing's Sarcoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: cell line
!Sample_characteristics_ch1 = cell type: Ewing's Sarcoma
!Sample_characteristics_ch1 = cell line: SKES1
!Sample_treatment_protocol_ch1 = no treatment was applied, the cell line was used in normal growing conditions.
!Sample_growth_protocol_ch1 = The SKES1 cell lines was cultured in McCoy's medium supplemented with 15% FBS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was extracted using QIAamp DNA Mini Kit (Qiagen) following manufacturer's instructions for extracting DNA from cell lines
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the the Gene Array reader (Affymetrix)
!Sample_description = Hybridized to 500K_Nsp
!Sample_data_processing = CEL files were processed to study copy number alterations using GTYPE 4.1 and CNAT 4.0 software (Affymetrix), smoothing = 0.1, using the Mapping 500K Sample Data Set (http://www.affymetrix.com/support/technical/sample_data/500k_data.affx) which includes CEL files from 48 samples (96 hybridizations, considering both Nsp and Sty arrays) belonging to the International Hap Map project, as healthy references.
!Sample_data_processing = Sample tables are the CNAT output, which includes the log2ratio and the results of the HMM segmentation algorithm.
!Sample_platform_id = GPL3718
!Sample_contact_name = Carlos,,Mackintosh
!Sample_contact_email = cmackintosh@usal.es
!Sample_contact_laboratory = Laboratorio 20
!Sample_contact_institute = Centro de InvestigaciÃ³n del CÃ¡ncer
!Sample_contact_address = Campus Miguel de Unamuno S/N
!Sample_contact_city = Salamanca
!Sample_contact_zip/postal_code = 37007
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM510nnn/GSM510017/suppl/GSM510017.CEL.gz
!Sample_series_id = GSE20356
!Sample_series_id = GSE20368
!Sample_data_row_count = 262217
#ID_REF = 
#VALUE = SKES1.cn_Log2Ratio
#SKES1.cn_HmmMedianLog2Ratio = 
#SKES1.cn_CNState = 
#SKES1.cn_NegLog10PValue = 
!sample_table_begin
ID_REF	VALUE	SKES1.cn_HmmMedianLog2Ratio	SKES1.cn_CNState	SKES1.cn_NegLog10PValue
SNP_A-1780619	0.2598	0.26	3	3.93
SNP_A-1780618	0.0142	-0.07	2	0.65
SNP_A-1780617	-0.0522	-0.12	2	0.22
SNP_A-1780778	-0.1036	-0.05	2	0.06
SNP_A-1780616	0.0523	0.12	2	1.82
SNP_A-1780613	0.2707	0.22	3	4.96
SNP_A-1780419	0.2620	0.26	3	8.35
SNP_A-1780612	0.2599	0.24	3	7.77
SNP_A-1780418	-0.0307	-0.11	2	0.45
SNP_A-1780611	-0.1081	-0.04	2	0.06
SNP_A-1780610	-0.0024	0.01	2	0.73
SNP_A-1780415	-0.1470	-0.06	2	0.58
SNP_A-1780576	0.2227	0.27	3	6.93
SNP_A-1780413	-0.1024	-0.07	2	0.30
SNP_A-1780412	-0.1689	-0.10	2	0.89
SNP_A-1780574	-0.0372	-0.04	2	0.52
SNP_A-1780379	-0.1443	-0.09	2	0.77
SNP_A-1780572	0.1189	-0.03	2	2.92
SNP_A-1780378	0.2672	0.24	3	9.00
SNP_A-1780377	-0.1907	-0.04	2	0.90
!sample_table_end
