^SAMPLE = GSM40649
!Sample_title = M32 Cy3
!Sample_geo_accession = GSM40649
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Feb 01 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	29	1	1	-0.271	3863	3943	1232	223	241	152	52	392	4541	4463	1426	149	158	81	52	392
G000001-2	29	2	1	-0.147	4105	3993	1073	213	228	96	52	370	4456	4502	1416	147	161	93	52	370
G000001-3	29	3	1	-0.246	4242	4062	1127	211	228	130	52	378	4927	4812	1314	146	154	49	52	378
G000002-1	21	1	1	-0.083	12751	12462	2540	213	228	117	52	384	13439	13089	2700	154	163	60	52	384
G000002-2	21	2	1	-0.123	13208	12951	2409	222	239	83	52	341	14292	14079	3130	153	161	50	52	341
G000002-3	21	3	1	-0.145	13364	13039	3244	201	211	63	52	320	14706	13916	3992	151	156	50	52	320
G000003-1	13	1	1	-0.071	8918	8626	3471	200	203	61	52	322	9304	9242	4166	147	153	45	52	322
G000003-2	13	2	1	-0.057	13123	12063	3094	198	204	62	52	298	13595	12637	3444	147	151	43	52	298
G000003-3	13	3	1	-0.229	8089	8087	2264	200	209	72	52	313	9388	8914	3040	139	146	45	52	313
G000004-1	5	1	1	-0.122	12943	12655	4004	212	226	98	52	392	13995	13476	4045	142	147	42	52	392
G000004-2	5	2	1	-0.065	14632	14359	3126	201	235	207	52	299	15243	14621	3653	142	146	40	52	299
G000004-3	5	3	1	-0.074	16014	16341	2776	205	217	80	52	370	16781	16329	3231	143	148	44	52	370
G000005-1	29	4	1	-0.1	28011	27378	6691	211	228	107	52	371	29944	29486	8803	147	155	71	52	371
G000005-2	29	5	1	-0.088	33028	32762	4977	210	231	132	52	371	35041	34689	5175	147	159	94	52	371
G000005-3	29	6	1	-0.064	28102	27984	6951	219	240	126	52	386	29294	29058	8671	148	160	96	52	386
G000006-1	21	4	1	-0.049	18316	17369	3163	198	210	73	52	321	18886	18299	2921	139	147	46	52	321
G000006-2	21	5	1	-0.048	16978	16386	3073	202	212	69	52	298	17481	16780	2363	143	149	41	52	298
G000006-3	21	6	1	-0.019	17294	16419	2938	217	240	201	52	306	17453	16622	3531	144	151	51	52	306
G000007-1	13	4	1	-0.124	9527	9263	1801	199	210	78	52	313	10306	10056	2178	138	146	47	52	313
G000007-2	13	5	1	-0.123	11342	10761	2457	197	206	95	52	314	12280	11188	3040	140	149	50	52	314
!sample_table_end
