^SAMPLE = GSM40953
!Sample_title = 2M15 Cy5
!Sample_geo_accession = GSM40953
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Feb 02 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	4	19	1	-0.139	4964	4881	1337	317	329	97	52	420	5411	5131	1485	294	298	64	52	420
G000001-2	4	20	1	-0.037	5110	4901	1198	327	338	99	52	340	5194	5073	1250	288	296	68	52	340
G000001-3	4	21	1	-0.13	4809	4844	1049	324	326	72	52	340	5201	5046	1018	293	294	64	52	340
G000002-1	12	19	1	-0.222	15195	13131	5388	410	421	119	80	535	17611	14905	6054	361	371	103	80	535
G000002-2	12	20	1	-0.196	17043	16617	3363	406	420	146	52	420	19427	18289	4486	364	370	86	52	420
G000002-3	12	21	1	-0.204	15962	13961	5969	408	428	124	80	547	18269	15727	6726	358	363	80	80	547
G000003-1	20	19	1	-0.133	9451	8891	2753	400	414	109	52	334	10271	9487	3070	348	359	81	52	334
G000003-2	20	20	1	-0.138	9162	9301	2084	414	435	136	52	340	9987	10072	2564	359	362	79	52	340
G000003-3	20	21	1	-0.183	9751	9546	2502	395	414	126	52	420	10981	9960	3079	356	365	94	52	420
G000004-1	28	19	1	-0.124	15083	14801	1865	393	407	113	52	340	16344	15766	2257	331	341	80	52	340
G000004-2	28	20	1	-0.123	14791	14060	2712	388	407	141	52	420	16013	14742	3814	327	342	86	52	420
G000004-3	28	21	1	-0.114	14540	13248	3689	380	407	134	52	420	15678	14281	4116	353	362	91	52	420
G000005-1	36	19	1	0.007	28762	26137	7697	368	400	172	52	420	28588	25911	8212	332	360	176	52	420
G000005-2	36	20	1	-0.004	30185	27725	7987	375	412	179	52	420	30216	27108	8633	331	346	125	52	420
G000005-3	36	21	1	0.056	22190	19631	12210	367	405	193	80	546	21323	19529	12039	331	350	117	80	546
G000006-1	44	19	1	-0.058	16214	14796	4202	334	354	115	52	420	16847	15435	4440	320	329	79	52	420
G000006-2	44	20	1	-0.008	15968	15287	3130	331	359	157	52	420	16034	15509	3772	313	323	80	52	420
G000006-3	44	21	1	-0.015	15085	14047	3354	346	358	98	52	420	15233	14099	4156	335	344	89	52	420
G000007-1	4	16	1	-0.067	11218	10640	2066	318	324	71	52	420	11703	10669	2658	284	292	65	52	420
G000007-2	4	17	1	-0.042	11606	10817	3036	324	363	449	52	420	11902	10836	3117	289	322	328	52	420
!sample_table_end
