^SAMPLE = GSM40528
!Sample_title = M19 Cy5
!Sample_geo_accession = GSM40528
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Jan 31 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	29	1	1	0.06	7497	7490	1407	228	240	104	52	376	7243	7298	1485	270	281	81	52	376
G000001-2	29	2	1	-0.043	7576	7314	1379	233	244	100	52	362	7834	7419	1590	267	277	85	52	362
G000001-3	29	3	1	0.054	6943	6835	1668	223	236	92	52	378	6740	6859	1804	265	280	86	52	378
G000002-1	21	1	1	0.088	16800	16131	3990	230	239	109	52	385	15863	15414	3826	277	285	77	52	385
G000002-2	21	2	1	0.129	17012	16729	3428	236	258	174	52	362	15626	15600	3811	283	296	147	52	362
G000002-3	21	3	1	0.037	17411	17293	3815	240	257	152	52	370	17011	16578	3305	272	296	143	52	370
G000003-1	13	1	1	0.056	13852	13342	2867	237	253	85	52	392	13381	12913	3017	287	290	76	52	392
G000003-2	13	2	1	-0.051	12129	11482	3029	232	244	100	52	370	12603	11648	2549	277	291	101	52	370
G000003-3	13	3	1	0.004	12154	12449	2798	223	240	112	52	362	12171	12337	2995	276	289	101	52	362
G000004-1	5	1	1	-0.07	15027	14551	3488	226	241	102	52	384	15821	15931	4398	283	287	85	52	384
G000004-2	5	2	1	-0.095	15168	14805	3091	215	230	113	52	314	16230	15772	3566	260	268	74	52	314
G000004-3	5	3	1	-0.165	14265	14567	2040	222	235	87	52	362	16010	16028	2681	269	276	78	52	362
G000005-1	29	4	1	0.087	28902	28161	7600	228	251	163	52	305	27274	27066	7448	282	299	101	52	305
G000005-2	29	5	1	-0.052	31423	30101	7112	229	235	73	52	363	32624	30471	7227	276	282	78	52	363
G000005-3	29	6	1	0.057	26691	27267	7850	230	236	69	52	372	25717	26422	8300	273	282	79	52	372
G000006-1	21	4	1	-0.053	19999	19548	2830	249	276	296	52	307	20769	20508	2809	275	293	168	52	307
G000006-2	21	5	1	-0.092	18942	18872	2459	252	254	74	52	306	20184	19773	3085	270	287	173	52	306
G000006-3	21	6	1	-0.022	19326	19171	3659	253	254	77	52	314	19642	19475	4506	282	296	172	52	314
G000007-1	13	4	1	-0.019	13991	13405	2607	210	218	83	52	370	14234	13735	2622	267	275	80	52	370
G000007-2	13	5	1	0.005	13997	13663	2556	213	223	84	52	362	14008	13612	2426	269	275	76	52	362
!sample_table_end
