^SAMPLE = GSM40589
!Sample_title = M26 Cy5
!Sample_geo_accession = GSM40589
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Feb 01 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	29	1	1	-0.217	3047	3259	1117	212	226	86	52	374	3515	3707	1305	220	226	59	52	374
G000001-2	29	2	1	-0.186	2735	2883	1378	210	217	71	80	429	3082	3222	1606	210	217	62	80	429
G000001-3	29	3	1	-0.171	3328	3202	1325	214	218	63	80	440	3721	3508	1482	215	221	73	80	440
G000002-1	21	1	1	-0.02	12791	11884	3425	208	226	83	52	366	12976	12676	3416	214	227	144	52	366
G000002-2	21	2	1	-0.116	12488	11932	2615	200	213	71	52	360	13523	13013	3038	209	218	82	52	360
G000002-3	21	3	1	-0.171	11423	11045	2965	201	208	68	52	379	12836	12394	3263	200	210	73	52	379
G000003-1	13	1	1	-0.159	7620	8038	2566	220	227	70	52	320	8470	8392	2607	208	225	86	52	320
G000003-2	13	2	1	-0.148	9769	9745	1990	198	208	65	52	314	10816	10713	2223	209	218	66	52	314
G000003-3	13	3	1	-0.176	8417	8311	2073	191	200	59	52	308	9496	9138	2242	200	208	59	52	308
G000004-1	5	1	1	-0.259	12028	11595	3176	184	191	61	52	392	14379	13326	3599	207	216	54	52	392
G000004-2	5	2	1	-0.312	10621	10890	3204	183	191	65	52	363	13156	12591	3816	202	207	59	52	363
G000004-3	5	3	1	-0.176	12149	11610	2376	182	186	65	52	362	13713	13074	2957	193	202	60	52	362
G000005-1	29	4	1	-0.371	17733	18842	6359	212	219	61	52	362	22872	22261	7135	209	224	112	52	362
G000005-2	29	5	1	-0.175	19374	18454	8063	214	223	75	80	439	21850	21495	9591	221	234	112	80	439
G000005-3	29	6	1	-0.287	21611	21227	5711	202	210	68	52	362	26339	25393	6722	220	231	115	52	362
G000006-1	21	4	1	-0.166	14991	14687	3082	200	210	85	52	370	16799	16524	2999	205	229	279	52	370
G000006-2	21	5	1	-0.211	13881	12833	3154	207	208	63	52	362	16036	15096	3336	213	234	284	52	362
G000006-3	21	6	1	-0.124	13731	13365	2660	201	206	57	52	306	14945	14560	3383	202	209	54	52	306
G000007-1	13	4	1	-0.093	9542	9196	2574	191	196	57	52	307	10173	10058	2643	200	208	61	52	307
G000007-2	13	5	1	-0.146	9605	8924	2432	193	199	63	52	370	10612	10110	2450	195	204	56	52	370
!sample_table_end
