^SAMPLE = GSM40795
!Sample_title = 2M2 Cy3
!Sample_geo_accession = GSM40795
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Feb 02 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	4	19	1	-0.168	6581	6625	1465	522	546	153	52	420	7150	6797	1811	342	354	93	52	420
G000001-2	4	20	1	-0.134	6388	6324	1224	525	559	291	52	420	6763	6444	1554	331	342	82	52	420
G000001-3	4	21	1	-0.078	7246	7025	1368	533	555	152	52	420	7418	7162	1792	330	336	71	52	420
G000002-1	12	19	1	-0.12	21839	20169	6680	562	618	221	80	535	23484	20973	7652	362	401	204	80	535
G000002-2	12	20	1	-0.042	21547	20182	7080	560	620	262	80	542	21960	21002	7472	352	395	264	80	542
G000002-3	12	21	1	-0.075	22230	19491	7627	546	609	295	80	630	23182	20699	8049	347	399	284	80	630
G000003-1	20	19	1	-0.131	12805	11437	4971	562	608	206	80	541	13757	12099	5239	353	391	216	80	541
G000003-2	20	20	1	-0.08	13491	13718	3205	546	588	220	52	420	14032	14343	3697	348	364	97	52	420
G000003-3	20	21	1	-0.027	13964	13139	3298	548	598	208	52	420	14014	13783	3676	346	372	133	52	420
G000004-1	28	19	1	-0.074	18224	17111	5871	520	550	221	80	541	18984	17813	6306	346	376	201	80	541
G000004-2	28	20	1	-0.071	17000	14512	5393	479	514	187	80	548	17676	14920	5801	321	343	133	80	548
G000004-3	28	21	1	-0.08	17031	14787	6382	453	483	191	80	554	17820	15418	6362	294	306	99	80	554
G000005-1	36	19	1	0.031	26635	22153	13090	528	585	265	80	542	25972	21543	12669	418	467	270	80	542
G000005-2	36	20	1	0.08	37036	36842	10635	501	557	278	52	420	34964	34426	10689	393	452	330	52	420
G000005-3	36	21	1	0.037	32480	31538	7971	459	490	188	52	420	31527	29660	7288	311	325	91	52	420
G000006-1	44	19	1	-0.093	18591	16858	6934	459	512	254	80	554	19665	17536	7130	329	357	135	80	554
G000006-2	44	20	1	-0.089	20609	19722	3563	439	503	424	52	420	21787	20512	4037	331	380	338	52	420
G000006-3	44	21	1	-0.084	17550	16632	5832	442	491	350	80	554	18435	17466	6517	296	334	316	80	554
G000007-1	4	16	1	-0.062	11459	10029	3812	566	647	665	80	527	11738	10264	4373	370	397	235	80	527
G000007-2	4	17	1	-0.07	11812	10326	3726	555	579	136	80	527	12178	10522	4178	363	366	68	80	527
!sample_table_end
