^SAMPLE = GSM40517
!Sample_title = M13 Cy3
!Sample_geo_accession = GSM40517
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Jan 31 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	29	1	1	-0.067	7548	7570	1308	274	287	107	52	393	7875	7979	1577	255	269	109	52	393
G000001-2	29	2	1	-0.143	7345	7182	1239	287	312	175	52	380	8045	7811	1512	253	282	200	52	380
G000001-3	29	3	1	-0.218	8622	8705	1262	282	297	140	32	236	9957	9795	1541	254	262	98	32	236
G000002-1	21	1	1	-0.281	14019	14037	2794	300	318	157	52	393	16933	16871	3803	269	278	102	52	393
G000002-2	21	2	1	-0.202	14932	14431	2974	293	322	225	52	314	17102	17111	3835	268	284	104	52	314
G000002-3	21	3	1	-0.275	14695	13845	3931	300	367	567	52	314	17675	17180	4190	257	289	180	52	314
G000003-1	13	1	1	-0.325	7875	8347	2452	308	331	126	52	313	9760	10017	2637	284	295	77	52	313
G000003-2	13	2	1	-0.261	8829	8911	2162	312	330	133	52	307	10482	10631	2917	274	286	99	52	307
G000003-3	13	3	1	-0.27	8818	8648	2041	310	330	140	52	315	10526	10314	2793	268	281	90	52	315
G000004-1	5	1	1	-0.23	13256	13365	3100	316	323	107	52	400	15449	15193	3511	272	279	76	52	400
G000004-2	5	2	1	-0.199	13715	13549	2684	322	328	118	52	380	15642	15620	2812	269	283	106	52	380
G000004-3	5	3	1	-0.211	12391	11458	3706	298	316	101	52	308	14263	13110	4042	264	273	94	52	308
G000005-1	29	4	1	-0.236	32136	30346	5779	278	298	108	52	326	37776	35782	7526	262	271	88	52	326
G000005-2	29	5	1	-0.201	32298	31611	5720	279	295	102	52	314	37065	36307	7794	259	270	78	52	314
G000005-3	29	6	1	-0.258	26188	25110	8585	284	298	108	52	322	31238	30311	9850	260	276	110	52	322
G000006-1	21	4	1	-0.291	17794	17877	2438	296	311	109	52	316	21658	21878	3395	249	266	100	52	316
G000006-2	21	5	1	-0.282	16252	16180	2754	294	316	150	52	362	19662	19750	3616	255	269	97	52	362
G000006-3	21	6	1	-0.347	14812	14453	3953	303	339	349	52	315	18703	18230	4754	255	286	260	52	315
G000007-1	13	4	1	-0.253	11013	10750	2213	304	323	105	52	306	13034	13026	1966	273	283	79	52	306
G000007-2	13	5	1	-0.249	10998	10693	2848	319	320	97	52	306	12972	12396	3701	277	284	75	52	306
!sample_table_end
