^SAMPLE = GSM40533
!Sample_title = M22 Cy3
!Sample_geo_accession = GSM40533
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Jan 31 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	29	1	1	0.017	6316	6017	1046	204	214	97	52	328	6205	6132	870	166	175	61	52	328
G000001-2	29	2	1	0.054	6470	6062	1259	204	211	75	52	314	6204	6082	1044	168	178	56	52	314
G000001-3	29	3	1	-0.016	6431	6185	1471	196	201	68	52	315	6465	6763	2354	162	172	54	52	315
G000002-1	21	1	1	-0.026	14588	13626	4273	226	241	100	52	328	14800	13583	4205	179	208	369	52	328
G000002-2	21	2	1	-0.047	14231	14044	3508	204	216	78	52	322	14664	14747	3274	175	178	57	52	322
G000002-3	21	3	1	-0.06	12480	12594	3687	200	219	85	52	322	12965	13146	3558	166	179	64	52	322
G000003-1	13	1	1	-0.107	9394	9075	3626	216	221	72	52	320	10057	9497	3491	172	178	49	52	320
G000003-2	13	2	1	-0.18	10639	10257	3434	212	220	69	52	314	11984	10708	3441	172	179	51	52	314
G000003-3	13	3	1	-0.038	9142	8913	3329	208	217	69	52	322	9340	9197	3923	170	179	48	52	322
G000004-1	5	1	1	0.042	14082	13875	3700	206	212	65	52	320	13657	13426	3800	177	185	53	52	320
G000004-2	5	2	1	0.004	14968	14835	3352	193	208	72	52	313	14911	14358	3858	175	182	50	52	313
G000004-3	5	3	1	0.049	13953	14082	4555	202	210	68	52	313	13466	14379	4207	172	183	89	52	313
G000005-1	29	4	1	-0.116	28636	27162	9212	195	203	66	52	307	30978	27680	10338	162	168	47	52	307
G000005-2	29	5	1	-0.048	29174	27584	6891	196	206	67	52	314	30133	28298	7388	169	173	48	52	314
G000005-3	29	6	1	-0.001	32079	31957	12330	205	223	136	52	379	32069	33336	10927	179	185	77	52	379
G000006-1	21	4	1	-0.048	14865	14229	4516	209	219	74	52	314	15320	14920	4263	168	177	56	52	314
G000006-2	21	5	1	-0.072	17838	17088	3216	212	220	64	52	307	18705	17712	3429	176	180	50	52	307
G000006-3	21	6	1	0.018	17181	15666	3943	217	243	354	52	307	16934	16075	4053	175	182	62	52	307
G000007-1	13	4	1	-0.041	10044	10019	2523	209	222	84	52	324	10291	10002	3050	174	181	61	52	324
G000007-2	13	5	1	0.002	12380	12350	1349	205	217	80	32	236	12330	12110	1937	173	195	180	32	236
!sample_table_end
