^SAMPLE = GSM506867
!Sample_title = Acute Myeloid Leukemia Kasumi-1 CD34- cell line CGH
!Sample_geo_accession = GSM506867
!Sample_status = Public on Feb 11 2010
!Sample_submission_date = Feb 05 2010
!Sample_last_update_date = Feb 10 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Kasumi-1, CD34-
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: Kasumi-1
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = facs-sorted: CD34- Kasumi-1 subpopulation
!Sample_biomaterial_provider_ch1 = Laura Pedranzini
!Sample_treatment_protocol_ch1 = Kasumi-1 cells, after washing and blocking, were stained with Cy7-phycoerythrine (PE) conjugated anti-CD34 antibody,  (Becton Dickinson, BD Biosciences). Cell sorting of CD34- subpopulation was performed using a Facs Vantage SE Laser 488nm Interprise Coherent flow cytometer (Becton Dickinson, BD Biosciences), and gates were set up to exclude not viable cells and debris. The purity of sorted fractions was assessed to ensure sort quality. 
!Sample_growth_protocol_ch1 = The human AML Kasumi-1 cell line (AML M2, AML1-ETO) was obtained from DMSZ (Braunschweig GERMANY) and maintained in RPMI 1640 (PBI International, Milan, Italy) with 10% fetal bovine serum (FBS; HyClone Laboratories, Logan, UT, USA). 
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated from Kasumi-1 CD34- subpopulation cells using the NucleoSpin Tissue kit (Macherey-Nagel, Gmbh & Co. KG) according to the manufacturer's instructions. DNA quality and concentration were evaluated using spectrophotometer NANODROP 1000 ( Thermo Fischer Scientific Inc.).
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Agilent Genomic DNA Labelling kit, Direct Method, as described by the manufacturer (Agilent Technologies, Palo Alto, CA).  1ug template
!Sample_source_name_ch2 = reference control
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = gender: female
!Sample_characteristics_ch2 = phenotype: normal pooled
!Sample_characteristics_ch2 = tissue: peripheral blood
!Sample_biomaterial_provider_ch2 = Roswell Park Cancer Institute
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Qiagen FlexiGene DNA kit protocol (Cat# 51206).
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Agilent Genomic DNA Labelling kit, Direct Method, as described by the manufacturer (Agilent Technologies, Palo Alto, CA).  1ug template
!Sample_hyb_protocol = 1ug of reference and test sample genomic DNA were individually fluorescently labeled using the Agilent Genomic DNA Labeling kit, Direct Method, as described by the manufacturer (Agilent Technologies).  Initially, the DNA is denatured in the presence of the random primer at 95C for 3 minutes in a thermalcycler, and then quickly cooled to 4C.  The tubes are transferred to ice and labeling occurs with the addition of dUTP-cyanine 3 mix (or dUTP-cyanine 5) and Exo-Klenow fragment.  Incubation takes place for two hours at 37C in a thermalcycler.  After purification, the labeled DNA is combined and resuspended in 50ug Cot-1 DNA, and 1x Agilent blocking agent and hybridization buffer.  The entire sample is heated to 95C for 3 minutes followed by a 37C incubation for 30 minutes.  Hybridization to the Agilent human 244K CGH array was performed for 40 hours at 65C using a rotating hybridization oven.  Arrays were washed according to the manufacturer's recommendations; air dried, and scanned using an Agilent DNA microarray scanner (Agilent Technologies, Inc), and processed using Agilent's Feature Extraction software.
!Sample_scan_protocol = Arrays were scanned using an Agilent  DNA microarray scanner (Agilent Technologies, Inc) to generate high-resolution (5 um) images for both Cy3 (control) and Cy5 (test) channels.  
!Sample_description = Image analysis was performed using the Feature Extraction version 9.5.1.1 (Agilent Technologies) and the Agilent's CGH-v4_95_Feb07 protocol. 
!Sample_data_processing = Data was processed from Agilent's Feature Extraction output by CGH Analytics version 3.4.27 (Agilent Technologies).  Aberration calls were made using Agilent's ADM-1 algorithm with a threshold of 10, comparing the Kasumi-1 CD34- DNA sample versus the control DNA sample.
!Sample_platform_id = GPL4091
!Sample_contact_name = Jeffrey,,Conroy
!Sample_contact_email = jeffrey.conroy@roswellpark.org
!Sample_contact_institute = Roswell Park Cancer Institute
!Sample_contact_address = Elm & Carlton Sts
!Sample_contact_city = Buffalo
!Sample_contact_state = NY
!Sample_contact_zip/postal_code = 14263
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM506nnn/GSM506867/suppl/GSM506867_US45102899_251469331009_S01_CGH_v4_95_Feb07.txt.gz
!Sample_series_id = GSE20239
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = normalized log10 (test/control)
#gProcessedSignal = green channel (control) processed signal
#rProcessedSignal = red channel (test) processed signal
#gMeanSignal = green channel (control) mean signal
#rMeanSignal = red channel (test) mean signal
!sample_table_begin
ID_REF	VALUE	gProcessedSignal	rProcessedSignal	gMeanSignal	rMeanSignal
1	5.54E-02	2.82E+03	3.21E+03	1.78E+02	1.99E+02
2	0.00E+00	4.34E+01	4.44E+01	5.22E+01	6.24E+01
3	-3.51E-02	4.78E+01	4.41E+01	5.40E+01	6.09E+01
4	9.56E-02	6.87E+02	8.56E+02	8.32E+01	9.85E+01
5	1.40E-01	6.55E+02	9.05E+02	8.20E+01	1.01E+02
6	-5.20E-01	3.41E+03	1.03E+03	2.10E+02	1.07E+02
7	1.73E-02	1.45E+03	1.51E+03	1.20E+02	1.29E+02
8	-1.07E-02	7.57E+02	7.38E+02	8.73E+01	9.42E+01
9	6.73E-02	1.37E+03	1.60E+03	1.17E+02	1.34E+02
10	-6.12E-01	8.38E+02	2.05E+02	9.17E+01	7.02E+01
11	1.16E-01	1.13E+03	1.48E+03	1.06E+02	1.29E+02
12	6.28E-02	7.43E+02	8.58E+02	8.76E+01	1.01E+02
13	-4.41E-02	1.42E+03	1.28E+03	1.21E+02	1.21E+02
14	1.12E-01	1.28E+03	1.66E+03	1.14E+02	1.39E+02
15	-2.72E-02	1.58E+03	1.49E+03	1.29E+02	1.31E+02
16	-1.63E-01	1.50E+03	1.03E+03	1.26E+02	1.10E+02
17	1.12E-01	8.49E+02	1.10E+03	9.40E+01	1.13E+02
18	-3.30E-02	5.24E+01	4.86E+01	5.45E+01	6.31E+01
19	7.03E-02	3.04E+02	3.57E+02	6.72E+01	7.80E+01
20	4.03E-02	5.73E+02	6.29E+02	8.08E+01	9.13E+01
!sample_table_end
