^SAMPLE = GSM506973
!Sample_title = Acute Myeloid Leukemia Kasumi-1 CD34+CD38- cell line CGH
!Sample_geo_accession = GSM506973
!Sample_status = Public on Feb 11 2010
!Sample_submission_date = Feb 05 2010
!Sample_last_update_date = Feb 10 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Kasumi-1, CD34+CD38-
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: Kasumi-1
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = facs-sorted: CD34+CD38- Kasumi-1 subpopulation
!Sample_biomaterial_provider_ch1 = Laura Pedranzini
!Sample_treatment_protocol_ch1 = Kasumi-1 cells, after washing and blocking, were stained with Cy7-phycoerythrine (PE) conjugated anti-CD34 antibody and PE conjugated anti-CD38,  (Becton Dickinson, BD Biosciences). Cell sorting of CD34+CD38- subpopulation was performed using a Facs Vantage SE Laser 488nm Interprise Coherent flow cytometer (Becton Dickinson, BD Biosciences), and gates were set up to exclude not viable cells and debris. The purity of sorted fractions was assessed to ensure sort quality. 
!Sample_growth_protocol_ch1 = The human AML Kasumi-1 cell line (AML M2, AML1-ETO) was obtained from DMSZ (Braunschweig GERMANY) and maintained in RPMI 1640 (PBI International, Milan, Italy) with 10% fetal bovine serum (FBS; HyClone Laboratories, Logan, UT, USA). 
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated from Kasumi-1 CD34+CD38- subpopulation cells using the NucleoSpin Tissue kit (Macherey-Nagel, Gmbh & Co. KG) according to the manufacturer's instructions. DNA quality and concentration were evaluated using spectrophotometer NANODROP 1000 ( Thermo Fischer Scientific Inc.).
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Agilent Genomic DNA Labelling kit, Direct Method, as described by the manufacturer (Agilent Technologies, Palo Alto, CA).  1ug template
!Sample_source_name_ch2 = reference control
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = gender: female
!Sample_characteristics_ch2 = phenotype: normal pooled
!Sample_characteristics_ch2 = tissue: peripheral blood
!Sample_biomaterial_provider_ch2 = Roswell Park Cancer Institute
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Qiagen FlexiGene DNA kit protocol (Cat# 51206).
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Agilent Genomic DNA Labelling kit, Direct Method, as described by the manufacturer (Agilent Technologies, Palo Alto, CA).  1ug template
!Sample_hyb_protocol = 1ug of reference and test sample genomic DNA were individually fluorescently labeled using the Agilent Genomic DNA Labeling kit, Direct Method, as described by the manufacturer (Agilent Technologies).  Initially, the DNA is denatured in the presence of the random primer at 95C for 3 minutes in a thermalcycler, and then quickly cooled to 4C.  The tubes are transferred to ice and labeling occurs with the addition of dUTP-cyanine 3 mix (or dUTP-cyanine 5) and Exo-Klenow fragment.  Incubation takes place for two hours at 37C in a thermalcycler.  After purification, the labeled DNA is combined and resuspended in 50ug Cot-1 DNA, and 1x Agilent blocking agent and hybridization buffer.  The entire sample is heated to 95C for 3 minutes followed by a 37C incubation for 30 minutes.  Hybridization to the Agilent human 244K CGH array was performed for 40 hours at 65C using a rotating hybridization oven.  Arrays were washed according to the manufacturer's recommendations; air dried, and scanned using an Agilent DNA microarray scanner (Agilent Technologies, Inc), and processed using Agilent's Feature Extraction software.
!Sample_scan_protocol = Arrays were scanned using an Agilent DNA microarray scanner (Agilent Technologies, Inc) to generate high-resolution (5 um) images for both Cy3 (control) and Cy5 (test) channels.  
!Sample_description = Image analysis was performed using the Feature Extraction version 9.5.1.1 (Agilent Technologies) and the Agilent's CGH-v4_95_Feb07 protocol. 
!Sample_data_processing = Data was processed from Agilent's Feature Extraction output by CGH Analytics version 3.4.27 (Agilent Technologies).  Aberration calls were made using Agilent's ADM-1 algorithm with a threshold of 10, comparing the Kasumi-1 CD34+CD38- DNA sample versus the control DNA sample.
!Sample_platform_id = GPL4091
!Sample_contact_name = Jeffrey,,Conroy
!Sample_contact_email = jeffrey.conroy@roswellpark.org
!Sample_contact_institute = Roswell Park Cancer Institute
!Sample_contact_address = Elm & Carlton Sts
!Sample_contact_city = Buffalo
!Sample_contact_state = NY
!Sample_contact_zip/postal_code = 14263
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM506nnn/GSM506973/suppl/GSM506973_US45102899_251469331011_S01_CGH_v4_95_Feb07.txt.gz
!Sample_series_id = GSE20239
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = normalized log10 (test/control)
#gProcessedSignal = green channel (control) processed signal
#rProcessedSignal = red channel (test) processed signal
#gMeanSignal = green channel (control) mean signal
#rMeanSignal = red channel (test) mean signal
!sample_table_begin
ID_REF	VALUE	gProcessedSignal	rProcessedSignal	gMeanSignal	rMeanSignal
1	6.48E-02	2.27E+03	2.63E+03	1.68E+02	1.63E+02
2	0.00E+00	3.74E+01	4.72E+01	4.87E+01	6.07E+01
3	0.00E+00	3.70E+01	4.67E+01	4.90E+01	5.90E+01
4	1.46E-01	5.79E+02	8.10E+02	8.12E+01	9.30E+01
5	1.67E-02	7.28E+02	7.57E+02	8.96E+01	9.12E+01
6	-6.30E-01	2.71E+03	6.36E+02	1.99E+02	8.65E+01
7	8.39E-02	1.38E+03	1.68E+03	1.27E+02	1.31E+02
8	1.24E-01	6.81E+02	9.06E+02	8.83E+01	9.86E+01
9	2.70E-02	1.57E+03	1.67E+03	1.39E+02	1.32E+02
10	-3.32E-01	6.43E+02	2.99E+02	8.69E+01	7.31E+01
11	1.54E-01	1.24E+03	1.77E+03	1.22E+02	1.38E+02
12	1.40E-01	9.37E+02	1.29E+03	1.05E+02	1.17E+02
13	8.88E-02	1.12E+03	1.38E+03	1.16E+02	1.22E+02
14	7.48E-02	1.34E+03	1.59E+03	1.30E+02	1.32E+02
15	-6.24E-02	1.98E+03	1.72E+03	1.68E+02	1.39E+02
16	-1.91E-01	1.46E+03	9.44E+02	1.38E+02	1.04E+02
17	6.48E-02	9.41E+02	1.09E+03	1.08E+02	1.11E+02
18	2.46E-01	6.34E+01	1.12E+02	5.44E+01	6.55E+01
19	-1.34E-01	5.74E+02	4.21E+02	8.59E+01	8.03E+01
20	1.12E-01	5.25E+02	6.80E+02	8.32E+01	9.29E+01
!sample_table_end
