^SAMPLE = GSM555171
!Sample_title = Melanoma cell line_WM39 [SNP]
!Sample_geo_accession = GSM555171
!Sample_status = Public on Oct 21 2010
!Sample_submission_date = Jun 11 2010
!Sample_last_update_date = Oct 21 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line_WM39
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histological subtype: Primary nodular melanoma
!Sample_characteristics_ch1 = cell line: Melanoma cell line, WM39
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = Cell lines derived from primary tumors were cultured in Mel 2% medium (Fang et al.Cancer Res, 2005. PMID 16230395), and metastatic cell lines were cultured as previously described (Segura et al. Proc Natl Acad Sci USA, 2009. PMID 19188590  ).
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Melanoma and melanocyte DNA was extracted using the Qiagen QIAmp DNA Mini kit (Qiagen Valencia, CA). DNA quantity was assessed by UV spectrophotometry and quality was assayed by agarose gel electrophoresis.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR purified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_description = Hybridized to SNP6.0 Arrays
!Sample_data_processing = CEL files were generated using the GeneChip Command Console software (Affymetrix), and the Birdseed v2 algorithm (Korn et al. Nat Genet, 2008. PMID 18776909) was used to make the genotype calls and summarize the probe-set intensity (SPI) values for ensuing copy number analysis. A single normal reference genome profile assayed in the same batch was created using values from the 2 normal melanocytes cultured from infant foreskin (HEM-N and HEM-LP).
!Sample_data_processing = Primary data description: 1. 22 CHP files for melanoma and melanocyte cell lines 2. Data table that includes the Genotype Call (AA, AB, BB, NC, and NoCall) and the intensity signal for signal A and signal B in 22 cell lines.
!Sample_platform_id = GPL6801
!Sample_contact_name = Iman,,Osman
!Sample_contact_email = iman.osman@nyumc.org
!Sample_contact_phone = 212-263-9089
!Sample_contact_fax = 212-263-9090
!Sample_contact_department = Urology
!Sample_contact_institute = New York University School of Medicine
!Sample_contact_address = 522 First Avenue, SML405
!Sample_contact_city = New York
!Sample_contact_state = NY
!Sample_contact_zip/postal_code = 10016
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM555nnn/GSM555171/suppl/GSM555171_005_SNP6_mel_082908.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM555nnn/GSM555171/suppl/GSM555171_005_SNP6_mel_082908.birdseed-v2.chp.gz
!Sample_series_id = GSE22305
!Sample_series_id = GSE22306
!Sample_data_row_count = 909622
#ID_REF = 
#VALUE = Genotype Call
#005_SNP6_mel_082908.birdseed.chp Signal A = 
#005_SNP6_mel_082908.birdseed.chp Signal B = 
!sample_table_begin
ID_REF	VALUE	005_SNP6_mel_082908.birdseed.chp Signal A	005_SNP6_mel_082908.birdseed.chp Signal B
SNP_A-2131660	AB	1251.611	1266.935
SNP_A-1967418	AB	568.968	492.245
SNP_A-1969580	BB	929.944	3397.070
SNP_A-4263484	BB	367.050	1297.995
SNP_A-1978185	AA	1195.684	295.347
SNP_A-4264431	AB	856.110	656.863
SNP_A-1980898	BB	319.494	779.006
SNP_A-1983139	AA	1509.821	389.642
SNP_A-4265735	AB	613.436	712.187
SNP_A-1995832	AB	1143.236	1013.943
SNP_A-1995893	AB	1396.925	1598.593
SNP_A-1997689	BB	514.846	2556.249
SNP_A-1997709	AA	1515.792	357.555
SNP_A-1997896	AA	1219.193	307.268
SNP_A-1997922	AA	634.617	195.787
SNP_A-2000230	AA	1847.391	749.302
SNP_A-2000332	AA	3021.087	553.850
SNP_A-2000337	AA	1136.979	223.389
SNP_A-2000342	AA	2860.815	699.177
SNP_A-4268173	AA	1415.108	200.625
!sample_table_end
