^SAMPLE = GSM555184
!Sample_title = Melanoma cell line_SKMEL192 [SNP]
!Sample_geo_accession = GSM555184
!Sample_status = Public on Oct 21 2010
!Sample_submission_date = Jun 11 2010
!Sample_last_update_date = Oct 21 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Melanoma cell line_SKMEL192
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = histological subtype: Metastatic melanoma
!Sample_characteristics_ch1 = cell line: Melanoma cell line, SKMEL192
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = Cell lines derived from primary tumors were cultured in Mel 2% medium (Fang et al.Cancer Res, 2005. PMID 16230395), and metastatic cell lines were cultured as previously described (Segura et al. Proc Natl Acad Sci USA, 2009. PMID 19188590  ).
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Melanoma and melanocyte DNA was extracted using the Qiagen QIAmp DNA Mini kit (Qiagen Valencia, CA). DNA quantity was assessed by UV spectrophotometry and quality was assayed by agarose gel electrophoresis.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR purified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_description = Hybridized to SNP6.0 Arrays
!Sample_data_processing = CEL files were generated using the GeneChip Command Console software (Affymetrix), and the Birdseed v2 algorithm (Korn et al. Nat Genet, 2008. PMID 18776909) was used to make the genotype calls and summarize the probe-set intensity (SPI) values for ensuing copy number analysis. A single normal reference genome profile assayed in the same batch was created using values from the 2 normal melanocytes cultured from infant foreskin (HEM-N and HEM-LP).
!Sample_data_processing = 1. 22 CHP files for melanoma and melanocyte cell lines 2. Data matrix that includes the Genotype Call (AA, AB, BB, NC, and NoCall) and the intensity signal for signal A and signal B in 22 cell lines.
!Sample_platform_id = GPL6801
!Sample_contact_name = Iman,,Osman
!Sample_contact_email = iman.osman@nyumc.org
!Sample_contact_phone = 212-263-9089
!Sample_contact_fax = 212-263-9090
!Sample_contact_department = Urology
!Sample_contact_institute = New York University School of Medicine
!Sample_contact_address = 522 First Avenue, SML405
!Sample_contact_city = New York
!Sample_contact_state = NY
!Sample_contact_zip/postal_code = 10016
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM555nnn/GSM555184/suppl/GSM555184_018_SNP6_mel_082908.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM555nnn/GSM555184/suppl/GSM555184_018_SNP6_mel_082908.birdseed-v2.chp.gz
!Sample_series_id = GSE22305
!Sample_series_id = GSE22306
!Sample_data_row_count = 909622
#ID_REF = 
#VALUE = Genotype Call
#018_SNP6_mel_082908.birdseed.chp Signal A = 
#018_SNP6_mel_082908.birdseed.chp Signal B = 
!sample_table_begin
ID_REF	VALUE	018_SNP6_mel_082908.birdseed.chp Signal A	018_SNP6_mel_082908.birdseed.chp Signal B
SNP_A-2131660	BB	433.848	2179.577
SNP_A-1967418	BB	278.964	673.616
SNP_A-1969580	BB	1081.282	4170.482
SNP_A-4263484	AA	1878.512	408.946
SNP_A-1978185	AA	1529.287	277.690
SNP_A-4264431	AA	1773.297	334.103
SNP_A-1980898	BB	300.650	727.174
SNP_A-1983139	AA	2075.942	582.653
SNP_A-4265735	BB	378.958	1324.287
SNP_A-1995832	AA	2293.773	293.249
SNP_A-1995893	AA	2480.501	927.459
SNP_A-1997689	BB	492.956	2668.962
SNP_A-1997709	AA	1747.552	291.791
SNP_A-1997896	AA	1208.775	375.967
SNP_A-1997922	AA	739.322	244.932
SNP_A-2000230	AA	2355.660	654.868
SNP_A-2000332	AA	3296.695	702.251
SNP_A-2000337	AA	1322.229	236.992
SNP_A-2000342	AA	3279.383	704.843
SNP_A-4268173	AA	1932.052	279.424
!sample_table_end
