^SAMPLE = GSM956526
!Sample_title = high grade serous ovarian cancer_HGSC4
!Sample_geo_accession = GSM956526
!Sample_status = Public on Nov 06 2012
!Sample_submission_date = Jul 05 2012
!Sample_last_update_date = Aug 19 2016
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = high grade serous ovarian cancer
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: ovarian cancer ascites
!Sample_characteristics_ch1 = pathologic subtype: Serous
!Sample_characteristics_ch1 = Stage: IV
!Sample_characteristics_ch1 = grade: 3
!Sample_characteristics_ch1 = grade h/l: H
!Sample_characteristics_ch1 = primary site: peritoneal
!Sample_characteristics_ch1 = tso (tumor sample origin): Ascites
!Sample_characteristics_ch1 = age: N/A
!Sample_characteristics_ch1 = residual disease: N/A
!Sample_characteristics_ch1 = resistance: N/A
!Sample_characteristics_ch1 = progressed: N/A
!Sample_characteristics_ch1 = pfstx (months): N/A
!Sample_characteristics_ch1 = floh%: 44.7
!Sample_characteristics_ch1 = bpm: 1
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA extracted by proteinase K disgestion-phenochloroform extraction or Qigen DNA extraction kit from ovarian cancer cells enriched from tumor tissues by needle-microdissection or from ascites by affinity enrichment with anti-EPCAM-conjugated beads.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Affymetrix standard protocol
!Sample_hyb_protocol = Affymetrix standard protocol
!Sample_scan_protocol = Affymetrix standard protocol
!Sample_description = PFSTx: progression free survival (months) from the end of primary platinum/taxol treatment
!Sample_description = BPM: BRCA1 promoter methylation
!Sample_description = Grade H/L: high grade (grade 2, 3) / low (grade 1) grade
!Sample_data_processing = initially performed by DFCI microarray core using softwares from Affymetrix. The data for allelic signals in the sample data table were directly exported by dChip software (dChip_2010_1.exe) after the processing the data from cel files.
!Sample_platform_id = GPL3718
!Sample_contact_name = Zhigang,C,Wang
!Sample_contact_email = zhigang_wang@dfci.harvard.edu
!Sample_contact_phone = (617)582-7353
!Sample_contact_fax = (617)6323097
!Sample_contact_department = Cancer Biology
!Sample_contact_institute = Dana-Farber Cancer Institute
!Sample_contact_address = 450 Brookline Ave SM936A
!Sample_contact_city = Boston
!Sample_contact_state = MA
!Sample_contact_zip/postal_code = 02215
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM956nnn/GSM956526/suppl/GSM956526_08N_DF14.CEL.gz
!Sample_relation = Reanalyzed by: GSE85838
!Sample_series_id = GSE39130
!Sample_data_row_count = 262338
#ID_REF = 
#VALUE = genotype calls
#Signal_A = 
#Signal_B = 
!sample_table_begin
ID_REF	VALUE	Signal_A	Signal_B
AFFX-5Q-123	NoCall	1.00	1.00
AFFX-5Q-456	NoCall	133.91	1.00
AFFX-5Q-789	NoCall	1.00	1.00
AFFX-5Q-ABC	NoCall	978.00	1.00
AFFX-barcodeA	NoCall	1.50	1.00
AFFX-barcodeB	NoCall	54.61	1.00
AFFX-barcodeC	NoCall	12.97	1.00
AFFX-barcodeD	NoCall	2.29	1.00
AFFX-barcodeE	NoCall	10.53	1.00
AFFX-barcodeF	NoCall	47.57	1.00
AFFX-barcodeG	NoCall	18.06	1.00
AFFX-barcodeH	NoCall	17.73	1.00
AFFX-barcodeI	NoCall	23.82	1.00
AFFX-barcodeJ	NoCall	12.38	1.00
AFFX-barcodeK	NoCall	41.92	1.00
AFFX-barcodeL	NoCall	15.42	1.00
AFFX-barcodeM	NoCall	2.14	1.00
AFFX-barcodeN	NoCall	1.00	1.00
AFFX-barcodeO	NoCall	17.40	1.00
AFFX-barcodeP	NoCall	1.44	1.00
!sample_table_end
