^SAMPLE = GSM723814
!Sample_title = new pediatric hepatocellular carcinoma cell line passaged from human tumor
!Sample_geo_accession = GSM723814
!Sample_status = Public on Dec 01 2011
!Sample_submission_date = May 13 2011
!Sample_last_update_date = Dec 01 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liver tumor
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: HC-AFW1
!Sample_characteristics_ch1 = passage: P14
!Sample_growth_protocol_ch1 = Cells were expanded from tissue samples in DMEM media with 10% FCS and antibiotics Pen/Strep. Passage was done with Accutase as protease and culture in DMEM complete media.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen DNA extraction kit
!Sample_label_ch1 = Standard Affy
!Sample_label_protocol_ch1 = Standard Affymetrix protocol of SNP 6.0
!Sample_hyb_protocol = Standard Affymetrix protocol of SNP 6.0
!Sample_scan_protocol = Standard Affymetrix protocol of SNP 6.0
!Sample_description = AFW-1 P14
!Sample_description = Standard Processing of genomic DNA of tumor sample
!Sample_data_processing = Genotyping (CN5) and copy number analysis  (Birdseed) with the Affymetrix Genotyping Console
!Sample_data_processing = Standard export of copy number results (from .CNCHP file)
!Sample_platform_id = GPL6801
!Sample_contact_name = Michael,,Bonin
!Sample_contact_laboratory = Microarray Facility
!Sample_contact_department = Medical Genetics
!Sample_contact_institute = University Tuebingen
!Sample_contact_address = CAlwerstr. 7
!Sample_contact_city = Tuebingen
!Sample_contact_state = BW
!Sample_contact_zip/postal_code = 72076
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM723nnn/GSM723814/suppl/GSM723814_Genotype_AFW1_P14.birdseedV2.chp.txt.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM723nnn/GSM723814/suppl/GSM723814_I10D011a01_GenomeWideSNP_6_.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM723nnn/GSM723814/suppl/GSM723814_I10D011a01_GenomeWideSNP_6_.CN5.CNCHP.P14.txt.gz
!Sample_series_id = GSE29283
!Sample_data_row_count = 1813502
#ID_REF = 
#Chromosome = 
#Position = 
#VALUE = CNState
#Log2Ratio = 
#SmoothSignal = 
#LOH = 
#Allele Difference = 
!sample_table_begin
ID_REF	Chromosome	Position	VALUE	Log2Ratio	SmoothSignal	LOH	Allele Difference
CN_473963	1	51586	2	0.356256	2.54195	null	null
CN_473964	1	51659	2	0.314949	2.54179	null	null
CN_473965	1	51674	2	0.228895	2.54175	null	null
CN_473981	1	52771	2	0.350831	2.53927	null	null
CN_473982	1	52788	2	0.447513	2.53923	null	null
CN_497981	1	62627	2	-0.132803	2.51715	null	null
CN_502615	1	75787	2	-0.0555028	2.48843	null	null
CN_502613	1	75849	2	-0.275595	2.4883	null	null
CN_502614	1	76175	2	0.251095	2.4876	null	null
CN_502616	1	76192	2	-0.0342409	2.48756	null	null
CN_502843	1	88453	2	0.151915	2.46187	null	null
CN_466171	1	218557	2	0.244791	2.2363	null	null
CN_468414	1	218926	2	-0.331974	2.23662	null	null
CN_468412	1	219009	2	-0.465524	2.2367	null	null
CN_468413	1	219024	2	-0.307694	2.23671	null	null
CN_470565	1	219470	2	0.296364	2.2371	null	null
CN_468424	1	225521	2	0.330002	2.24244	null	null
CN_468425	1	225579	2	0.604886	2.24249	null	null
CN_460512	1	346294	2	0.453937	2.86139	null	null
CN_460513	1	346393	2	0.0420912	2.86139	null	null
!sample_table_end
